Y-coordinate,Electric Potential,,,,,
-1,-3.19E-07,,,,,
-0.998,-3.20E-07,,,,,
-0.996,-3.21E-07,,,,,
-0.994,-3.23E-07,,,,,
-0.992,-3.24E-07,,,,,
-0.99,-3.25E-07,,,,,
-0.988,-3.26E-07,,,,,
-0.986,-3.28E-07,,,,,
-0.984,-3.29E-07,,,,,
-0.982,-3.30E-07,,,,,
-0.98,-3.32E-07,,,,,
-0.978,-3.33E-07,,,,,
-0.976,-3.34E-07,,,,,
-0.974,-3.36E-07,,,,,
-0.972,-3.37E-07,,,,,
-0.97,-3.39E-07,,,,,
-0.968,-3.40E-07,,,,,
-0.966,-3.41E-07,,,,,
-0.964,-3.43E-07,,,,,
-0.962,-3.44E-07,,,,,
-0.96,-3.46E-07,,,,,
-0.958,-3.47E-07,,,,,
-0.956,-3.48E-07,,,,,
-0.954,-3.50E-07,,,,,
-0.952,-3.51E-07,,,,,
-0.95,-3.53E-07,,,,,
-0.948,-3.54E-07,,,,,
-0.946,-3.56E-07,,,,,
-0.944,-3.57E-07,,,,,
-0.942,-3.59E-07,,,,,
-0.94,-3.60E-07,,,,,
-0.938,-3.62E-07,,,,,
-0.936,-3.63E-07,,,,,
-0.934,-3.65E-07,,,,,
-0.932,-3.67E-07,,,,,
-0.93,-3.68E-07,,,,,
-0.928,-3.70E-07,,,,,
-0.926,-3.71E-07,,,,,
-0.924,-3.73E-07,,,,,
-0.922,-3.74E-07,,,,,
-0.92,-3.76E-07,,,,,
-0.918,-3.78E-07,,,,,
-0.916,-3.79E-07,,,,,
-0.914,-3.81E-07,,,,,
-0.912,-3.83E-07,,,,,
-0.91,-3.84E-07,,,,,
-0.908,-3.86E-07,,,,,
-0.906,-3.88E-07,,,,,
-0.904,-3.89E-07,,,,,
-0.902,-3.91E-07,,,,,
-0.9,-3.93E-07,,,,,
-0.898,-3.95E-07,,,,,
-0.896,-3.96E-07,,,,,
-0.894,-3.98E-07,,,,,
-0.892,-4.00E-07,,,,,
-0.89,-4.02E-07,,,,,
-0.888,-4.03E-07,,,,,
-0.886,-4.05E-07,,,,,
-0.884,-4.07E-07,,,,,
-0.882,-4.09E-07,,,,,
-0.88,-4.11E-07,,,,,
-0.878,-4.13E-07,,,,,
-0.876,-4.14E-07,,,,,
-0.874,-4.16E-07,,,,,
-0.872,-4.18E-07,,,,,
-0.87,-4.20E-07,,,,,
-0.868,-4.22E-07,,,,,
-0.866,-4.24E-07,,,,,
-0.864,-4.26E-07,,,,,
-0.862,-4.28E-07,,,,,
-0.86,-4.30E-07,,,,,
-0.858,-4.32E-07,,,,,
-0.856,-4.34E-07,,,,,
-0.854,-4.36E-07,,,,,
-0.852,-4.38E-07,,,,,
-0.85,-4.40E-07,,,,,
-0.848,-4.42E-07,,,,,
-0.846,-4.44E-07,,,,,
-0.844,-4.46E-07,,,,,
-0.842,-4.48E-07,,,,,
-0.84,-4.50E-07,,,,,
-0.838,-4.53E-07,,,,,
-0.836,-4.55E-07,,,,,
-0.834,-4.57E-07,,,,,
-0.832,-4.59E-07,,,,,
-0.83,-4.61E-07,,,,,
-0.828,-4.63E-07,,,,,
-0.826,-4.66E-07,,,,,
-0.824,-4.68E-07,,,,,
-0.822,-4.70E-07,,,,,
-0.82,-4.72E-07,,,,,
-0.818,-4.75E-07,,,,,
-0.816,-4.77E-07,,,,,
-0.814,-4.79E-07,,,,,
-0.812,-4.82E-07,,,,,
-0.81,-4.84E-07,,,,,
-0.808,-4.86E-07,,,,,
-0.806,-4.89E-07,,,,,
-0.804,-4.91E-07,,,,,
-0.802,-4.94E-07,,,,,
-0.8,-4.96E-07,,,,,
-0.798,-4.99E-07,,,,,
-0.796,-5.01E-07,,,,,
-0.794,-5.04E-07,,,,,
-0.792,-5.06E-07,,,,,
-0.79,-5.09E-07,,,,,
-0.788,-5.11E-07,,,,,
-0.786,-5.14E-07,,,,,
-0.784,-5.16E-07,,,,,
-0.782,-5.19E-07,,,,,
-0.78,-5.22E-07,,,,,
-0.778,-5.24E-07,,,,,
-0.776,-5.27E-07,,,,,
-0.774,-5.30E-07,,,,,
-0.772,-5.32E-07,,,,,
-0.77,-5.35E-07,,,,,
-0.768,-5.38E-07,,,,,
-0.766,-5.41E-07,,,,,
-0.764,-5.43E-07,,,,,
-0.762,-5.46E-07,,,,,
-0.76,-5.49E-07,,,,,
-0.758,-5.52E-07,,,,,
-0.756,-5.55E-07,,,,,
-0.754,-5.58E-07,,,,,
-0.752,-5.61E-07,,,,,
-0.75,-5.64E-07,,,,,
-0.748,-5.67E-07,,,,,
-0.746,-5.70E-07,,,,,
-0.744,-5.73E-07,,,,,
-0.742,-5.76E-07,,,,,
-0.74,-5.79E-07,,,,,
