Z-coordinate,Electric Potential
-0.02,-2.374656357
-0.019996,-2.078263248
-0.019992,-1.982401541
-0.019988,-1.964163249
-0.019984,-1.962089202
-0.01998,-1.96325675
-0.019976,-1.964823994
-0.019972,-1.966219029
-0.019968,-1.967376665
-0.019964,-1.968329071
-0.01996,-1.969115397
-0.019956,-1.96976624
-0.019952,-1.970304037
-0.019948,-1.970745635
-0.019944,-1.971104291
-0.01994,-1.971390926
-0.019936,-1.971614831
-0.019932,-1.971784069
-0.019928,-1.971905711
-0.019924,-1.971985978
-0.01992,-1.972030345
-0.019916,-1.972043618
-0.019912,-1.972030002
-0.019908,-1.971993166
-0.019904,-1.971936297
-0.0199,-1.971862153
-0.019896,-1.971773115
-0.019892,-1.971671232
-0.019888,-1.971558258
-0.019884,-1.971435697
-0.01988,-1.971304829
-0.019876,-1.971166745
-0.019872,-1.971022371
-0.019868,-1.970872494
-0.019864,-1.970717778
-0.01986,-1.970558785
-0.019856,-1.97039599
-0.019852,-1.970229793
-0.019848,-1.970060533
-0.019844,-1.969888496
-0.01984,-1.969713921
-0.019836,-1.969537014
-0.019832,-1.969357947
-0.019828,-1.969176869
-0.019824,-1.968993904
-0.01982,-1.968809164
-0.019816,-1.968622742
-0.019812,-1.968434721
-0.019808,-1.968245176
-0.019804,-1.968054172
-0.0198,-1.967861771
-0.019796,-1.967668027
-0.019792,-1.967472994
-0.019788,-1.96727672
-0.019784,-1.967079253
-0.01978,-1.966880639
-0.019776,-1.966680923
-0.019772,-1.96648015
-0.019768,-1.966278364
-0.019764,-1.966075608
-0.01976,-1.965871927
-0.019756,-1.965667364
-0.019752,-1.965461965
-0.019748,-1.965255775
-0.019744,-1.965048837
-0.01974,-1.964841199
-0.019736,-1.964632905
-0.019732,-1.964424002
-0.019728,-1.964214536
-0.019724,-1.964004554
-0.01972,-1.963794102
-0.019716,-1.963583228
-0.019712,-1.963371979
-0.019708,-1.963160401
-0.019704,-1.962948541
-0.0197,-1.962736448
-0.019696,-1.962524167
-0.019692,-1.962311746
-0.019688,-1.962099231
-0.019684,-1.961886668
-0.01968,-1.961674104
-0.019676,-1.961461583
-0.019672,-1.961249152
-0.019668,-1.961036855
-0.019664,-1.960824736
-0.01966,-1.96061284
-0.019656,-1.96040121
-0.019652,-1.960189889
-0.019648,-1.959978919
-0.019644,-1.959768342
-0.01964,-1.959558199
-0.019636,-1.95934853
-0.019632,-1.959139375
-0.019628,-1.958930774
-0.019624,-1.958722764
-0.01962,-1.958515384
-0.019616,-1.95830867
-0.019612,-1.958102659
-0.019608,-1.957897386
-0.019604,-1.957692886
-0.0196,-1.957489192
-0.019596,-1.957286339
-0.019592,-1.957084358
-0.019588,-1.956883281
-0.019584,-1.956683139
-0.01958,-1.956483962
-0.019576,-1.956285778
-0.019572,-1.956088617
-0.019568,-1.955892505
-0.019564,-1.95569747
-0.01956,-1.955503537
-0.019556,-1.955310732
-0.019552,-1.955119078
-0.019548,-1.954928599
-0.019544,-1.954739318
-0.01954,-1.954551256
-0.019536,-1.954364434
-0.019532,-1.954178872
-0.019528,-1.95399459
-0.019524,-1.953811606
-0.01952,-1.953629938
-0.019516,-1.953449603
-0.019512,-1.953270616
-0.019508,-1.953092993
-0.019504,-1.952916749
-0.0195,-1.952741897
-0.019496,-1.95256845
-0.019492,-1.952396421
-0.019488,-1.95222582
-0.019484,-1.95205666
-0.01948,-1.951888949
-0.019476,-1.951722697
-0.019472,-1.951557912
-0.019468,-1.951394604
-0.019464,-1.951232778
-0.01946,-1.951072441
-0.019456,-1.9509136
-0.019452,-1.95075626
-0.019448,-1.950600424
-0.019444,-1.950446098
-0.01944,-1.950293285
-0.019436,-1.950141987
-0.019432,-1.949992206
-0.019428,-1.949843945
-0.019424,-1.949697204
-0.01942,-1.949551984
-0.019416,-1.949408285
-0.019412,-1.949266105
-0.019408,-1.949125445
-0.019404,-1.948986302
-0.0194,-1.948848675
-0.019396,-1.948712559
-0.019392,-1.948577953
-0.019388,-1.948444852
-0.019384,-1.948313253
-0.01938,-1.94818315
-0.019376,-1.948054539
-0.019372,-1.947927413
-0.019368,-1.947801767
-0.019364,-1.947677593
-0.01936,-1.947554885
-0.019356,-1.947433635
-0.019352,-1.947313835
-0.019348,-1.947195477
-0.019344,-1.94707855
-0.01934,-1.946963047
-0.019336,-1.946848956
-0.019332,-1.946736267
-0.019328,-1.94662497
-0.019324,-1.946515053
-0.01932,-1.946406504
-0.019316,-1.946299311
-0.019312,-1.94619346
-0.019308,-1.94608894
-0.019304,-1.945985735
-0.0193,-1.945883833
-0.019296,-1.945783218
-0.019292,-1.945683876
-0.019288,-1.945585791
-0.019284,-1.945488948
-0.01928,-1.94539333
-0.019276,-1.945298922
-0.019272,-1.945205705
-0.019268,-1.945113663
-0.019264,-1.945022779
-0.01926,-1.944933035
-0.019256,-1.944844412
-0.019252,-1.944756893
-0.019248,-1.944670459
-0.019244,-1.944585091
-0.01924,-1.94450077
-0.019236,-1.944417478
-0.019232,-1.944335194
-0.019228,-1.944253901
-0.019224,-1.944173577
-0.01922,-1.944094205
-0.019216,-1.944015764
-0.019212,-1.943938235
-0.019208,-1.943861599
-0.019204,-1.943785837
-0.0192,-1.943710929
-0.019196,-1.943636855
-0.019192,-1.943563598
-0.019188,-1.943491139
-0.019184,-1.943419459
-0.01918,-1.943348539
-0.019176,-1.943278362
-0.019172,-1.943208909
-0.019168,-1.943140164
-0.019164,-1.943072109
-0.01916,-1.943004727
-0.019156,-1.942938002
-0.019152,-1.942871918
-0.019148,-1.942806459
-0.019144,-1.942741609
-0.01914,-1.942677353
-0.019136,-1.942613677
-0.019132,-1.942550567
-0.019128,-1.942488008
-0.019124,-1.942425988
-0.01912,-1.942364493
-0.019116,-1.94230351
-0.019112,-1.942243028
-0.019108,-1.942183034
-0.019104,-1.942123517
-0.0191,-1.942064466
-0.019096,-1.942005869
-0.019092,-1.941947716
-0.019088,-1.941889998
-0.019084,-1.941832704
-0.01908,-1.941775824
-0.019076,-1.941719349
-0.019072,-1.94166327
-0.019068,-1.941607578
-0.019064,-1.941552264
-0.01906,-1.94149732
-0.019056,-1.941442738
-0.019052,-1.941388508
-0.019048,-1.941334623
-0.019044,-1.941281076
-0.01904,-1.941227857
-0.019036,-1.94117496
-0.019032,-1.941122376
-0.019028,-1.941070098
-0.019024,-1.941018117
-0.01902,-1.940966427
-0.019016,-1.940915019
-0.019012,-1.940863886
-0.019008,-1.94081302
-0.019004,-1.940762412
-0.019,-1.940712056
-0.018996,-1.940661942
-0.018992,-1.940612064
-0.018988,-1.940562412
-0.018984,-1.940512979
-0.01898,-1.940463756
-0.018976,-1.940414736
-0.018972,-1.940365908
-0.018968,-1.940317266
-0.018964,-1.9402688
-0.01896,-1.940220502
-0.018956,-1.940172363
-0.018952,-1.940124373
-0.018948,-1.940076525
-0.018944,-1.940028809
-0.01894,-1.939981215
-0.018936,-1.939933736
-0.018932,-1.939886361
-0.018928,-1.939839082
-0.018924,-1.93979189
-0.01892,-1.939744775
-0.018916,-1.939697728
-0.018912,-1.939650739
-0.018908,-1.939603801
-0.018904,-1.939556903
-0.0189,-1.939510037
-0.018896,-1.939463194
-0.018892,-1.939416364
-0.018888,-1.939369539
-0.018884,-1.93932271
-0.01888,-1.939275869
-0.018876,-1.939229006
-0.018872,-1.939182115
-0.018868,-1.939135185
-0.018864,-1.93908821
-0.01886,-1.939041181
-0.018856,-1.93899409
-0.018852,-1.938946931
-0.018848,-1.938899695
-0.018844,-1.938852376
-0.01884,-1.938804966
-0.018836,-1.93875746
-0.018832,-1.93870985
-0.018828,-1.93866213
-0.018824,-1.938614295
-0.01882,-1.938566338
-0.018816,-1.938518255
-0.018812,-1.938470041
-0.018808,-1.93842169
-0.018804,-1.938373198
-0.0188,-1.938324561
-0.018796,-1.938275775
-0.018792,-1.938226837
-0.018788,-1.938177744
-0.018784,-1.938128492
-0.01878,-1.93807908
-0.018776,-1.938029505
-0.018772,-1.937979765
-0.018768,-1.937929859
-0.018764,-1.937879787
-0.01876,-1.937829546
-0.018756,-1.937779138
-0.018752,-1.937728562
-0.018748,-1.937677818
-0.018744,-1.937626908
-0.01874,-1.937575832
-0.018736,-1.937524593
-0.018732,-1.937473192
-0.018728,-1.937421632
-0.018724,-1.937369914
-0.01872,-1.937318043
-0.018716,-1.937266022
-0.018712,-1.937213855
-0.018708,-1.937161545
-0.018704,-1.937109097
-0.0187,-1.937056516
-0.018696,-1.937003808
-0.018692,-1.936950976
-0.018688,-1.936898029
-0.018684,-1.93684497
-0.01868,-1.936791807
-0.018676,-1.936738547
-0.018672,-1.936685196
-0.018668,-1.936631761
-0.018664,-1.93657825
-0.01866,-1.93652467
-0.018656,-1.936471029
-0.018652,-1.936417335
-0.018648,-1.936363596
-0.018644,-1.936309821
-0.01864,-1.936256017
-0.018636,-1.936202193
-0.018632,-1.936148359
-0.018628,-1.936094522
-0.018624,-1.936040692
-0.01862,-1.935986876
-0.018616,-1.935933085
-0.018612,-1.935879326
-0.018608,-1.935825609
-0.018604,-1.935771942
-0.0186,-1.935718334
-0.018596,-1.935664794
-0.018592,-1.93561133
-0.018588,-1.93555795
-0.018584,-1.935504663
-0.01858,-1.935451478
-0.018576,-1.935398401
-0.018572,-1.935345441
-0.018568,-1.935292606
-0.018564,-1.935239902
-0.01856,-1.935187337
-0.018556,-1.935134919
