Z-coordinate,Electric Potential,,,,,,,,,,,,,
0.005,-2.844584003,,,,,,,,,,,,,
0.005000833,-2.844586071,,,,,,,,,,,,,
0.005001667,-2.844588105,,,,,,,,,,,,,
0.0050025,-2.844590103,,,,,,,,,,,,,
0.005003333,-2.844592067,,,,,,,,,,,,,
0.005004167,-2.844593995,,,,,,,,,,,,,
0.005005,-2.844595889,,,,,,,,,,,,,
0.005005833,-2.844597748,,,,,,,,,,,,,"12,000 points, lower bound 5, upper bound 15, graphed along z-axis"
0.005006667,-2.844599573,,,,,,,,,,,,,
0.0050075,-2.844601363,,,,,,,,,,,,,
0.005008333,-2.844603118,,,,,,,,,,,,,
0.005009167,-2.844604838,,,,,,,,,,,,,
0.00501,-2.844606524,,,,,,,,,,,,,
0.005010833,-2.844608176,,,,,,,,,,,,,
0.005011667,-2.844609793,,,,,,,,,,,,,
0.0050125,-2.844611375,,,,,,,,,,,,,
0.005013333,-2.844612923,,,,,,,,,,,,,
0.005014167,-2.844614437,,,,,,,,,,,,,
0.005015,-2.844615917,,,,,,,,,,,,,
0.005015833,-2.844617362,,,,,,,,,,,,,
0.005016667,-2.844618773,,,,,,,,,,,,,
0.0050175,-2.84462015,,,,,,,,,,,,,
0.005018333,-2.844621493,,,,,,,,,,,,,
0.005019167,-2.844622802,,,,,,,,,,,,,
0.00502,-2.844624076,,,,,,,,,,,,,
0.005020833,-2.844625317,,,,,,,,,,,,,
0.005021667,-2.844626524,,,,,,,,,,,,,
0.0050225,-2.844627696,,,,,,,,,,,,,
0.005023333,-2.844628835,,,,,,,,,,,,,
0.005024167,-2.84462994,,,,,,,,,,,,,
0.005025,-2.844631012,,,,,,,,,,,,,
0.005025833,-2.844632049,,,,,,,,,,,,,
0.005026667,-2.844633053,,,,,,,,,,,,,
0.0050275,-2.844634023,,,,,,,,,,,,,
0.005028333,-2.844634959,,,,,,,,,,,,,
0.005029167,-2.844635862,,,,,,,,,,,,,
0.00503,-2.844636731,,,,,,,,,,,,,
0.005030833,-2.844637566,,,,,,,,,,,,,
0.005031667,-2.844638368,,,,,,,,,,,,,
0.0050325,-2.844639137,,,,,,,,,,,,,
0.005033333,-2.844639872,,,,,,,,,,,,,
0.005034167,-2.844640573,,,,,,,,,,,,,
0.005035,-2.844641242,,,,,,,,,,,,,
0.005035833,-2.844641877,,,,,,,,,,,,,
0.005036667,-2.844642478,,,,,,,,,,,,,
0.0050375,-2.844643046,,,,,,,,,,,,,
0.005038333,-2.844643581,,,,,,,,,,,,,
0.005039167,-2.844644083,,,,,,,,,,,,,
0.00504,-2.844644552,,,,,,,,,,,,,
0.005040833,-2.844644987,,,,,,,,,,,,,
0.005041667,-2.844645389,,,,,,,,,,,,,
0.0050425,-2.844645758,,,,,,,,,,,,,
0.005043333,-2.844646095,,,,,,,,,,,,,
0.005044167,-2.844646398,,,,,,,,,,,,,
0.005045,-2.844646667,,,,,,,,,,,,,
0.005045833,-2.844646904,,,,,,,,,,,,,
0.005046667,-2.844647108,,,,,,,,,,,,,
0.0050475,-2.84464728,,,,,,,,,,,,,
0.005048333,-2.844647418,,,,,,,,,,,,,
0.005049167,-2.844647523,,,,,,,,,,,,,
0.00505,-2.844647595,,,,,,,,,,,,,
0.005050833,-2.844647635,,,,,,,,,,,,,
0.005051667,-2.844647641,,,,,,,,,,,,,
0.0050525,-2.844647615,,,,,,,,,,,,,
0.005053333,-2.844647556,,,,,,,,,,,,,
0.005054167,-2.844647465,,,,,,,,,,,,,
0.005055,-2.84464734,,,,,,,,,,,,,
0.005055833,-2.844647183,,,,,,,,,,,,,
0.005056667,-2.844646993,,,,,,,,,,,,,
0.0050575,-2.844646771,,,,,,,,,,,,,
0.005058333,-2.844646516,,,,,,,,,,,,,
0.005059167,-2.844646228,,,,,,,,,,,,,
0.00506,-2.844645908,,,,,,,,,,,,,
0.005060833,-2.844645555,,,,,,,,,,,,,
0.005061667,-2.844645169,,,,,,,,,,,,,
0.0050625,-2.844644751,,,,,,,,,,,,,
0.005063333,-2.8446443,,,,,,,,,,,,,
0.005064167,-2.844643817,,,,,,,,,,,,,
0.005065,-2.844643301,,,,,,,,,,,,,
0.005065833,-2.844642753,,,,,,,,,,,,,
0.005066667,-2.844642173,,,,,,,,,,,,,
0.0050675,-2.844641559,,,,,,,,,,,,,
0.005068333,-2.844640914,,,,,,,,,,,,,
0.005069167,-2.844640236,,,,,,,,,,,,,
0.00507,-2.844639525,,,,,,,,,,,,,
0.005070833,-2.844638782,,,,,,,,,,,,,
0.005071667,-2.844638007,,,,,,,,,,,,,
0.0050725,-2.844637199,,,,,,,,,,,,,
0.005073333,-2.844636359,,,,,,,,,,,,,
0.005074167,-2.844635486,,,,,,,,,,,,,
0.005075,-2.844634581,,,,,,,,,,,,,
0.005075833,-2.844633644,,,,,,,,,,,,,
0.005076667,-2.844632674,,,,,,,,,,,,,
0.0050775,-2.844631672,,,,,,,,,,,,,
0.005078333,-2.844630638,,,,,,,,,,,,,
0.005079167,-2.844629571,,,,,,,,,,,,,
0.00508,-2.844628472,,,,,,,,,,,,,
0.005080833,-2.84462734,,,,,,,,,,,,,
0.005081667,-2.844626177,,,,,,,,,,,,,
0.0050825,-2.844624981,,,,,,,,,,,,,
0.005083333,-2.844623752,,,,,,,,,,,,,
0.005084167,-2.844622491,,,,,,,,,,,,,
0.005085,-2.844621198,,,,,,,,,,,,,
0.005085833,-2.844619873,,,,,,,,,,,,,
0.005086667,-2.844618515,,,,,,,,,,,,,
0.0050875,-2.844617125,,,,,,,,,,,,,
0.005088333,-2.844615703,,,,,,,,,,,,,
0.005089167,-2.844614248,,,,,,,,,,,,,
0.00509,-2.844612761,,,,,,,,,,,,,
0.005090833,-2.844611242,,,,,,,,,,,,,
0.005091667,-2.84460969,,,,,,,,,,,,,
0.0050925,-2.844608106,,,,,,,,,,,,,
0.005093333,-2.84460649,,,,,,,,,,,,,
0.005094167,-2.844604841,,,,,,,,,,,,,
0.005095,-2.84460316,,,,,,,,,,,,,
0.005095833,-2.844601447,,,,,,,,,,,,,
0.005096667,-2.844599701,,,,,,,,,,,,,
0.0050975,-2.844597923,,,,,,,,,,,,,
0.005098333,-2.844596113,,,,,,,,,,,,,
0.005099167,-2.84459427,,,,,,,,,,,,,
0.0051,-2.844592395,,,,,,,,,,,,,
0.005100833,-2.844590487,,,,,,,,,,,,,
0.005101667,-2.844588547,,,,,,,,,,,,,
0.0051025,-2.844586575,,,,,,,,,,,,,
0.005103333,-2.84458457,,,,,,,,,,,,,
0.005104167,-2.844582533,,,,,,,,,,,,,
0.005105,-2.844580463,,,,,,,,,,,,,
0.005105833,-2.844578361,,,,,,,,,,,,,
0.005106667,-2.844576227,,,,,,,,,,,,,
0.0051075,-2.84457406,,,,,,,,,,,,,
0.005108333,-2.84457186,,,,,,,,,,,,,
0.005109167,-2.844569628,,,,,,,,,,,,,
0.00511,-2.844567363,,,,,,,,,,,,,
