Y-coordinate,Electric Potential,,,,,
-1,-2.90E-08,,,,,
-0.998,-2.91E-08,,,,,
-0.996,-2.92E-08,,,,,
-0.994,-2.93E-08,,,,,
-0.992,-2.94E-08,,,,,
-0.99,-2.95E-08,,,,,
-0.988,-2.96E-08,,,,,
-0.986,-2.97E-08,,,,,
-0.984,-2.99E-08,,,,,
-0.982,-3.00E-08,,,,,
-0.98,-3.01E-08,,,,,
-0.978,-3.02E-08,,,,,
-0.976,-3.03E-08,,,,,
-0.974,-3.04E-08,,,,,
-0.972,-3.06E-08,,,,,
-0.97,-3.07E-08,,,,,
-0.968,-3.08E-08,,,,,
-0.966,-3.09E-08,,,,,
-0.964,-3.10E-08,,,,,
-0.962,-3.12E-08,,,,,
-0.96,-3.13E-08,,,,,
-0.958,-3.14E-08,,,,,
-0.956,-3.15E-08,,,,,
-0.954,-3.17E-08,,,,,
-0.952,-3.18E-08,,,,,
-0.95,-3.19E-08,,,,,
-0.948,-3.20E-08,,,,,
-0.946,-3.22E-08,,,,,
-0.944,-3.23E-08,,,,,
-0.942,-3.24E-08,,,,,
-0.94,-3.26E-08,,,,,
-0.938,-3.27E-08,,,,,
-0.936,-3.28E-08,,,,,
-0.934,-3.29E-08,,,,,
-0.932,-3.31E-08,,,,,
-0.93,-3.32E-08,,,,,
-0.928,-3.34E-08,,,,,
-0.926,-3.35E-08,,,,,
-0.924,-3.36E-08,,,,,
-0.922,-3.38E-08,,,,,
-0.92,-3.39E-08,,,,,
-0.918,-3.40E-08,,,,,
-0.916,-3.42E-08,,,,,
-0.914,-3.43E-08,,,,,
-0.912,-3.45E-08,,,,,
-0.91,-3.46E-08,,,,,
-0.908,-3.47E-08,,,,,
-0.906,-3.49E-08,,,,,
-0.904,-3.50E-08,,,,,
-0.902,-3.52E-08,,,,,
-0.9,-3.53E-08,,,,,
-0.898,-3.55E-08,,,,,
-0.896,-3.56E-08,,,,,
-0.894,-3.58E-08,,,,,
-0.892,-3.59E-08,,,,,
-0.89,-3.61E-08,,,,,
-0.888,-3.62E-08,,,,,
-0.886,-3.64E-08,,,,,
-0.884,-3.65E-08,,,,,
-0.882,-3.67E-08,,,,,
-0.88,-3.69E-08,,,,,
-0.878,-3.70E-08,,,,,
-0.876,-3.72E-08,,,,,
-0.874,-3.73E-08,,,,,
-0.872,-3.75E-08,,,,,
-0.87,-3.77E-08,,,,,
-0.868,-3.78E-08,,,,,
-0.866,-3.80E-08,,,,,
-0.864,-3.81E-08,,,,,
-0.862,-3.83E-08,,,,,
-0.86,-3.85E-08,,,,,
-0.858,-3.86E-08,,,,,
