"Y-coordinate","Electric Potential"
"-10.0","3.378904165158052E-11"
"-9.998","3.380277340997225E-11"
"-9.995999999999999","3.381651232737743E-11"
"-9.993999999999998","3.3830260244861E-11"
"-9.991999999999997","3.384401537469249E-11"
"-9.989999999999997","3.385778114311469E-11"
"-9.987999999999996","3.387155717761275E-11"
"-9.985999999999995","3.388533648387033E-11"
"-9.983999999999995","3.389912373913855E-11"
"-9.981999999999994","3.3912924075557395E-11"
"-9.979999999999993","3.392673585612471E-11"
"-9.977999999999993","3.3940549500602955E-11"
"-9.975999999999992","3.39543724711152E-11"
"-9.973999999999991","3.39682001514894E-11"
"-9.97199999999999","3.3982038974759504E-11"
"-9.96999999999999","3.399589369343872E-11"
"-9.96799999999999","3.400974786123309E-11"
"-9.965999999999989","3.402361207034751E-11"
"-9.963999999999988","3.403748030493448E-11"
"-9.961999999999987","3.405136936536482E-11"
"-9.959999999999987","3.406525587137262E-11"
"-9.957999999999986","3.407915181065478E-11"
"-9.955999999999985","3.409306759148522E-11"
"-9.953999999999985","3.410697566246838E-11"
"-9.951999999999984","3.412091055502084E-11"
"-9.949999999999983","3.41348432379627E-11"
"-9.947999999999983","3.4148789517737456E-11"
"-9.945999999999982","3.416274319800523E-11"
"-9.943999999999981","3.417669248167331E-11"
"-9.94199999999998","3.41906663091601E-11"
"-9.93999999999998","3.4204642474109224E-11"
"-9.93799999999998","3.421861807262313E-11"
"-9.935999999999979","3.423261676509873E-11"
"-9.933999999999978","3.42466227609286E-11"
"-9.931999999999977","3.4260631380749493E-11"
"-9.929999999999977","3.4274649307013374E-11"
"-9.927999999999976","3.428867605146539E-11"
"-9.925999999999975","3.430271583906965E-11"
"-9.923999999999975","3.431675444203015E-11"
"-9.921999999999974","3.4330813680719616E-11"
"-9.919999999999973","3.4344877993102586E-11"
"-9.917999999999973","3.435894855898628E-11"
"-9.915999999999972","3.437302203422648E-11"
"-9.913999999999971","3.4387111890916446E-11"
"-9.91199999999997","3.4401204482256025E-11"
"-9.90999999999997","3.441532008064261E-11"
"-9.90799999999997","3.442943034604054E-11"
"-9.905999999999969","3.4443555318418275E-11"
"-9.903999999999968","3.445768260486137E-11"
"-9.901999999999967","3.4471831105019176E-11"
"-9.899999999999967","3.448597567820028E-11"
"-9.897999999999966","3.450013730969027E-11"
"-9.895999999999965","3.451430124266452E-11"
"-9.893999999999965","3.4528471858886625E-11"
"-9.891999999999964","3.454266062747338E-11"
"-9.889999999999963","3.455684923492409E-11"
"-9.887999999999963","3.457104793378458E-11"
"-9.885999999999962","3.458526206700226E-11"
"-9.883999999999961","3.459948011346254E-11"
"-9.88199999999996","3.461370964529403E-11"
"-9.87999999999996","3.4627942322482244E-11"
"-9.87799999999996","3.464219590543901E-11"
"-9.875999999999959","3.4656449540322155E-11"
"-9.873999999999958","3.4670709851545286E-11"
"-9.871999999999957","3.468497813258428E-11"
"-9.869999999999957","3.469925932768913E-11"
"-9.867999999999956","3.471355577698534E-11"
"-9.865999999999955","3.4727848448155674E-11"
"-9.863999999999955","3.4742157304784085E-11"
"-9.861999999999954","3.475647035263312E-11"
"-9.859999999999953","3.4770793800093186E-11"
"-9.857999999999953","3.4785134285016085E-11"
"-9.855999999999952","3.479947944224131E-11"
"-9.853999999999951","3.4813821351185593E-11"
"-9.85199999999995","3.482818214296362E-11"
"-9.84999999999995","3.48425595755682E-11"
"-9.84799999999995","3.485693253383148E-11"
"-9.845999999999949","3.4871316880286405E-11"
"-9.843999999999948","3.4885712089149095E-11"
"-9.841999999999947","3.490011511937475E-11"
"-9.839999999999947","3.4914530283342146E-11"
"-9.837999999999946","3.492895856276485E-11"
"-9.835999999999945","3.4943385886472874E-11"
"-9.833999999999945","3.4957830666483165E-11"
"-9.831999999999944","3.4972278700641495E-11"
"-9.829999999999943","3.498673730065891E-11"
"-9.827999999999943","3.5001201706849043E-11"
"-9.825999999999942","3.5015682746019125E-11"
"-9.823999999999941","3.503016461477656E-11"
"-9.82199999999994","3.504465950208523E-11"
"-9.81999999999994","3.50591617135126E-11"
"-9.81799999999994","3.507366895635975E-11"
"-9.815999999999939","3.508819222353913E-11"
"-9.813999999999938","3.5102723491502456E-11"
"-9.811999999999937","3.511726188658261E-11"
"-9.809999999999937","3.513181169281262E-11"
"-9.807999999999936","3.514636841713769E-11"
"-9.805999999999935","3.51609332881589E-11"
"-9.803999999999935","3.517550425058565E-11"
"-9.801999999999934","3.519009020773514E-11"
"-9.799999999999933","3.520468922563816E-11"
"-9.797999999999933","3.521929102901517E-11"
"-9.795999999999932","3.523390269287295E-11"
"-9.793999999999931","3.5248516582289634E-11"
"-9.79199999999993","3.526315066092356E-11"
"-9.78999999999993","3.5277791875847394E-11"
"-9.78799999999993","3.5292437729799443E-11"
"-9.785999999999929","3.530709547399333E-11"
"-9.783999999999928","3.5321767759143436E-11"
"-9.781999999999927","3.533644242977425E-11"
"-9.779999999999927","3.535112469772648E-11"
"-9.777999999999926","3.536582193951458E-11"
"-9.775999999999925","3.538051955370528E-11"
"-9.773999999999925","3.5395236093758517E-11"
"-9.771999999999924","3.540995899348146E-11"
"-9.769999999999923","3.542468646686804E-11"
"-9.767999999999923","3.543942159818572E-11"
"-9.765999999999922","3.545417522422091E-11"
"-9.763999999999921","3.546892720163198E-11"
"-9.76199999999992","3.5483701449498766E-11"
"-9.75999999999992","3.5498470976799965E-11"
"-9.75799999999992","3.551325759821467E-11"
"-9.755999999999919","3.5528056534730786E-11"
"-9.753999999999918","3.5542863105862664E-11"
"-9.751999999999917","3.555767147702042E-11"
"-9.749999999999917","3.557249466570433E-11"
"-9.747999999999916","3.558732648181914E-11"
"-9.745999999999915","3.5602174353275075E-11"
"-9.743999999999915","3.561702520070714E-11"
"-9.741999999999914","3.563188336636019E-11"
"-9.739999999999913","3.5646746417041255E-11"
"-9.737999999999913","3.566163278561332E-11"
"-9.735999999999912","3.567651519394477E-11"
"-9.733999999999911","3.569141161980561E-11"
"-9.73199999999991","3.5706316248686725E-11"
"-9.72999999999991","3.572123438480249E-11"
"-9.72799999999991","3.573616544628977E-11"
"-9.725999999999908","3.575110146960793E-11"
"-9.723999999999908","3.576604105512232E-11"
"-9.721999999999907","3.578098984591051E-11"
"-9.719999999999906","3.5795954365186307E-11"
"-9.717999999999906","3.5810924113802075E-11"
"-9.715999999999905","3.5825909986541776E-11"
"-9.713999999999904","3.5840900304154646E-11"
"-9.711999999999904","3.5855900566673286E-11"
"-9.709999999999903","3.587091493577876E-11"
"-9.707999999999902","3.588593525628551E-11"
"-9.705999999999902","3.5900957983680215E-11"
"-9.703999999999901","3.591599835258363E-11"
"-9.7019999999999","3.5931039534401635E-11"
"-9.6999999999999","3.5946100028943353E-11"
