Z-coordinate,Electric Potential,,,,,,,,,,,,,
0.005,-0.001699483,,,,,,,,,,,,,
0.005000833,-0.001698977,,,,,,,,,,,,,
0.005001667,-0.001698472,,,,,,,,,,,,,
0.0050025,-0.001697967,,,,,,,,,,,,,
0.005003333,-0.001697462,,,,,,,,,,,,,
0.005004167,-0.001696958,,,,,,,,,,,,,
0.005005,-0.001696454,,,,,,,,,,,,,"12,000 points plotted, bounds: 5 - 15, plotted on z-axis"
0.005005833,-0.00169595,,,,,,,,,,,,,
0.005006667,-0.001695446,,,,,,,,,,,,,
0.0050075,-0.001694943,,,,,,,,,,,,,
0.005008333,-0.00169444,,,,,,,,,,,,,
0.005009167,-0.001693937,,,,,,,,,,,,,
0.00501,-0.001693434,,,,,,,,,,,,,
0.005010833,-0.001692931,,,,,,,,,,,,,
0.005011667,-0.001692429,,,,,,,,,,,,,
0.0050125,-0.001691927,,,,,,,,,,,,,
0.005013333,-0.001691426,,,,,,,,,,,,,
0.005014167,-0.001690924,,,,,,,,,,,,,
0.005015,-0.001690423,,,,,,,,,,,,,
0.005015833,-0.001689922,,,,,,,,,,,,,
0.005016667,-0.001689421,,,,,,,,,,,,,
0.0050175,-0.001688921,,,,,,,,,,,,,
0.005018333,-0.001688421,,,,,,,,,,,,,
0.005019167,-0.001687921,,,,,,,,,,,,,
0.00502,-0.001687421,,,,,,,,,,,,,
0.005020833,-0.001686922,,,,,,,,,,,,,
0.005021667,-0.001686422,,,,,,,,,,,,,
0.0050225,-0.001685923,,,,,,,,,,,,,
0.005023333,-0.001685425,,,,,,,,,,,,,
0.005024167,-0.001684926,,,,,,,,,,,,,
0.005025,-0.001684428,,,,,,,,,,,,,
0.005025833,-0.00168393,,,,,,,,,,,,,
0.005026667,-0.001683432,,,,,,,,,,,,,
0.0050275,-0.001682935,,,,,,,,,,,,,
0.005028333,-0.001682438,,,,,,,,,,,,,
0.005029167,-0.001681941,,,,,,,,,,,,,
0.00503,-0.001681444,,,,,,,,,,,,,
0.005030833,-0.001680947,,,,,,,,,,,,,
0.005031667,-0.001680451,,,,,,,,,,,,,
0.0050325,-0.001679955,,,,,,,,,,,,,
0.005033333,-0.001679459,,,,,,,,,,,,,
0.005034167,-0.001678964,,,,,,,,,,,,,
0.005035,-0.001678468,,,,,,,,,,,,,
0.005035833,-0.001677973,,,,,,,,,,,,,
0.005036667,-0.001677479,,,,,,,,,,,,,
0.0050375,-0.001676984,,,,,,,,,,,,,
0.005038333,-0.00167649,,,,,,,,,,,,,
0.005039167,-0.001675996,,,,,,,,,,,,,
0.00504,-0.001675502,,,,,,,,,,,,,
0.005040833,-0.001675008,,,,,,,,,,,,,
0.005041667,-0.001674515,,,,,,,,,,,,,
0.0050425,-0.001674022,,,,,,,,,,,,,
0.005043333,-0.001673529,,,,,,,,,,,,,
0.005044167,-0.001673037,,,,,,,,,,,,,
0.005045,-0.001672544,,,,,,,,,,,,,
0.005045833,-0.001672052,,,,,,,,,,,,,
0.005046667,-0.00167156,,,,,,,,,,,,,
0.0050475,-0.001671069,,,,,,,,,,,,,
0.005048333,-0.001670577,,,,,,,,,,,,,
0.005049167,-0.001670086,,,,,,,,,,,,,
0.00505,-0.001669595,,,,,,,,,,,,,
0.005050833,-0.001669105,,,,,,,,,,,,,
0.005051667,-0.001668614,,,,,,,,,,,,,
0.0050525,-0.001668124,,,,,,,,,,,,,
0.005053333,-0.001667634,,,,,,,,,,,,,
0.005054167,-0.001667144,,,,,,,,,,,,,
0.005055,-0.001666655,,,,,,,,,,,,,
0.005055833,-0.001666166,,,,,,,,,,,,,
0.005056667,-0.001665677,,,,,,,,,,,,,
0.0050575,-0.001665188,,,,,,,,,,,,,
0.005058333,-0.0016647,,,,,,,,,,,,,
0.005059167,-0.001664211,,,,,,,,,,,,,
0.00506,-0.001663723,,,,,,,,,,,,,
0.005060833,-0.001663236,,,,,,,,,,,,,
0.005061667,-0.001662748,,,,,,,,,,,,,
0.0050625,-0.001662261,,,,,,,,,,,,,
0.005063333,-0.001661774,,,,,,,,,,,,,
0.005064167,-0.001661287,,,,,,,,,,,,,
0.005065,-0.0016608,,,,,,,,,,,,,
0.005065833,-0.001660314,,,,,,,,,,,,,
0.005066667,-0.001659828,,,,,,,,,,,,,
0.0050675,-0.001659342,,,,,,,,,,,,,
0.005068333,-0.001658857,,,,,,,,,,,,,
0.005069167,-0.001658371,,,,,,,,,,,,,
0.00507,-0.001657886,,,,,,,,,,,,,
0.005070833,-0.001657401,,,,,,,,,,,,,
0.005071667,-0.001656916,,,,,,,,,,,,,
0.0050725,-0.001656432,,,,,,,,,,,,,
0.005073333,-0.001655948,,,,,,,,,,,,,
0.005074167,-0.001655464,,,,,,,,,,,,,
0.005075,-0.00165498,,,,,,,,,,,,,
0.005075833,-0.001654497,,,,,,,,,,,,,
0.005076667,-0.001654013,,,,,,,,,,,,,
0.0050775,-0.00165353,,,,,,,,,,,,,
0.005078333,-0.001653048,,,,,,,,,,,,,
0.005079167,-0.001652565,,,,,,,,,,,,,
0.00508,-0.001652083,,,,,,,,,,,,,
0.005080833,-0.001651601,,,,,,,,,,,,,
0.005081667,-0.001651119,,,,,,,,,,,,,
0.0050825,-0.001650637,,,,,,,,,,,,,
0.005083333,-0.001650156,,,,,,,,,,,,,
0.005084167,-0.001649675,,,,,,,,,,,,,
0.005085,-0.001649194,,,,,,,,,,,,,
0.005085833,-0.001648713,,,,,,,,,,,,,
0.005086667,-0.001648233,,,,,,,,,,,,,
0.0050875,-0.001647753,,,,,,,,,,,,,
0.005088333,-0.001647273,,,,,,,,,,,,,
0.005089167,-0.001646793,,,,,,,,,,,,,
0.00509,-0.001646314,,,,,,,,,,,,,
0.005090833,-0.001645834,,,,,,,,,,,,,
0.005091667,-0.001645355,,,,,,,,,,,,,
0.0050925,-0.001644877,,,,,,,,,,,,,
0.005093333,-0.001644398,,,,,,,,,,,,,
0.005094167,-0.00164392,,,,,,,,,,,,,
0.005095,-0.001643442,,,,,,,,,,,,,
0.005095833,-0.001642964,,,,,,,,,,,,,
0.005096667,-0.001642486,,,,,,,,,,,,,
0.0050975,-0.001642009,,,,,,,,,,,,,
0.005098333,-0.001641532,,,,,,,,,,,,,
0.005099167,-0.001641055,,,,,,,,,,,,,
0.0051,-0.001640578,,,,,,,,,,,,,
0.005100833,-0.001640102,,,,,,,,,,,,,
0.005101667,-0.001639625,,,,,,,,,,,,,
