Z-coordinate,Electric Potential
0.005,-1.977843179
0.005000833,-1.977835268
0.005001667,-1.97782744
0.0050025,-1.977819697
0.005003333,-1.977812039
0.005004167,-1.977804468
0.005005,-1.977796983
0.005005833,-1.977789586
0.005006667,-1.977782278
0.0050075,-1.977775058
0.005008333,-1.977767929
0.005009167,-1.97776089
0.00501,-1.977753942
0.005010833,-1.977747086
0.005011667,-1.977740323
0.0050125,-1.977733652
0.005013333,-1.977727075
0.005014167,-1.977720592
0.005015,-1.977714203
0.005015833,-1.97770791
0.005016667,-1.977701712
0.0050175,-1.977695609
0.005018333,-1.977689603
0.005019167,-1.977683693
0.00502,-1.97767788
0.005020833,-1.977672164
0.005021667,-1.977666545
0.0050225,-1.977661024
0.005023333,-1.9776556
0.005024167,-1.977650274
0.005025,-1.977645047
0.005025833,-1.977639917
0.005026667,-1.977634886
0.0050275,-1.977629952
0.005028333,-1.977625117
0.005029167,-1.97762038
0.00503,-1.97761574
0.005030833,-1.977611199
0.005031667,-1.977606755
0.0050325,-1.977602408
0.005033333,-1.977598159
0.005034167,-1.977594007
0.005035,-1.977589951
0.005035833,-1.977585991
0.005036667,-1.977582127
0.0050375,-1.977578359
0.005038333,-1.977574685
0.005039167,-1.977571106
0.00504,-1.977567621
0.005040833,-1.977564229
0.005041667,-1.97756093
0.0050425,-1.977557722
0.005043333,-1.977554606
0.005044167,-1.97755158
0.005045,-1.977548643
0.005045833,-1.977545795
0.005046667,-1.977543036
0.0050475,-1.977540363
0.005048333,-1.977537776
0.005049167,-1.977535274
0.00505,-1.977532856
0.005050833,-1.97753052
0.005051667,-1.977528267
0.0050525,-1.977526093
0.005053333,-1.977523999
0.005054167,-1.977521983
0.005055,-1.977520043
0.005055833,-1.977518179
0.005056667,-1.977516388
0.0050575,-1.97751467
0.005058333,-1.977513023
0.005059167,-1.977511445
0.00506,-1.977509936
0.005060833,-1.977508492
0.005061667,-1.977507113
0.0050625,-1.977505797
0.005063333,-1.977504542
0.005064167,-1.977503347
0.005065,-1.977502209
0.005065833,-1.977501127
0.005066667,-1.977500099
0.0050675,-1.977499123
0.005068333,-1.977498197
0.005069167,-1.977497319
0.00507,-1.977496488
0.005070833,-1.9774957
0.005071667,-1.977494955
0.0050725,-1.977494249
0.005073333,-1.977493581
0.005074167,-1.977492949
0.005075,-1.97749235
0.005075833,-1.977491783
0.005076667,-1.977491244
0.0050775,-1.977490732
0.005078333,-1.977490244
0.005079167,-1.977489778
0.00508,-1.977489332
0.005080833,-1.977488904
0.005081667,-1.97748849
0.0050825,-1.977488089
0.005083333,-1.977487698
0.005084167,-1.977487314
0.005085,-1.977486936
0.005085833,-1.97748656
0.005086667,-1.977486185
0.0050875,-1.977485807
0.005088333,-1.977485425
0.005089167,-1.977485035
0.00509,-1.977484636
0.005090833,-1.977484224
0.005091667,-1.977483797
0.0050925,-1.977483353
0.005093333,-1.97748289
0.005094167,-1.977482403
0.005095,-1.977481892
0.005095833,-1.977481353
0.005096667,-1.977480784
0.0050975,-1.977480183
0.005098333,-1.977479546
0.005099167,-1.977478872
0.0051,-1.977478158
0.005100833,-1.977477401
0.005101667,-1.977476599
0.0051025,-1.97747575
0.005103333,-1.97747485
0.005104167,-1.977473899
0.005105,-1.977472893
0.005105833,-1.977471829
0.005106667,-1.977470706
0.0051075,-1.977469522
0.005108333,-1.977468273
0.005109167,-1.977466958
0.00511,-1.977465574
