Z-coordinate,Electric Potential
-0.02,-1.963149556
-0.019996,-2.005822044
-0.019992,-2.02682844
-0.019988,-2.037928489
-0.019984,-2.044147589
-0.01998,-2.047652713
-0.019976,-2.049524412
-0.019972,-2.050371579
-0.019968,-2.050570859
-0.019964,-2.050364449
-0.01996,-2.049904568
-0.019956,-2.049279467
-0.019952,-2.048534137
-0.019948,-2.047689254
-0.019944,-2.046757238
-0.01994,-2.045752852
-0.019936,-2.044697061
-0.019932,-2.043615491
-0.019928,-2.042534558
-0.019924,-2.041477806
-0.01992,-2.040463275
-0.019916,-2.039501544
-0.019912,-2.038594071
-0.019908,-2.037732299
-0.019904,-2.036898697
-0.0199,-2.036070674
-0.019896,-2.035226936
-0.019892,-2.034354261
-0.019888,-2.033452088
-0.019884,-2.032533386
-0.01988,-2.03162196
-0.019876,-2.030747508
-0.019872,-2.029939763
-0.019868,-2.029222452
-0.019864,-2.028607681
-0.01986,-2.028091837
-0.019856,-2.027654699
-0.019852,-2.027263058
-0.019848,-2.026878518
-0.019844,-2.026467222
-0.01984,-2.026008408
-0.019836,-2.025499201
-0.019832,-2.024954277
-0.019828,-2.024400334
-0.019824,-2.02386692
-0.01982,-2.023376858
-0.019816,-2.022940355
-0.019812,-2.022555569
-0.019808,-2.022215123
-0.019804,-2.021914965
-0.0198,-2.021660763
-0.019796,-2.021468419
-0.019792,-2.021358276
-0.019788,-2.021345907
-0.019784,-2.021434188
-0.01978,-2.021610558
-0.019776,-2.021850278
-0.019772,-2.02212332
-0.019768,-2.022401297
-0.019764,-2.022661913
-0.01976,-2.022890338
-0.019756,-2.023078236
-0.019752,-2.023221436
-0.019748,-2.023317149
-0.019744,-2.023361832
-0.01974,-2.023350863
-0.019736,-2.023280518
-0.019732,-2.023151123
-0.019728,-2.022969081
-0.019724,-2.02274608
-0.01972,-2.022495799
-0.019716,-2.022230233
-0.019712,-2.02195762
-0.019708,-2.021682474
-0.019704,-2.021406822
-0.0197,-2.021131517
-0.019696,-2.020857149
-0.019692,-2.020584602
-0.019688,-2.020315226
-0.019684,-2.020050413
-0.01968,-2.019790684
-0.019676,-2.019534948
-0.019672,-2.019280754
-0.019668,-2.019025566
-0.019664,-2.018768108
-0.01966,-2.018508671
-0.019656,-2.018248068
-0.019652,-2.017986095
-0.019648,-2.017720814
-0.019644,-2.017449544
-0.01964,-2.01717123
-0.019636,-2.016888756
-0.019632,-2.016609522
-0.019628,-2.016343697
-0.019624,-2.01610106
-0.01962,-2.01588812
-0.019616,-2.015706781
-0.019612,-2.015554523
-0.019608,-2.015425148
-0.019604,-2.01530918
-0.0196,-2.015193954
-0.019596,-2.015064324
-0.019592,-2.014904816
-0.019588,-2.014702842
-0.019584,-2.014451485
-0.01958,-2.01415047
-0.019576,-2.013805246
-0.019572,-2.013425237
-0.019568,-2.013022348
-0.019564,-2.012610122
-0.01956,-2.012203381
-0.019556,-2.011818198
-0.019552,-2.011472153
-0.019548,-2.011184685
-0.019544,-2.010976942
-0.01954,-2.010870181
-0.019536,-2.010882025
-0.019532,-2.011021068
-0.019528,-2.011281817
-0.019524,-2.01164259
-0.01952,-2.012067794
-0.019516,-2.012513859
-0.019512,-2.01293668
-0.019508,-2.013298611
-0.019504,-2.013573993
-0.0195,-2.013752607
-0.019496,-2.01384016
-0.019492,-2.013855052
-0.019488,-2.013821679
-0.019484,-2.013761982
-0.01948,-2.013687831
-0.019476,-2.013596762
-0.019472,-2.013472674
-0.019468,-2.01329166
-0.019464,-2.013031406
-0.01946,-2.012681171
-0.019456,-2.012248914
-0.019452,-2.011763027
-0.019448,-2.011268172
-0.019444,-2.010816986
-0.01944,-2.010460891
-0.019436,-2.010243037
-0.019432,-2.01019462
-0.019428,-2.010333755
-0.019424,-2.010665072
-0.01942,-2.011178935
-0.019416,-2.011850702
-0.019412,-2.012641497
-0.019408,-2.013501721
-0.019404,-2.014377141
-0.0194,-2.015215909
-0.019396,-2.015974535
-0.019392,-2.016621683
-0.019388,-2.017139816
-0.019384,-2.017525081
-0.01938,-2.017785502
-0.019376,-2.01793733
-0.019372,-2.01799989
-0.019368,-2.017990118
-0.019364,-2.01791861
-0.01936,-2.017788797
-0.019356,-2.017599566
-0.019352,-2.017349989
-0.019348,-2.017043577
-0.019344,-2.0166898
-0.01934,-2.016302211
-0.019336,-2.015894418
-0.019332,-2.01547615
-0.019328,-2.015051213
-0.019324,-2.014617711
-0.01932,-2.014169746
-0.019316,-2.013699574
-0.019312,-2.013199758
-0.019308,-2.012665363
-0.019304,-2.012096162
-0.0193,-2.011498409
-0.019296,-2.010885384
-0.019292,-2.010276288
-0.019288,-2.009693782
-0.019284,-2.009161081
-0.01928,-2.008699437
-0.019276,-2.008326429
-0.019272,-2.008055265
-0.019268,-2.007895115
-0.019264,-2.007852226
-0.01926,-2.007930957
-0.019256,-2.008133712
-0.019252,-2.008459449
-0.019248,-2.008901631
-0.019244,-2.009447248
-0.01924,-2.010077987
-0.019236,-2.010773109
-0.019232,-2.011512312
-0.019228,-2.012276722
-0.019224,-2.013047527
-0.01922,-2.0138034
-0.019216,-2.014518617
-0.019212,-2.015163208
-0.019208,-2.015705186
-0.019204,-2.016113987
-0.0192,-2.016364152
-0.019196,-2.016438809
-0.019192,-2.016332705
-0.019188,-2.016054293
-0.019184,-2.015625932
-0.01918,-2.015081523
-0.019176,-2.014461989
-0.019172,-2.013810155
-0.019168,-2.013166737
-0.019164,-2.012568263
-0.01916,-2.01204651
-0.019156,-2.011628351
-0.019152,-2.011334871
-0.019148,-2.011179155
-0.019144,-2.011163152
-0.01914,-2.011275118
-0.019136,-2.011489561
-0.019132,-2.011770737
-0.019128,-2.012079029
-0.019124,-2.012378037
-0.01912,-2.012640093
-0.019116,-2.012848952
-0.019112,-2.01299983
-0.019108,-2.01309765
-0.019104,-2.013154183
-0.0191,-2.013184447
-0.019096,-2.01320282
-0.019092,-2.013219637
-0.019088,-2.013239254
-0.019084,-2.013260142
-0.01908,-2.013276997
-0.019076,-2.013284183
-0.019072,-2.013279413
-0.019068,-2.01326643
-0.019064,-2.013255555
-0.01906,-2.013261378
-0.019056,-2.013297697
-0.019052,-2.013370943
-0.019048,-2.013474483
-0.019044,-2.01358642
-0.01904,-2.013672427
-0.019036,-2.013692853
-0.019032,-2.013611479
-0.019028,-2.013403103
-0.019024,-2.013058674
-0.01902,-2.012588255
-0.019016,-2.012022313
-0.019012,-2.011410635
-0.019008,-2.010817275
