X-coordinate,Electric Potential,,,,,,
-10,5.91E-06,,,,,,
-9.98,5.93E-06,,,,,,
-9.96,5.95E-06,,,,,,
-9.94,5.98E-06,,,,,,
-9.92,6.00E-06,,,,,,
-9.9,6.03E-06,,,,,,
-9.88,6.05E-06,,,,,,
-9.86,6.07E-06,,,,,,
-9.84,6.10E-06,,,,,,
-9.82,6.12E-06,,,,,,
-9.8,6.15E-06,,,,,,
-9.78,6.17E-06,,,,,,
-9.76,6.20E-06,,,,,,
-9.74,6.22E-06,,,,,,
-9.72,6.25E-06,,,,,,
-9.7,6.28E-06,,,,,,
-9.68,6.30E-06,,,,,,
-9.66,6.33E-06,,,,,,
-9.64,6.35E-06,,,,,,
-9.62,6.38E-06,,,,,,
-9.6,6.41E-06,,,,,,
-9.58,6.43E-06,,,,,,
-9.56,6.46E-06,,,,,,
-9.54,6.49E-06,,,,,,
-9.52,6.52E-06,,,,,,
-9.5,6.54E-06,,,,,,
-9.48,6.57E-06,,,,,,
-9.46,6.60E-06,,,,,,
-9.44,6.63E-06,,,,,,
-9.42,6.65E-06,,,,,,
-9.4,6.68E-06,,,,,,
-9.38,6.71E-06,,,,,,
-9.36,6.74E-06,,,,,,
-9.34,6.77E-06,,,,,,
-9.32,6.80E-06,,,,,,
-9.3,6.83E-06,,,,,,
-9.28,6.86E-06,,,,,,
-9.26,6.89E-06,,,,,,
-9.24,6.92E-06,,,,,,
-9.22,6.95E-06,,,,,,
-9.2,6.98E-06,,,,,,
-9.18,7.01E-06,,,,,,
-9.16,7.04E-06,,,,,,
-9.14,7.07E-06,,,,,,
-9.12,7.10E-06,,,,,,
-9.1,7.13E-06,,,,,,
-9.08,7.16E-06,,,,,,
-9.06,7.19E-06,,,,,,
-9.04,7.23E-06,,,,,,
-9.02,7.26E-06,,,,,,
-9,7.29E-06,,,,,,
-8.98,7.32E-06,,,,,,
-8.96,7.36E-06,,,,,,
-8.94,7.39E-06,,,,,,
-8.92,7.42E-06,,,,,,
-8.9,7.46E-06,,,,,,
-8.88,7.49E-06,,,,,,
-8.86,7.52E-06,,,,,,
-8.84,7.56E-06,,,,,,
-8.82,7.59E-06,,,,,,
-8.8,7.63E-06,,,,,,
-8.78,7.66E-06,,,,,,
-8.76,7.70E-06,,,,,,
-8.74,7.73E-06,,,,,,
-8.72,7.77E-06,,,,,,
-8.7,7.80E-06,,,,,,
-8.68,7.84E-06,,,,,,
-8.66,7.87E-06,,,,,,
-8.64,7.91E-06,,,,,,
-8.62,7.95E-06,,,,,,
-8.6,7.98E-06,,,,,,
-8.58,8.02E-06,,,,,,
-8.56,8.06E-06,,,,,,
-8.54,8.10E-06,,,,,,
-8.52,8.14E-06,,,,,,
-8.5,8.17E-06,,,,,,
-8.48,8.21E-06,,,,,,
-8.46,8.25E-06,,,,,,
-8.44,8.29E-06,,,,,,
-8.42,8.33E-06,,,,,,
-8.4,8.37E-06,,,,,,
-8.38,8.41E-06,,,,,,
-8.36,8.45E-06,,,,,,
-8.34,8.49E-06,,,,,,
-8.32,8.53E-06,,,,,,
-8.3,8.57E-06,,,,,,
-8.28,8.61E-06,,,,,,
-8.26,8.66E-06,,,,,,
-8.24,8.70E-06,,,,,,
-8.22,8.74E-06,,,,,,
-8.2,8.78E-06,,,,,,
-8.18,8.83E-06,,,,,,
-8.16,8.87E-06,,,,,,
-8.14,8.91E-06,,,,,,
-8.12,8.96E-06,,,,,,
-8.1,9.00E-06,,,,,,
-8.08,9.05E-06,,,,,,
-8.06,9.09E-06,,,,,,
-8.04,9.14E-06,,,,,,
-8.02,9.18E-06,,,,,,
-8,9.23E-06,,,,,,
-7.98,9.27E-06,,,,,,
-7.96,9.32E-06,,,,,,
-7.94,9.37E-06,,,,,,
-7.92,9.42E-06,,,,,,
-7.9,9.46E-06,,,,,,
-7.88,9.51E-06,,,,,,
-7.86,9.56E-06,,,,,,
-7.84,9.61E-06,,,,,,
-7.82,9.66E-06,,,,,,
-7.8,9.71E-06,,,,,,
-7.78,9.76E-06,,,,,,
-7.76,9.81E-06,,,,,,
-7.74,9.86E-06,,,,,,
-7.72,9.91E-06,,,,,,
-7.7,9.96E-06,,,,,,
-7.68,1.00E-05,,,,,,
-7.66,1.01E-05,,,,,,
-7.64,1.01E-05,,,,,,
-7.62,1.02E-05,,,,,,
-7.6,1.02E-05,,,,,,
-7.58,1.03E-05,,,,,,
-7.56,1.03E-05,,,,,,
-7.54,1.04E-05,,,,,,
-7.52,1.04E-05,,,,,,
-7.5,1.05E-05,,,,,,
-7.48,1.06E-05,,,,,,
-7.46,1.06E-05,,,,,,
-7.44,1.07E-05,,,,,,
