X-coordinate,Electric Potential,,,,,
-10,-9.66E-08,,,,,
-9.98,-9.70E-08,,,,,
-9.96,-9.74E-08,,,,,
-9.94,-9.78E-08,,,,,
-9.92,-9.82E-08,,,,,
-9.9,-9.85E-08,,,,,
-9.88,-9.89E-08,,,,,
-9.86,-9.93E-08,,,,,
-9.84,-9.98E-08,,,,,
-9.82,-1.00E-07,,,,,
-9.8,-1.01E-07,,,,,
-9.78,-1.01E-07,,,,,
-9.76,-1.01E-07,,,,,
-9.74,-1.02E-07,,,,,
-9.72,-1.02E-07,,,,,
-9.7,-1.03E-07,,,,,
-9.68,-1.03E-07,,,,,
-9.66,-1.03E-07,,,,,
-9.64,-1.04E-07,,,,,
-9.62,-1.04E-07,,,,,
-9.6,-1.05E-07,,,,,
-9.58,-1.05E-07,,,,,
-9.56,-1.06E-07,,,,,
-9.54,-1.06E-07,,,,,
-9.52,-1.07E-07,,,,,
-9.5,-1.07E-07,,,,,
-9.48,-1.07E-07,,,,,
-9.46,-1.08E-07,,,,,
-9.44,-1.08E-07,,,,,
-9.42,-1.09E-07,,,,,
-9.4,-1.09E-07,,,,,
-9.38,-1.10E-07,,,,,
-9.36,-1.10E-07,,,,,
-9.34,-1.11E-07,,,,,
-9.32,-1.11E-07,,,,,
-9.3,-1.12E-07,,,,,
-9.28,-1.12E-07,,,,,
-9.26,-1.13E-07,,,,,
-9.24,-1.13E-07,,,,,
-9.22,-1.14E-07,,,,,
-9.2,-1.14E-07,,,,,
-9.18,-1.15E-07,,,,,
-9.16,-1.15E-07,,,,,
-9.14,-1.16E-07,,,,,
-9.12,-1.16E-07,,,,,
-9.1,-1.17E-07,,,,,
-9.08,-1.17E-07,,,,,
-9.06,-1.18E-07,,,,,
-9.04,-1.18E-07,,,,,
-9.02,-1.19E-07,,,,,
-9,-1.19E-07,,,,,
-8.98,-1.20E-07,,,,,
-8.96,-1.20E-07,,,,,
-8.94,-1.21E-07,,,,,
-8.92,-1.21E-07,,,,,
-8.9,-1.22E-07,,,,,
-8.88,-1.22E-07,,,,,
-8.86,-1.23E-07,,,,,
-8.84,-1.24E-07,,,,,
-8.82,-1.24E-07,,,,,
-8.8,-1.25E-07,,,,,
-8.78,-1.25E-07,,,,,
-8.76,-1.26E-07,,,,,
-8.74,-1.26E-07,,,,,
-8.72,-1.27E-07,,,,,
