"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy"
"19.999989960702035","19.999990079302588","-1.4230572838804598E-6","-2009.869788975912","-1986.125876436551","-284.89633850954215","1","1.602E-19","9.999999999999876E-9","3.3434059999999994E-27","3.9780786132230076E-15","1.3456065150929294E-26","3.978078613236464E-15"
"19.99995982268997","19.999960297333125","-5.69507722289345E-6","-4019.7434673944795","-3972.254943161135","-569.7925015822753","1","1.602E-19","2.0000000000000477E-8","3.3434059999999994E-27","3.978087559734162E-15","5.387824637652181E-26","3.9780875597880405E-15"
"19.999909585905506","19.999910654043774","-1.2816057185480718E-5","-6029.62492863428","-5958.3903936655715","-854.6883136041487","1","1.602E-19","3.0000000000001824E-8","3.3434059999999994E-27","3.9781024766266975E-15","1.212668400386704E-25","3.978102476747964E-15"
"19.99983925025135","19.99984114935476","-2.278599278392863E-5","-8039.518066159044","-7944.535421462361","-1139.5835989578566","1","1.602E-19","3.999999999999993E-8","3.3434059999999994E-27","3.978123364006268E-15","2.1562231782739465E-25","3.978123364221891E-15"
"19.999748815591285","19.999751783154313","-3.560487787432748E-5","-10049.426773560397","-9930.693220094978","-1424.4781820212038","1","1.602E-19","4.999999999999803E-8","3.3434059999999994E-27","3.978150222020773E-15","3.369453402512711E-25","3.9781502223577184E-15"
"19.999638281750187","19.99964255529881","-5.12727045565142E-5","-12059.354944600287","-11916.866983148213","-1709.3718871654814","1","1.602E-19","5.999999999999614E-8","3.3434059999999994E-27","3.978183050860406E-15","4.852367566478161E-25","3.9781830513456434E-15"
"19.99950764851394","19.999513465612623","-6.978946317399968E-5","-14069.306473253877","-13903.059904258485","-1994.2645387538314","1","1.602E-19","6.999999999999425E-8","3.3434059999999994E-27","3.978221850757623E-15","6.60497605196852E-25","3.97822185141812E-15"
"19.999356915629523","19.999364513888253","-9.11551423138783E-5","-16079.285253751948","-15889.2751771242","-2279.1559611396265","1","1.602E-19","7.999999999999235E-8","3.3434059999999994E-27","3.978266621987142E-15","8.62729112936829E-25","3.978266622849871E-15"
"19.999186082805","19.999195699886233","-1.1536972880672287E-4","-18089.295180623772","-17875.51599551595","-2564.0459786648403","1","1.602E-19","8.999999999999046E-8","3.3434059999999994E-27","3.9783173648660214E-15","1.0919326957841291E-24","3.978317365957954E-15"
"19.99899514970941","19.9990070233352","-1.4243320772646263E-4","-20099.34014873948","-19861.785553287016","-2848.9344156584157","1","1.602E-19","9.999999999998856E-8","3.3434059999999994E-27","3.978374079753601E-15","1.3481099585553316E-24","3.9783740811017106E-15"
"19.998784115972903","19.998798483931655","-1.7234556239024369E-4","-22109.424053352974","-21848.0870443835","-3133.8210964346554","1","1.602E-19","1.0999999999998666E-7","3.3434059999999994E-27","3.97843676705153E-15","1.6312626949924574E-24","3.978436768682792E-15"
"19.99855298118665","19.9985700813404","-2.0510677435827556E-4","-24119.55079014462","-23834.423662854562","-3418.705845291591","1","1.602E-19","1.1999999999998583E-7","3.3434059999999994E-27","3.978505427203791E-15","1.9413928877911826E-24","3.978505429145184E-15"
"19.998301744902776","19.998321815194185","-2.4071682343365986E-4","-26129.72425526365","-25820.79860286293","-3703.588486509348","1","1.602E-19","1.2999999999999717E-7","3.3434059999999994E-27","3.97858006069661E-15","2.2785027086320184E-24","3.9785800629751124E-15"
"19.998030406634623","19.998053685093915","-2.7917568766220306E-4","-28139.948345371187","-27807.21505869492","-3988.4688443485556","1","1.602E-19","1.400000000000085E-7","3.3434059999999994E-27","3.978660668058582E-15","2.6425945182144714E-24","3.978660670701177E-15"
"19.99773896585656","19.997765690608393","-3.2048334333221513E-4","-30150.226957682815","-29793.676224770737","-4273.346743048682","1","1.602E-19","1.5000000000001985E-7","3.3434059999999994E-27","3.9787472498606185E-15","3.03367086629417E-24","3.9787472528942896E-15"
"19.99742742200383","19.997457831274584","-3.646397649742882E-4","-32160.56399001127","-31780.185295654668","-4558.222006826455","1","1.602E-19","1.6000000000003118E-7","3.3434059999999994E-27","3.9788398067160665E-15","3.4517344917229525E-24","3.978839810167801E-15"
"19.997095774472765","19.997130106597474","-4.1164492536105863E-4","-34170.96334080917","-33766.745466065455","-4843.0944598742635","1","1.602E-19","1.7000000000004252E-7","3.3434059999999994E-27","3.978938339280442E-15","3.8967883224919595E-24","3.9789383431772306E-15"
"19.996744022620668","19.996782516050164","-4.614987955069621E-4","-36181.42890921216","-35753.359930886334","-5127.963926358502","1","1.602E-19","1.8000000000005386E-7","3.3434059999999994E-27","3.9790428482517394E-15","4.368835475777711E-24","3.979042852620575E-15"
"19.996372165765926","19.99641505907368","-5.142013446679588E-4","-38191.96459508107","-37740.03188517531","-5412.8302304179515","1","1.602E-19","1.900000000000652E-7","3.3434059999999994E-27","3.9791533343703835E-15","4.8678792579910665E-24","3.979153339238263E-15"
"19.995980203187827","19.996027735077206","-5.697525403412547E-4","-40202.57429904515","-39726.764524174934","-5697.6931961622495","1","1.602E-19","2.0000000000007654E-7","3.3434059999999994E-27","3.979269798419054E-15","5.393923164829235E-24","3.979269803812977E-15"
"19.99556813412675","19.99562054343793","-6.281523482649945E-4","-42213.261922545025","-41713.56104332311","-5982.552647670174","1","1.602E-19","2.1000000000008788E-7","3.3434059999999994E-27","3.979392241222886E-15","5.94697088133085E-24","3.979392247169856E-15"
"19.995135957783948","19.995193483501048","-6.89400732417957E-4","-44224.03136787497","-43700.424638262615","-6267.408408988145","1","1.602E-19","2.2000000000009922E-7","3.3434059999999994E-27","3.979520663649458E-15","6.527026281933766E-24","3.979520670176484E-15"
"19.99468367332177","19.994746554579947","-7.534976550192136E-4","-46234.88653822637","-45687.35850485154","-6552.2603041285765","1","1.602E-19","2.3000000000011056E-7","3.3434059999999994E-27","3.979655066608688E-15","7.134093430536126E-24","3.979655073742782E-15"
"19.994211279863425","19.994279755955823","-8.204430765277838E-4","-48245.83133773034","-47674.36583917288","-6837.108157068267","1","1.602E-19","2.400000000001219E-7","3.3434059999999994E-27","3.979795451053033E-15","7.768176580560159E-24","3.97979545882121E-15"
"19.99371877649315","19.99379308687809","-8.902369556422704E-4","-50256.86967150089","-49661.44983754524","-7121.95179174686","1","1.602E-19","2.5000000000013324E-7","3.3434059999999994E-27","3.979941817977312E-15","8.429280175019202E-24","3.979941826406592E-15"
"19.99320616225609","19.993286546564107","-9.628792493004776E-4","-52268.00544567747","-51648.61369653212","-7406.791032065151","1","1.602E-19","2.600000000001446E-7","3.3434059999999994E-27","3.980094168418844E-15","9.117408846587394E-24","3.980094177536253E-15"
"19.992673436158224","19.992760134199315","-0.0010383699126790193","-54279.24256746839","-53635.86061295262","-7691.62570188362","1","1.602E-19","2.700000000001559E-7","3.3434059999999994E-27","3.98025250345752E-15","9.83256741767273E-24","3.9802525132900875E-15"
