"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy"
"20.0","20.0","0.0","0.0","0.0","0.0","1","1.602176634E-19","0.0","2.0141","-24831.93281538059","0.0","-24831.93281538059"
"3.333333333333334E-5","3.333333333333334E-5","-1.0772291225686245E-22","-7.450428165577471E-16","-7.356026587937041E-16","-2.1544582451372492E-17","1","1.602176634E-19","1.0E-5","2.0141","-40001.00003969987","6.8930959209567486E-18","-40001.00003969987"
"5.555555554810962E-11","5.5555555548199785E-11","-2.998604365023776E-22","8.972746914420723E-19","4.765841193796709E-20","-1.6882922397730523E-17","1","1.602176634E-19","2.0E-5","2.0141","-40000.999999999905","1.7966534456350302E-21","-40000.999999999905"
"9.259260604558137E-17","9.259259330146341E-17","-2.5324414975640025E-22","8.985318440164775E-19","4.8909339332790754E-20","-1.6882913340544174E-17","1","1.602176634E-19","3.0000000000000004E-5","2.0141","-40001.0","1.7966664728520238E-21","-40001.0"
"1.6779898025904273E-22","1.5505462852881768E-22","-2.5324398149071595E-22","8.985318461348699E-19","4.89093414590437E-20","-1.6882913340527158E-17","1","1.602176634E-19","4.0E-5","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.3478249869224785E-23","7.338981386887092E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","5.0E-5","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.34779926680075E-23","7.336409374714277E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","6.0E-5","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.3477992667578834E-23","7.3364093704275905E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","7.000000000000001E-5","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","8.0E-5","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","9.0E-5","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","1.0E-4","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","1.1E-4","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","1.2E-4","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","1.3000000000000002E-4","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","1.4000000000000001E-4","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","1.5000000000000001E-4","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","1.6E-4","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","1.7E-4","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","1.8E-4","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
"1.347799266757883E-23","7.336409370427583E-25","-2.5324398149026535E-22","8.985318461348735E-19","4.8909341459047246E-20","-1.6882913340527158E-17","1","1.602176634E-19","1.9E-4","2.0141","-40001.0","1.7966664728736476E-21","-40001.0"
