X,Y,Z,Vx,Vy,Vz,Polarity,Time,Mass,Electric Potential Energy,Kinetic Energy,
50,50,0,-2.05E+10,-2.08E+10,-1.02E+10,1,1.00E-10,3.34E-27,987.8681596,8.36E-24,987.8681596
43.85872662,43.75405769,-3.069306815,-6.37E+10,-6.46E+10,-3.05E+10,1,3.00E-10,3.34E-27,1793.83556,7.68E-24,1793.83556
37.4861618,37.2910644,-6.116827647,-9.17E+10,-9.28E+10,-4.00E+10,1,4.00E-10,3.34E-27,3556.628443,6.43E-24,3556.628443
28.31342316,28.01335189,-10.11266968,-1.30E+11,-1.31E+11,-4.76E+10,1,5.00E-10,3.34E-27,6829.433828,4.74E-24,6829.433828
15.29837708,14.88219,-14.87413629,-1.93E+11,-1.94E+11,-4.55E+10,1,6.00E-10,3.34E-27,13340.83979,2.82E-24,13340.83979
-3.972565603,-4.473187824,-19.42664895,-3.49E+11,-2.97E+11,6.98E+10,1,7.00E-10,3.34E-27,29753.2679,1.13E-24,29753.2679
-38.86031632,-34.20702453,-12.44182289,2.04E+10,-3.86E+11,4.12E+11,1,8.00E-10,3.34E-27,43564.12548,6.91E-25,43564.12548
-36.8238601,-72.77476195,28.78772574,6.21E+10,-3.49E+11,4.10E+11,1,9.00E-10,3.34E-27,7050.774461,4.74E-24,7050.774461
-30.61694627,-107.6845261,69.79079833,8.02E+10,-3.13E+11,3.90E+11,1,1.00E-09,3.34E-27,-364.1849244,1.25E-23,-364.1849244
-22.60074784,-138.9668819,108.8368568,8.47E+10,-2.97E+11,3.78E+11,1,1.10E-09,3.34E-27,-223.7819823,2.91E-23,-223.7819823
-14.13269894,-168.6625482,146.6604697,8.61E+10,-2.88E+11,3.70E+11,1,1.20E-09,3.34E-27,-146.2056979,5.29E-23,-146.2056979
-5.523502594,-197.4919274,183.706601,8.65E+10,-2.83E+11,3.65E+11,1,1.30E-09,3.34E-27,-102.5638309,8.38E-23,-102.5638309
3.131348729,-225.77818,220.2227639,8.67E+10,-2.79E+11,3.61E+11,1,1.40E-09,3.34E-27,-76.11294952,1.22E-22,-76.11294952
