"X","Y","Z","Vx","Vy","Vz","Polarity","Time","Mass","Electric Potential Energy","Kinetic Energy"
"50.0","50.0","0.0","-2047091.1281112048","-2081980.7686273854","-1023102.2717969996","1","1.0E-14","3.3434059999999994E-27","987.8681595590632","8.358514999999999E-24","987.8681595590632"
"49.999999938587266","49.99999993754058","-3.069306815390999E-8","-6141273.3865241","-6245942.307816494","-3069306.8151634275","1","3.0E-14","3.3434059999999994E-27","987.8681673922305","8.358514993097418E-24","987.8681673922305"
"49.99999987717453","49.99999987508116","-6.138613630554426E-8","-8188364.521206752","-8327923.08224692","-4092409.086277746","1","4.0E-14","3.3434059999999994E-27","987.8681830582893","8.358514979292252E-24","987.8681830582893"
"49.99999979529088","49.999999791801926","-1.0231022716832172E-7","-1.0235455662460849E7","-1.04099038624804E7","-5115511.356709378","1","5.0E-14","3.3434059999999994E-27","987.8682065576688","8.358514958584509E-24","987.8682065576688"
"49.99999969293633","49.99999968770289","-1.534653407354155E-7","-1.2282546812476866E7","-1.2491884650451269E7","-6138613.626230771","1","6.0E-14","3.3434059999999994E-27","987.8682378898709","8.35851493097418E-24","987.8682378898709"
"49.99999957011086","49.99999956278404","-2.1485147699772318E-7","-1.4329637973445285E7","-1.4573865448093882E7","-7161715.894614361","1","6.999999999999999E-14","3.3434059999999994E-27","987.8682770553213","8.35851489646127E-24","987.8682770553213"
"49.999999426814476","49.99999941704539","-2.864686359438668E-7","-1.637672914755659E7","-1.6655846257342605E7","-8184818.1616325835","1","7.999999999999999E-14","3.3434059999999994E-27","987.8683240536982","8.358514855045779E-24","987.8683240536982"
"49.99999926304719","49.99999925048692","-3.683168175601926E-7","-1.842382033700126E7","-1.873782708013177E7","-9207920.427057886","1","8.999999999999998E-14","3.3434059999999994E-27","987.8683788852192","8.358514806727705E-24","987.8683788852192"
"49.99999907880898","49.99999906310865","-4.6039602183077144E-7","-2.0470911543969776E7","-2.0819807918395728E7","-1.0231022690662703E7","1","9.999999999999998E-14","3.3434059999999994E-27","987.8684415499649","8.35851475150705E-24","987.8684415499649"
"49.999998874099866","49.99999885491057","-5.627062487373984E-7","-2.2518002770652622E7","-2.2901788774068844E7","-1.1254124952219484E7","1","1.0999999999999997E-13","3.3434059999999994E-27","987.8685120476371","8.358514689383816E-24","987.8685120476371"
"49.999998648919835","49.99999862589269","-6.752474982595933E-7","-2.4565094019240282E7","-2.4983769649085455E7","-1.2277227211500656E7","1","1.1999999999999997E-13","3.3434059999999994E-27","987.8685903783822","8.358514620357997E-24","987.8685903783822"
"49.9999984032689","49.99999837605499","-7.980197703745999E-7","-2.661218529192322E7","-2.706575054537992E7","-1.3300329468278673E7","1","1.2999999999999998E-13","3.3434059999999994E-27","987.8686765423387","8.358514544429597E-24","987.8686765423387"
"49.999998137147045","49.99999810539748","-9.310230650573866E-7","-2.8659276590891927E7","-2.914773146488659E7","-1.4323431722325949E7","1","1.3999999999999998E-13","3.3434059999999994E-27","987.8687705391794","8.358514461598617E-24","987.8687705391794"
