"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy"
"0.0","20.0","20.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","3.955224185609333E-15","0.0","3.955224185609333E-15"
"1.3281486265668245E-6","19.99801754842302","19.997786061606543","26.56297253133649","-39649.03153959942","-44278.76786913049","1","1.602E-19","2.0E-7","3.3434059999999994E-27","3.955224185609333E-15","1.4763877794154014E-24","3.955224187085721E-15"
"3.984445879700475E-6","19.99405264526906","19.99335818481963","39.84842034852576","-59477.11966293131","-66422.31192541441","1","1.602E-19","3.0E-7","3.3434059999999994E-27","3.9558489722913656E-15","5.905551117661606E-24","3.955848978196916E-15"
"7.96928791455305E-6","19.98810493330277","19.98671595362709","53.14180540951785","-79312.35342005607","-88574.1802672146","1","1.602E-19","4.0E-7","3.3434059999999994E-27","3.957098912886971E-15","1.3289124215838943E-23","3.957098926176095E-15"
"1.3283468455504834E-5","19.980173697960762","19.97785853560037","66.44713241325769","-99158.30860021584","-110738.54591462351","1","1.602E-19","5.0E-7","3.3434059999999994E-27","3.958974857524087E-15","2.3630922188776975E-23","3.9589748811550095E-15"
"1.9928181696830602E-5","19.97025786710074","19.966784681008903","79.76845013938839","-119018.56505803355","-132919.59558691527","1","1.602E-19","6.0E-7","3.3434059999999994E-27","3.961478140560696E-15","3.693694668512993E-23","3.961478177497643E-15"
"2.790502671076944E-5","19.958356010594937","19.95349272145021","93.1098668413262","-138896.708231329","-155121.5345902837","1","1.602E-19","7.0E-7","3.3434059999999994E-27","3.964610582758528E-15","5.321539529179417E-23","3.964610635973923E-15"
"3.721601339490206E-5","19.944466339771804","19.937980567991183","106.47556607242188","-158796.3306069503","-177348.5917669801","1","1.602E-19","8.0E-7","3.3434059999999994E-27","3.968374494301178E-15","7.247667473939581E-23","3.968374566777853E-15"
"4.786357000214425E-5","19.928586706711112","19.920245708814488","119.86982306366536","-178721.03312030347","-199605.02452289715","1","1.602E-19","9.0E-7","3.3434059999999994E-27","3.97277267866201E-15","9.473341793317198E-23","3.972772773395428E-15"
"5.9850552308510787E-5","19.91071460339908","19.900285206362195","133.2970217768949","-198674.42647308367","-221895.12395129644","1","1.602E-19","1.0E-6","3.3434059999999994E-27","3.977808437328769E-15","1.2000050484099053E-22","3.977808557329274E-15"
