"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy"
"20.0","20.0","0.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"19.99997990130858","19.999980138746544","-2.8489636769047905E-6","-4019.738284066726","-3972.250691571306","-569.7927353809581","1","1.602E-19","2.0E-8","3.3434059999999994E-27","3.978075637023979E-15","1.348300987573817E-26","3.978075637037462E-15"
"19.99993970392574","19.999940416239628","-8.546891030714372E-6","-6029.6113194314585","-5958.379230836599","-854.6889274591305","1","1.602E-19","3.0000000000000004E-8","3.3434059999999994E-27","3.978081607322734E-15","5.393203950295268E-26","3.978081607376666E-15"
"19.99987940781255","19.999880832447317","-1.7093780305305678E-5","-8039.492141494947","-7944.514157065422","-1139.584768310938","1","1.602E-19","4.0E-8","3.3434059999999994E-27","3.9780935479520154E-15","1.213472304853561E-25","3.978093548073363E-15"
"19.999799012891135","19.999801387305748","-2.8489627988415058E-5","-10049.384643703233","-9930.658663756247","-1424.4800823189469","1","1.602E-19","5.0E-8","3.3434059999999994E-27","3.97811145898576E-15","2.157289132331379E-25","3.978111459201489E-15"
"19.9996985190447","19.99970208071911","-4.2734428811604526E-5","-12059.292719623629","-11916.815944432445","-1709.3746938607183","1","1.602E-19","6.0E-8","3.3434059999999994E-27","3.978135340540205E-15","3.3707760696734893E-25","3.978135340877283E-15"
"19.999577926117503","19.999582912559664","-5.9828175750211704E-5","-14069.220262987357","-13902.989192652616","-1994.2684273071627","1","1.602E-19","6.999999999999999E-8","3.3434059999999994E-27","3.9781651927739984E-15","4.853940197272537E-25","3.9781651932593924E-15"
"19.999437233914872","19.99944388266774","-7.977086002328333E-5","-16079.171167732164","-15889.181602020946","-2279.1611070209374","1","1.602E-19","7.999999999999999E-8","3.3434059999999994E-27","3.9782010158878665E-15","6.606790483806544E-25","3.9782010165485454E-15"
"19.999276442203193","19.99928499085172","-1.025624710934927E-4","-18089.14932804497","-17875.3963661975","-2564.052557354793","1","1.602E-19","8.999999999999999E-8","3.3434059999999994E-27","3.978242810124953E-15","8.629337786371842E-25","3.978242810987887E-15"
"19.999095550709914","19.999106236888057","-1.2820299666704062E-4","-20099.158638404515","-19861.63667890852","-2848.9426026499727","1","1.602E-19","9.999999999999998E-8","3.3434059999999994E-27","3.9782905757706486E-15","1.0921594850645708E-24","3.978290576862808E-15"
"19.998894559123528","19.998907620521265","-1.5669242269354038E-4","-22109.202993624025","-21847.905733956733","-3133.831067234564","1","1.602E-19","1.0999999999999998E-7","3.3434059999999994E-27","3.9783443131526486E-15","1.3483576311078711E-24","3.978344314501006E-15"
"19.998673467093592","19.998689141463927","-1.88030733365886E-4","-24119.286288893825","-23834.20672523166","-3418.71777542189","1","1.602E-19","1.2E-7","3.3434059999999994E-27","3.978404022640962E-15","1.6315298691116728E-24","3.978404024272492E-15"
"19.9984322742307","19.998450799396675","-2.222179111201049E-4","-26129.41241982407","-25820.542846719894","-3703.602551508876","1","1.602E-19","1.3E-7","3.3434059999999994E-27","3.9784697046478645E-15","1.941678040345271E-24","3.978469706589542E-15"
"19.9981709801065","19.998192593968206","-2.592539366351937E-4","-28139.585282487416","-27806.917292515343","-3988.4852197744344","1","1.602E-19","1.4E-7","3.3434059999999994E-27","3.978541359627971E-15","2.278804175030816E-24","3.9785413619067745E-15"
"19.997889584253677","19.99791452479528","-2.99138788832938E-4","-30149.808773461715","-29793.333256829505","-4273.365604477838","1","1.602E-19","1.5000000000000002E-7","3.3434059999999994E-27","3.978618988078177E-15","2.6429104923744295E-24","3.978618990721088E-15"
"19.997588086165944","19.997616591462716","-3.418724448777164E-4","-32160.0867898727","-31779.793934001704","-4558.243529857109","1","1.602E-19","1.6000000000000003E-7","3.3434059999999994E-27","3.9787025905376924E-15","3.0339994006002966E-24","3.978702593571692E-15"
"19.997266485298045","19.997298793523374","-3.8745488017628745E-4","-34170.423229436754","-33766.302518509285","-4843.118820127397","1","1.602E-19","1.7000000000000004E-7","3.3434059999999994E-27","3.9787921675881845E-15","3.452073496987723E-24","3.978792171040258E-15"
"19.99692478106575","19.99696113049819","-4.3588606837756145E-4","-36180.82199050365","-35752.8622049779","-5127.991299479365","1","1.602E-19","1.8000000000000005E-7","3.3434059999999994E-27","3.97888771985353E-15","3.8971355679111696E-24","3.978887723750665E-15"
"19.996562972845844","19.996603601876142","-4.871659813723551E-4","-38191.28697209932","-37739.476188191606","-5412.8607920775785","1","1.602E-19","1.9000000000000006E-7","3.3434059999999994E-27","3.9789892479999605E-15","4.369188588883272E-24","3.9789892523691494E-15"
"19.996181059976124","19.99622620711426","-5.412945892931309E-4","-40201.82207396861","-39726.147663103045","-5697.727122058897","1","1.602E-19","2.0000000000000007E-7","3.3434059999999994E-27","3.979096752736163E-15","4.868235724600811E-24","3.979096757604399E-15"
"19.995779041755384","19.995828945637626","-5.982718605137198E-4","-42212.43119661811","-41712.879824843665","-5982.590113530863","1","1.602E-19","2.1000000000000008E-7","3.3434059999999994E-27","3.979210234813138E-15","5.394280328993667E-24","3.9792102402074185E-15"
"19.995356917443416","19.99541181683938","-6.580977616490284E-4","-44223.11824135898","-43699.67586873378","-6267.4495905701015","1","1.602E-19","2.200000000000001E-7","3.3434059999999994E-27","3.979329695024261E-15","5.947325945276764E-24","3.979329700971587E-15"
"19.994914686261","19.99497482008069","-7.207722575547294E-4","-46233.887110349766","-45686.53899029266","-6552.305377220712","1","1.602E-19","2.300000000000001E-7","3.3434059999999994E-27","3.979455134205324E-15","6.5273763060049645E-24","3.9794551407327E-15"
"19.9944523473899","19.99451795469079","-7.862953113269367E-4","-48244.74170663937","-47673.47238524865","-6837.15729749267","1","1.602E-19","2.400000000000001E-7","3.3434059999999994E-27","3.979586553234495E-15","7.134435333130961E-24","3.97958656036893E-15"
"19.993969899972832","19.994041219966935","-8.546668843018634E-4","-50255.68593420982","-49660.47924954919","-7122.00517536024","1","1.602E-19","2.500000000000001E-7","3.3434059999999994E-27","3.97972395303247E-15","7.768507138066135E-24","3.979723960800977E-15"
"19.99346734311349","19.99354461517444","-9.258869360554658E-4","-52266.72369801929","-51647.56277937086","-7406.848834760371","1","1.602E-19","2.600000000000001E-7","3.3434059999999994E-27","3.979867334562263E-15","8.429596021744382E-24","3.9798673429918585E-15"
"19.992944675876508","19.993028139546645","-9.999554244030696E-4","-54277.858904045024","-53634.72617112937","-7691.688099591111","1","1.602E-19","2.700000000000001E-7","3.3434059999999994E-27","3.98001669882945E-15","9.117706474688967E-24","3.980016707947156E-15"
"19.99240189728747","19.992491792284934","-0.0010768723053989806","-56289.09545932634","-55621.97262148949","-7976.522793710027","1","1.602E-19","2.800000000000001E-7","3.3434059999999994E-27","3.980172046881907E-15","9.832843177082272E-24","3.980172056714751E-15"
"19.991839006332874","19.991935572558717","-0.001156637533336081","-58300.437272007606","-57609.30532737503","-8261.352740932614","1","1.602E-19","2.9000000000000014E-7","3.3434059999999994E-27","3.980333379810226E-15","1.0575010998838616E-23","3.980333390385237E-15"
"19.991256001960156","19.991359479505444","-0.0012392510607454072","-60311.88825138133","-59596.727485978736","-8546.177765030714","1","1.602E-19","3.0000000000000015E-7","3.3434059999999994E-27","3.98050069874727E-15","1.1344214999679984E-23","3.980500710091485E-15"
"19.990652883077644","19.990763512230586","-0.0013247128383957144","-62323.45230793118","-61584.2422947721","-8830.997689730959","1","1.602E-19","3.1000000000000016E-7","3.3434059999999994E-27","3.980674004868674E-15","1.2140460429214794E-23","3.980674017009134E-15"
"19.990029648554565","19.99014766980764","-0.001413022815293024","-64335.13335337521","-63571.852951515284","-9115.812338713176","1","1.602E-19","3.2000000000000017E-7","3.3434059999999994E-27","3.98085329939236E-15","1.296375272701959E-23","3.980853312356113E-15"
"19.98938629722103","19.989511951278125","-0.0015041809386801559","-66346.9353007089","-65559.56265426683","-9400.621535608843","1","1.602E-19","3.300000000000002E-7","3.3434059999999994E-27","3.981038583578986E-15","1.3814097522723794E-23","3.981038597393084E-15"
"19.988722827868024","19.98885635565158","-0.0015981871540362443","-68358.86206424839","-67547.37460139346","-9685.425103999514","1","1.602E-19","3.400000000000002E-7","3.3434059999999994E-27","3.981229858731706E-15","1.4691500636097367E-23","3.981229873423207E-15"
"19.98803923924738","19.988180881905567","-0.0016950414050762393","-70370.91755967369","-69535.29199157978","-9970.222867415267","1","1.602E-19","3.500000000000002E-7","3.3434059999999994E-27","3.98142712619627E-15","1.5595968077141497E-23","3.981427141792238E-15"
"19.987335530071782","19.98748552898565","-0.001794743633750392","-72383.10570407198","-71523.318023838","-10255.014649333145","1","1.602E-19","3.600000000000002E-7","3.3434059999999994E-27","3.9816303873611134E-15","1.652750604618228E-23","3.9816304038886195E-15"
"19.986611699014745","19.986770295805414","-0.0018972937802437236","-74395.43041598091","-73511.4558975175","-10539.800273175617","1","1.602E-19","3.700000000000002E-7","3.3434059999999994E-27","3.981839643657276E-15","1.7486120933967374E-23","3.981839661143397E-15"
"19.985867744710582","19.986035181246436","-0.0020026917829754796","-76407.89561543189","-75499.7088123145","-10824.579562309033","1","1.602E-19","3.800000000000002E-7","3.3434059999999994E-27","3.982054896558442E-15","1.847181932176564E-23","3.9820549150302615E-15"
"19.985103665754426","19.985280184158313","-0.00211093757859857","-78420.50522399353","-77488.07996828153","-11109.352340042089","1","1.602E-19","3.9000000000000024E-7","3.3434059999999994E-27","3.9822761475810065E-15","1.9484607981469795E-23","3.9822761670656145E-15"
"19.98431946070219","19.984505303358635","-0.0022220311019989906","-80433.26316481511","-79476.572565837","-11394.118429624288","1","1.602E-19","4.0000000000000025E-7","3.3434059999999994E-27","3.982503398284045E-15","2.0524493875702034E-23","3.982503418808539E-15"
"19.98351512807054","19.983710537632973","-0.0023359722862952336","-82446.17336267002","-81465.18980577466","-11678.877654244416","1","1.602E-19","4.1000000000000026E-7","3.3434059999999994E-27","3.9827366502694744E-15","2.1591484157922673E-23","3.982736671860959E-15"
"19.982690666336914","19.982895885734916","-0.0024527610628376777","-84459.23974399923","-83453.93488927292","-11963.629837029022","1","1.602E-19","4.2000000000000027E-7","3.3434059999999994E-27","3.982975905181801E-15","2.268558617254176E-23","3.982975927867387E-15"
"19.981846073939472","19.982061346386022","-0.0025723973612079678","-86472.46623695502","-85442.81101790433","-12248.374801040914","1","1.602E-19","4.300000000000003E-7","3.3434059999999994E-27","3.98322116470843E-15","2.380680745503367E-23","3.9832211885152374E-15"
"19.980981349277105","19.98120691827584","-0.002694881109218377","-88485.85677144445","-87431.82139364482","-12533.112369277631","1","1.602E-19","4.400000000000003E-7","3.3434059999999994E-27","3.9834724305796285E-15","2.4955155732054805E-23","3.983472455534784E-15"
