X,Y,Z,Vx,Vy,Vz,Polarity,Charge,Time,Mass,Electric Potential Energy,Kinetic Energy,Total Energy
-0.02,0.02,0,0,0,0,1,1.60E-19,2.0141,3.34E-27,-3.97E-15,0,-3.97E-15
0.037968112,-0.044143628,-0.002337518,4.97E+12,-6.24E+12,-4.21E+11,1,1.60E-19,2.0141,3.34E-27,-7.72E-16,0.106707199,0.106707199
0.044724782,-0.056596137,-0.00425003,-4.81E+11,5.60E+11,-4.71E+09,1,1.60E-19,2.0141,3.34E-27,-9.62E-17,9.12E-04,9.12E-04
-0.017010359,0.021087222,1.32E-04,-2.78E+12,3.56E+12,6.92E+10,1,1.60E-19,2.0141,3.34E-27,-4.23E-15,0.034137624,0.034137624
-0.001709346,0.002085923,-7.63E-04,4.11E+12,-5.27E+12,-2.69E+11,1,1.60E-19,2.0141,3.34E-27,-6.41E-15,0.074742471,0.074742471
0.011494096,-0.01249694,-0.001600521,-6.25E+12,7.81E+12,1.39E+11,1,1.60E-19,2.0141,3.34E-27,-6.58E-15,0.167389384,0.167389384
-0.041712113,0.044064052,7.64E-04,7.39E+12,-6.05E+12,-2.89E+10,1,1.60E-19,2.0141,3.34E-27,-6.31E-16,0.152536324,0.152536324
0.072515622,-0.077540207,-3.28E-04,-9.87E+11,-1.94E+12,-4.60E+10,1,1.60E-19,2.0141,3.34E-27,4.39E-17,0.007897246,0.007897246
-0.00971972,-0.019539337,-4.67E-04,2.80E+10,-3.58E+10,-1.67E+09,1,1.60E-19,2.0141,3.34E-27,-5.47E-15,3.46E-06,3.46E-06
0.00470035,0.073809032,-5.53E-04,7.52E+11,1.05E+13,-9.54E+10,1,1.60E-19,2.0141,3.34E-27,-1.79E-17,0.185354598,0.185354598
0.00720909,0.099511148,-0.001086145,-2.99E+10,-5.36E+11,-1.55E+10,1,1.60E-19,2.0141,3.34E-27,4.83E-17,4.81E-04,4.81E-04
-2.72E-04,-0.005069262,-1.69E-04,5.59E+09,5.82E+10,-2.81E+09,1,1.60E-19,2.0141,3.34E-27,-6.40E-15,5.73E-06,5.73E-06
2.00E-05,0.002120816,-0.001512163,-2.68E+09,2.53E+11,-3.10E+11,1,1.60E-19,2.0141,3.34E-27,-6.41E-15,2.68E-04,2.68E-04
9.12E-05,0.002399927,-0.005342893,2.32E+10,3.34E+10,-5.55E+11,1,1.60E-19,2.0141,3.34E-27,-6.43E-15,5.18E-04,5.18E-04
9.88E-05,0.001809822,-0.010518168,6.61E+09,-5.43E+07,-1.67E+12,1,1.60E-19,2.0141,3.34E-27,-6.49E-15,0.004638152,0.004638152
0.001214597,-0.032600435,-0.010114079,4.42E+12,-1.49E+13,2.51E+12,1,1.60E-19,2.0141,3.34E-27,-2.94E-15,0.414872174,0.414872174
0.043759489,-0.130610748,0.028407204,-3.93E+10,1.83E+12,3.34E+11,1,1.60E-19,2.0141,3.34E-27,2.96E-17,0.005781933,0.005781933
-3.43E-04,0.018148806,0.003349017,1.06E+10,-2.95E+10,2.53E+09,1,1.60E-19,2.0141,3.34E-27,-5.58E-15,1.65E-06,1.65E-06
-5.79E-04,-0.011927857,0.021556977,-9.93E+10,8.71E+11,3.82E+12,1,1.60E-19,2.0141,3.34E-27,-4.80E-15,0.025700115,0.025700115
-6.33E-05,0.003032325,-0.006387664,-7.91E+11,-6.41E+12,-7.63E+12,1,1.60E-19,2.0141,3.34E-27,-6.44E-15,0.167112805,0.167112805
-0.005192844,-0.045933652,-0.066126098,5.91E+11,4.03E+12,2.72E+12,1,1.60E-19,2.0141,3.34E-27,-3.70E-16,0.040155099,0.040155099
