"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy","V/Cm"
"-30.0","-30.0","30.0","0.0","0.0","0.0","1","1.602176634E-19","0.0","3.3444950551171926E-27","-3372.333691967809","0.0","-3372.333691967809","3.6928053592390645E-14"
"239643.8139396654","245107.2927766841","-133849.01163718072","179755.3604547577","183852.96958252278","-100409.25872788033","1","1.602176634E-19","5.0E-11","3.3444950551171926E-27","1.4396362404301393E-6","7.95283376391774E-4","7.967230126322041E-4","1.7241103032158965E-27"
"239643.8139486664","245107.29278589165","-133849.0116421932","179755.36045477356","183852.96958254068","-100409.25872787069","1","1.602176634E-19","1.0E-10","3.3444950551171926E-27","1.4396362648337909E-6","7.952833763918821E-4","7.967230126567159E-4","1.7241103067895263E-27"
"239643.81395766736","245107.2927950992","-133849.01164720563","179755.36045478942","183852.96958255858","-100409.25872786106","1","1.602176634E-19","1.5E-10","3.3444950551171926E-27","1.4396362799863033E-6","7.952833763919902E-4","7.967230126719765E-4","1.7241103024985723E-27"
"239643.81396666836","245107.29280430675","-133849.0116522181","179755.36045480528","183852.96958257648","-100409.25872785143","1","1.602176634E-19","2.0E-10","3.3444950551171926E-27","1.43963625999665E-6","7.952833763920982E-4","7.967230126520948E-4","1.7241103031865647E-27"
"239643.81397566933","245107.2928135143","-133849.01165723053","179755.36045482114","183852.9695825944","-100409.25872784179","1","1.602176634E-19","2.5E-10","3.3444950551171926E-27","1.4396362768941424E-6","7.952833763922062E-4","7.967230126691003E-4","1.72411030316088E-27"
"239643.81398467033","245107.29282272185","-133849.011662243","179755.36045483698","183852.9695826123","-100409.25872783216","1","1.602176634E-19","3.0E-10","3.3444950551171926E-27","1.4396362531098554E-6","7.952833763923142E-4","7.96723012645424E-4","1.724110306714246E-27"
"239643.8139936713","245107.2928319294","-133849.01166725543","179755.36045485284","183852.9695826302","-100409.25872782251","1","1.602176634E-19","3.5E-10","3.3444950551171926E-27","1.4396362571491696E-6","7.952833763924221E-4","7.967230126495713E-4","1.7241103029580174E-27"
"239643.8140026723","245107.29284113698","-133849.0116722679","179755.3604548687","183852.9695826481","-100409.25872781288","1","1.602176634E-19","3.9999999999999996E-10","3.3444950551171926E-27","1.4396362812133872E-6","7.952833763925304E-4","7.967230126737437E-4","1.724110306866946E-27"
"239643.81401167327","245107.29285034453","-133849.01167728033","179755.36045488456","183852.96958266603","-100409.25872780324","1","1.602176634E-19","4.4999999999999995E-10","3.3444950551171926E-27","1.4396362423655107E-6","7.952833763926383E-4","7.967230126350039E-4","1.7241103039492628E-27"
"239643.81402067427","245107.29285955208","-133849.0116822928","179755.36045490042","183852.96958268393","-100409.25872779361","1","1.602176634E-19","4.999999999999999E-10","3.3444950551171926E-27","1.439636263645417E-6","7.952833763927464E-4","7.967230126563918E-4","1.7241103010726354E-27"
"239643.81402967524","245107.29286875963","-133849.01168730526","179755.36045491628","183852.96958270183","-100409.25872778398","1","1.602176634E-19","5.5E-10","3.3444950551171926E-27","1.4396362681858003E-6","7.952833763928544E-4","7.967230126610402E-4","1.724110306969629E-27"
"239643.81403867624","245107.29287796718","-133849.0116923177","179755.36045493215","183852.96958271973","-100409.25872777434","1","1.602176634E-19","6.0E-10","3.3444950551171926E-27","1.4396362232580883E-6","7.952833763929624E-4","7.967230126162205E-4","1.7241103012706768E-27"
"239643.8140476772","245107.29288717473","-133849.01169733016","179755.360454948","183852.96958273766","-100409.25872776471","1","1.602176634E-19","6.5E-10","3.3444950551171926E-27","1.4396362576080996E-6","7.952833763930704E-4","7.967230126506785E-4","1.724110301202783E-27"
"239643.8140566782","245107.29289638228","-133849.0117023426","179755.36045496387","183852.96958275556","-100409.25872775508","1","1.602176634E-19","7.000000000000001E-10","3.3444950551171926E-27","1.4396362719132363E-6","7.952833763931785E-4","7.967230126650917E-4","1.7241103023649563E-27"
"239643.81406567918","245107.29290558986","-133849.01170735506","179755.36045497973","183852.96958277345","-100409.25872774544","1","1.602176634E-19","7.500000000000001E-10","3.3444950551171926E-27","1.4396362561564012E-6","7.952833763932865E-4","7.967230126494428E-4","1.7241103016257763E-27"
"239643.81407468015","245107.2929147974","-133849.0117123675","179755.3604549956","183852.96958279135","-100409.25872773581","1","1.602176634E-19","8.000000000000001E-10","3.3444950551171926E-27","1.4396362737144805E-6","7.952833763933946E-4","7.967230126671091E-4","1.7241103008584592E-27"
"239643.81408368115","245107.29292400496","-133849.01171737997","179755.36045501145","183852.96958280925","-100409.25872772616","1","1.602176634E-19","8.500000000000002E-10","3.3444950551171926E-27","1.4396362661410289E-6","7.952833763935026E-4","7.967230126596436E-4","1.7241103059907896E-27"
