"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy"
"-80.0","0.0","0.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-6.278718825442971E-17","0.0","-6.278718825442971E-17"
"8.506592839019083E10","2.861130633132988E8","-1.3487119579639305E10","2.5519778541057248E11","8.583391899398963E8","-4.0461358738917915E10","1","1.602E-19","1.0","3.3434059999999994E-27","-6.278718825442971E-17","0.0","-6.278718825442971E-17"
"8.506592846219082E11","2.8611306331329875E9","-1.3487119579639307E11","2.5519778541057248E11","8.583391899398963E8","-4.0461358738917915E10","1","1.602E-19","2.0","3.3434059999999994E-27","-6.278718825442971E-17","0.0","-6.278718825442971E-17"
"1.6162526408536255E12","5.436148202952677E9","-2.5625527201314682E11","2.5519778541057248E11","8.583391899398963E8","-4.0461358738917915E10","1","1.602E-19","3.0","3.3434059999999994E-27","-6.278718825442971E-17","0.0","-6.278718825442971E-17"
"2.381845997085343E12","8.011165772772366E9","-3.776393482299006E11","2.5519778541057248E11","8.583391899398963E8","-4.0461358738917915E10","1","1.602E-19","4.0","3.3434059999999994E-27","-6.278718825442971E-17","0.0","-6.278718825442971E-17"
"3.1474393533170605E12","1.0586183342592052E10","-4.990234244466543E11","2.5519778541057248E11","8.583391899398963E8","-4.0461358738917915E10","1","1.602E-19","5.0","3.3434059999999994E-27","-6.278718825442971E-17","0.0","-6.278718825442971E-17"
"3.9130327095487773E12","1.3161200912411741E10","-6.204075006634081E11","2.5519778541057248E11","8.583391899398963E8","-4.0461358738917915E10","1","1.602E-19","6.0","3.3434059999999994E-27","-6.278718825442971E-17","0.0","-6.278718825442971E-17"
"4.678626065780495E12","1.573621848223143E10","-7.417915768801617E11","2.5519778541057248E11","8.583391899398963E8","-4.0461358738917915E10","1","1.602E-19","7.0","3.3434059999999994E-27","-6.278718825442971E-17","0.0","-6.278718825442971E-17"
"5.444219422012212E12","1.831123605205112E10","-8.631756530969155E11","2.5519778541057248E11","8.583391899398963E8","-4.0461358738917915E10","1","1.602E-19","8.0","3.3434059999999994E-27","-6.278718825442971E-17","0.0","-6.278718825442971E-17"
"6.209812778243929E12","2.0886253621870808E10","-9.845597293136692E11","2.5519778541057248E11","8.583391899398963E8","-4.0461358738917915E10","1","1.602E-19","9.0","3.3434059999999994E-27","-6.278718825442971E-17","0.0","-6.278718825442971E-17"
