"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy"
"10.0","0.0","10.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","6.044994833820712E-15","0.0","6.044994833820712E-15"
"10.0","0.0","10.0","0.0","0.0","0.0","1","1.602E-19","1.0","3.3434059999999994E-27","6.044994833820712E-15","0.0","6.044994833820712E-15"
"10.0","0.0","10.0","0.0","0.0","0.0","1","1.602E-19","2.0","3.3434059999999994E-27","6.044994833820712E-15","0.0","6.044994833820712E-15"
"10.0","0.0","10.0","0.0","0.0","0.0","1","1.602E-19","3.0","3.3434059999999994E-27","6.044994833820712E-15","0.0","6.044994833820712E-15"
"10.0","0.0","10.0","0.0","0.0","0.0","1","1.602E-19","4.0","3.3434059999999994E-27","6.044994833820712E-15","0.0","6.044994833820712E-15"
"10.0","0.0","10.0","0.0","0.0","0.0","1","1.602E-19","5.0","3.3434059999999994E-27","6.044994833820712E-15","0.0","6.044994833820712E-15"
"10.0","0.0","10.0","0.0","0.0","0.0","1","1.602E-19","6.0","3.3434059999999994E-27","6.044994833820712E-15","0.0","6.044994833820712E-15"
"10.0","0.0","10.0","0.0","0.0","0.0","1","1.602E-19","7.0","3.3434059999999994E-27","6.044994833820712E-15","0.0","6.044994833820712E-15"
"10.0","0.0","10.0","0.0","0.0","0.0","1","1.602E-19","8.0","3.3434059999999994E-27","6.044994833820712E-15","0.0","6.044994833820712E-15"
"10.0","0.0","10.0","0.0","0.0","0.0","1","1.602E-19","9.0","3.3434059999999994E-27","6.044994833820712E-15","0.0","6.044994833820712E-15"
