"X","Y","Z","Vx","Vy","Vz","Polarity","Time","Mass","Electric Potential Energy","Kinetic Energy"
"20.0","20.0","0.0","-9.605599582309691E20","-9.492122841685317E20","-1.3615813951552093E20","1","1.0","3.3434059999999994E-27","0.0","0.0","0.0"
"-9.605599582309691E20","-9.492122841685317E20","-1.3615813951552093E20","-1.9211199164619382E21","-1.8984245683370635E21","-2.7231627903104185E20","1","2.0","3.3434059999999994E-27","0.0","0.0","0.0"
"-2.8816798746929073E21","-2.8476368525055953E21","-4.0847441854656276E20","-1.9211199164619382E21","-1.8984245683370635E21","-2.7231627903104185E20","1","3.0","3.3434059999999994E-27","0.0","0.0","0.0"
"-4.802799791154846E21","-4.746061420842659E21","-6.807906975776046E20","-1.9211199164619382E21","-1.8984245683370635E21","-2.7231627903104185E20","1","4.0","3.3434059999999994E-27","0.0","0.0","0.0"
"-6.723919707616784E21","-6.644485989179722E21","-9.531069766086465E20","-1.9211199164619382E21","-1.8984245683370635E21","-2.7231627903104185E20","1","5.0","3.3434059999999994E-27","0.0","0.0","0.0"
"-8.645039624078722E21","-8.542910557516785E21","-1.2254232556396882E21","-1.9211199164619382E21","-1.8984245683370635E21","-2.7231627903104185E20","1","6.0","3.3434059999999994E-27","0.0","0.0","0.0"
"-1.0566159540540662E22","-1.044133512585385E22","-1.49773953467073E21","-1.9211199164619382E21","-1.8984245683370635E21","-2.7231627903104185E20","1","7.0","3.3434059999999994E-27","0.0","0.0","0.0"
"-1.24872794570026E22","-1.2339759694190914E22","-1.770055813701772E21","-1.9211199164619382E21","-1.8984245683370635E21","-2.7231627903104185E20","1","8.0","3.3434059999999994E-27","0.0","0.0","0.0"
"-1.440839937346454E22","-1.4238184262527978E22","-2.042372092732814E21","-1.9211199164619382E21","-1.8984245683370635E21","-2.7231627903104185E20","1","9.0","3.3434059999999994E-27","0.0","0.0","0.0"
"-1.632951928992648E22","-1.6136608830865042E22","-2.3146883717638558E21","-1.9211199164619382E21","-1.8984245683370635E21","-2.7231627903104185E20","1","10.0","3.3434059999999994E-27","0.0","0.0","0.0"
