"X","Y","Z","Vx","Vy","Vz","Polarity","Time","Mass","Electric Potential Energy","Kinetic Energy"
"20.0","20.0","0.0","0.0","0.0","0.0","1","3.0141","3.3434059999999994E-27","0.0","0.0","0.0"
"20.0","20.0","0.0","0.0","0.0","0.0","1","5.0141","3.3434059999999994E-27","0.0","0.0","0.0"
"20.0","20.0","0.0","0.0","0.0","0.0","1","6.0141","3.3434059999999994E-27","0.0","0.0","0.0"
"20.0","20.0","0.0","0.0","0.0","0.0","1","7.0141","3.3434059999999994E-27","0.0","0.0","0.0"
"20.0","20.0","0.0","0.0","0.0","0.0","1","8.0141","3.3434059999999994E-27","0.0","0.0","0.0"
"20.0","20.0","0.0","0.0","0.0","0.0","1","9.0141","3.3434059999999994E-27","0.0","0.0","0.0"
"20.0","20.0","0.0","0.0","0.0","0.0","1","10.0141","3.3434059999999994E-27","0.0","0.0","0.0"
"20.0","20.0","0.0","0.0","0.0","0.0","1","11.0141","3.3434059999999994E-27","0.0","0.0","0.0"
"20.0","20.0","0.0","0.0","0.0","0.0","1","12.0141","3.3434059999999994E-27","0.0","0.0","0.0"
"20.0","20.0","0.0","0.0","0.0","0.0","1","12.0141","3.3434059999999994E-27","0.0","0.0","0.0"
