"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy"
"20.0","20.0","0.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-6.6995638064445435E10","-6.620417818952177E10","-9.496545589682634E9","-1.0049345710166815E11","-9.930626728928264E10","-1.4244818384523952E10","1","1.602E-19","1.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-1.116593967790757E11","-1.1034029698753627E11","-1.5827575982804392E10","-1.674890951694469E10","-1.6551044548213772E10","-2.3741363974206586E9","1","1.602E-19","2.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-3.535880898012398E10","-3.494109404613648E10","-5.012065727888057E9","-2.791484919490782E9","-2.7585074247022953E9","-3.956893995701098E8","1","1.602E-19","3.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-8.684619749511442E9","-8.582023099058374E9","-1.2310336875514524E9","-4.6524748658179677E8","-4.5975123745038235E8","-6.594823326168495E7","1","1.602E-19","4.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-1.9126841115003686E9","-1.8900884206267765E9","-2.7112051452026004E8","-7.754124776362962E7","-7.662520624172723E7","-1.0991372210280374E7","1","1.602E-19","5.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-3.9632193301365745E8","-3.916399430128234E8","-5.617812463031894E7","-1.2923541293871894E7","-1.2770867706888948E7","-1831895.3683706534","1","1.602E-19","6.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-7.89771967953609E7","-7.804419154158156E7","-1.1194916139978888E7","-2153923.5474208454","-2128477.949608758","-305315.8945076258","1","1.602E-19","7.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-1.5316789660087833E7","-1.5135843186880872E7","-2171135.248350952","-358987.2184708764","-354746.28596803633","-50885.97682843247","1","1.602E-19","8.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-2911784.9649285283","-2877386.293155051","-412741.7763961089","-59830.15075827575","-59123.341106171334","-8480.846975090415","1","1.602E-19","9.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-545112.9455315336","-538673.1975705116","-77269.0595743713","-9942.49097147923","-9825.03433103733","-1409.3356172625363","1","1.602E-19","10.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-100374.48632468241","-99188.70208969676","-14227.97793529943","-821.5831394456326","-811.8774856376896","-116.5043584565077","1","1.602E-19","11.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"-4510.403018377243","-4457.13642512417","-643.3081795256056","27109.308257208853","26789.013543853504","3834.5385211706252","1","1.602E-19","12.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"1584208.5642732892","1565434.2011514064","211177.52221990572","1047851.987416896","1035408.3900129697","133896.31348368953","1","1.602E-19","13.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
"1311850.94835373","1296278.7148030603","169087.820478428","174581.11524343558","172507.90414495167","22308.00104803999","1","1.602E-19","14.0","3.3434059999999994E-27","3.978075637023979E-15","0.0","3.978075637023979E-15"
