"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy"
"20.0","20.0","20.0","0.0","0.0","0.0","1","1.602176634E-19","0.0","3.3434059999999994E-27","-17802.238801983236","0.0","-17802.238801983236"
"-2.5817178374462332E16","-2.3794161513570664E16","-2.5425197972190412E16","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","2.0","3.3434059999999994E-27","-17802.238801983236","1.960674234083849E19","1.9606742340838474E19"
"-7.7451535123387024E16","-7.1382484540712032E16","-7.6275593916571264E16","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","3.0","3.3434059999999994E-27","-6.670625610287187E-27","7.842696936335396E19","7.842696936335396E19"
"-1.29085891872311728E17","-1.18970807567853408E17","-1.27125989860952128E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","4.0","3.3434059999999994E-27","2.0248135845282357E-27","7.842696936335396E19","7.842696936335396E19"
"-1.80720248621236448E17","-1.66559130594994784E17","-1.77976385805332992E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","5.0","3.3434059999999994E-27","-5.761450295864299E-29","7.842696936335396E19","7.842696936335396E19"
"-2.3235460537016112E17","-2.1414745362213616E17","-2.28826781749713888E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","6.0","3.3434059999999994E-27","1.5418801192250108E-28","7.842696936335396E19","7.842696936335396E19"
"-2.83988962119085824E17","-2.61735776649277536E17","-2.79677177694094752E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","7.0","3.3434059999999994E-27","-1.2669917012186706E-28","7.842696936335396E19","7.842696936335396E19"
"-3.356233188680105E17","-3.0932409967641888E17","-3.3052757363847565E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","8.0","3.3434059999999994E-27","1.3474146916186072E-28","7.842696936335396E19","7.842696936335396E19"
"-3.8725767561693517E17","-3.5691242270356026E17","-3.8137796958285651E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","9.0","3.3434059999999994E-27","9.776007767467683E-29","7.842696936335396E19","7.842696936335396E19"
"-3.8725767561693517E17","-3.5691242270356026E17","-3.8137796958285651E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","9.0","3.3434059999999994E-27","9.776007767467683E-29","7.842696936335396E19","7.842696936335396E19"
