"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy"
"79.0","79.0","-30.0","0.0","0.0","0.0","1","1.602E-19","0.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-3.3862816744666466E10","-3.3931263128425835E10","1.6747682369741163E9","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","1.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-3.386281681576647E11","-3.393126319952584E11","1.6747682639741163E10","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","2.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-6.433935195706628E11","-6.446940008620911E11","3.182059704250821E10","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","3.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-9.48158870983661E11","-9.500753697289237E11","4.689351144527526E10","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","4.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-1.2529242223966594E12","-1.2554567385957563E12","6.196642584804231E10","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","5.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-1.5576895738096575E12","-1.5608381074625889E12","7.703934025080936E10","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","6.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-1.8624549252226558E12","-1.8662194763294216E12","9.21122546535764E10","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","7.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-2.167220276635654E12","-2.1716008451962542E12","1.0718516905634344E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","8.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-2.4719856280486523E12","-2.476982214063087E12","1.222580834591105E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","9.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-2.7767509794616504E12","-2.78236358292992E12","1.3733099786187756E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","10.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-3.0815163308746484E12","-3.0877449517967524E12","1.5240391226464462E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","11.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-3.386281682287647E12","-3.393126320663585E12","1.6747682666741168E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","12.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-3.691047033700645E12","-3.698507689530418E12","1.8254974107017874E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","13.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-3.995812385113643E12","-4.0038890583972505E12","1.976226554729458E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","14.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
