X,Y,Z,Vx,Vy,Vz,Polarity,Charge,Time,Mass,Electric Potential Energy,Kinetic Energy,Total Energy,7.59997E-11
70,70,70,0,0,0,1,1.60E-19,0,3.34E-27,257.1314359,0,257.1314359,
70,70,70,93.36199856,85.51159561,61.74635446,1,1.60E-19,1.00E-12,3.34E-27,257.1314359,2.07E-10,257.1314359,
70,70,70,186.7239971,171.0231912,123.4927089,1,1.60E-19,2.00E-12,3.34E-27,257.1314359,8.28E-10,257.1314359,
70,70,70,280.0859957,256.5347868,185.2390634,1,1.60E-19,3.00E-12,3.34E-27,257.1314359,1.86E-09,257.1314359,
70,70,70,373.4479942,342.0463824,246.9854178,1,1.60E-19,4.00E-12,3.34E-27,257.1314359,3.31E-09,257.1314359,
70,70,70,466.8099928,427.5579781,308.7317723,1,1.60E-19,5.00E-12,3.34E-27,257.1314359,5.18E-09,257.1314359,
70,70,70,560.1719914,513.0695737,370.4781268,1,1.60E-19,6.00E-12,3.34E-27,257.1314359,7.45E-09,257.1314359,
70,70,70,653.5339899,598.5811693,432.2244812,1,1.60E-19,7.00E-12,3.34E-27,257.1314359,1.01E-08,257.1314359,
70,70,70,746.8959885,684.0927649,493.9708357,1,1.60E-19,8.00E-12,3.34E-27,257.1314359,1.32E-08,257.1314359,
70,70,70,840.257987,769.6043605,555.7171901,1,1.60E-19,9.00E-12,3.34E-27,257.1314359,1.68E-08,257.1314359,
70,70,70,933.6199856,855.1159561,617.4635446,1,1.60E-19,1.00E-11,3.34E-27,257.1314359,2.07E-08,257.1314359,
70.00000001,70.00000001,70,1026.981984,940.6275517,679.209899,1,1.60E-19,1.10E-11,3.34E-27,257.1314359,2.50E-08,257.1314359,
70.00000001,70.00000001,70,1120.343983,1026.139147,740.9562535,1,1.60E-19,1.20E-11,3.34E-27,257.1314359,2.98E-08,257.1314359,
70.00000001,70.00000001,70.00000001,1213.705981,1111.650743,802.7026079,1,1.60E-19,1.30E-11,3.34E-27,257.1314359,3.50E-08,257.1314359,
70.00000001,70.00000001,70.00000001,1307.06798,1197.162338,864.4489624,1,1.60E-19,1.40E-11,3.34E-27,257.1314359,4.06E-08,257.1314359,
