X,Y,Z,Vx,Vy,Vz,Polarity,Charge,Time,Mass,Electric Potential Energy,Kinetic Energy,Total Energy
20,20,20,0,0,0,1,1.60E-19,0,3.34E-27,-17802.2388,0,-17802.2388
20,20,20,-2581.717837,-2379.416151,-2542.519797,1,1.60E-19,1.00E-13,3.34E-27,-17802.2388,1.96E-07,-17802.2388
20,20,20,-5163.435675,-4758.832303,-5085.039595,1,1.60E-19,2.00E-13,3.34E-27,-17802.2388,7.84E-07,-17802.2388
20,20,20,-7745.153513,-7138.248454,-7627.559392,1,1.60E-19,3.00E-13,3.34E-27,-17802.2388,1.76E-06,-17802.2388
20,20,20,-10326.87135,-9517.664606,-10170.07919,1,1.60E-19,4.00E-13,3.34E-27,-17802.23881,3.14E-06,-17802.2388
20,20,20,-12908.58919,-11897.08076,-12712.59899,1,1.60E-19,5.00E-13,3.34E-27,-17802.23881,4.90E-06,-17802.2388
20,20,20,-15490.30703,-14276.49691,-15255.11879,1,1.60E-19,6.00E-13,3.34E-27,-17802.23881,7.06E-06,-17802.2388
19.99999999,19.99999999,19.99999999,-18072.02487,-16655.91306,-17797.63858,1,1.60E-19,7.00E-13,3.34E-27,-17802.23881,9.61E-06,-17802.2388
19.99999999,19.99999999,19.99999999,-20653.74271,-19035.32922,-20340.15838,1,1.60E-19,8.00E-13,3.34E-27,-17802.23881,1.25E-05,-17802.2388
19.99999999,19.99999999,19.99999999,-23235.46055,-21414.74537,-22882.67818,1,1.60E-19,9.00E-13,3.34E-27,-17802.23882,1.59E-05,-17802.2388
19.99999999,19.99999999,19.99999999,-25817.17839,-23794.16152,-25425.19798,1,1.60E-19,1.00E-12,3.34E-27,-17802.23882,1.96E-05,-17802.2388
19.99999998,19.99999999,19.99999998,-28398.89623,-26173.57768,-27967.71779,1,1.60E-19,1.10E-12,3.34E-27,-17802.23883,2.37E-05,-17802.2388
19.99999998,19.99999998,19.99999998,-30980.61407,-28552.99383,-30510.23759,1,1.60E-19,1.20E-12,3.34E-27,-17802.23883,2.82E-05,-17802.2388
19.99999998,19.99999998,19.99999998,-33562.33191,-30932.40999,-33052.75739,1,1.60E-19,1.30E-12,3.34E-27,-17802.23884,3.31E-05,-17802.2388
19.99999997,19.99999998,19.99999998,-36144.04976,-33311.82615,-35595.2772,1,1.60E-19,1.40E-12,3.34E-27,-17802.23884,3.84E-05,-17802.2388
19.99999997,19.99999997,19.99999997,-38725.7676,-35691.2423,-38137.797,1,1.60E-19,1.50E-12,3.34E-27,-17802.23885,4.41E-05,-17802.2388
19.99999997,19.99999997,19.99999997,-41307.48545,-38070.65846,-40680.31681,1,1.60E-19,1.60E-12,3.34E-27,-17802.23885,5.02E-05,-17802.2388
