X,Y,Z,Vx,Vy,Vz,Polarity,Charge,Time,Mass,Electric Potential Energy,Kinetic Energy,Total Energy,14975.51715
5.842322803,-6.178949803,3.444593312,-1.01E+09,-8.43E+08,-1.01E+09,1,1.60E-19,5.00E-06,3.34E-27,-40042.74052,28699.89363,-11342.8469,
8.860153654,10.9972139,-4.391349603,8.12E+08,-1.31E+09,-6.86E+08,1,1.60E-19,1.00E-05,3.34E-27,-40980.14969,29564.13642,-11416.01326,
1.787043066,30.18239357,-7.519002607,-1.71E+08,9.14E+08,7.49E+08,1,1.60E-19,1.50E-05,3.34E-27,-20809.30465,14878.32091,-5930.983734,
28.56227718,-26.0290688,1.028786474,8.08E+08,3.83E+08,-1.28E+08,1,1.60E-19,2.00E-05,3.34E-27,-14631.44498,8520.142003,-6111.302981,
29.43747495,-23.80341785,-4.324287418,8.41E+08,1.23E+08,-3.04E+08,1,1.60E-19,2.50E-05,3.34E-27,-15210.98622,8496.792329,-6714.193886,
10.57524409,-19.60075997,18.56671739,1.32E+09,-2.12E+08,-7.81E+07,1,1.60E-19,3.00E-05,3.34E-27,-24213.10414,18622.36664,-5590.737499,
-1994.874626,-61.70767998,-1883.201385,-4.31E+08,-2.89E+07,-4.02E+08,1,1.60E-19,3.50E-05,3.34E-27,-1.007336941,3633.677588,3632.670252,
-4149.061848,-206.3020972,-3894.094943,-4.31E+08,-2.89E+07,-4.02E+08,1,1.60E-19,4.00E-05,3.34E-27,-0.230880507,3632.901132,3632.670252,
-6303.099387,-350.8896891,-5904.952413,-4.31E+08,-2.89E+07,-4.02E+08,1,1.60E-19,4.50E-05,3.34E-27,-0.099746278,3632.769998,3632.670252,
-8457.102119,-495.4753727,-7915.801151,-4.31E+08,-2.89E+07,-4.02E+08,1,1.60E-19,5.00E-05,3.34E-27,-0.055324179,3632.725576,3632.670252,
