"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy"
"5.182824841945617E12","5.17737281392484E12","8.481508631216924E11","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","100.0","3.3444950551171926E-27","5.930014858665299E-22","5.850683468933487E9","5.850683468933487E9"
"1.0444575950448754E13","1.0433588868599828E13","1.7092177291640203E12","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","200.0","3.3444950551171926E-27","8.742876882916999E-22","5.850683468933487E9","5.850683468933487E9"
"1.5706327058951867E13","1.5689804923274814E13","2.570284595206348E12","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","300.0","3.3444950551171926E-27","-4.150160948655003E-22","5.850683468933487E9","5.850683468933487E9"
"2.096807816745498E13","2.09460209779498E13","3.431351461248676E12","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","400.0","3.3444950551171926E-27","4.582155831343141E-22","5.850683468933487E9","5.850683468933487E9"
"2.6229829275958094E13","2.620223703262479E13","4.2924183272910034E12","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","500.0","3.3444950551171926E-27","-2.3039196056439743E-22","5.850683468933487E9","5.850683468933487E9"
"3.1491580384461438E13","3.1458453087299547E13","5.153485193333331E12","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","600.0","3.3444950551171926E-27","1.573215025740312E-23","5.850683468933487E9","5.850683468933487E9"
"3.675333149296486E13","3.6714669141974234E13","6.014552059375659E12","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","700.0","3.3444950551171926E-27","3.412914019129151E-22","5.850683468933487E9","5.850683468933487E9"
"4.201508260146827E13","4.1970885196648914E13","6.875618925417987E12","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","800.0","3.3444950551171926E-27","1.4320941412979926E-23","5.850683468933487E9","5.850683468933487E9"
"4.7276833709971695E13","4.722710125132359E13","7.736685791460314E12","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","900.0","3.3444950551171926E-27","1.2411867322596564E-23","5.850683468933487E9","5.850683468933487E9"
"5.253858481847511E13","5.248331730599828E13","8.597752657502643E12","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","1000.0","3.3444950551171926E-27","1.1291965842954211E-23","5.850683468933487E9","5.850683468933487E9"
"5.780033592697853E13","5.773953336067328E13","9.45881952354497E12","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","1100.0","3.3444950551171926E-27","2.2318376553699446E-23","5.850683468933487E9","5.850683468933487E9"
"6.3062087035481945E13","6.299574941534857E13","1.0319886389587299E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","1200.0","3.3444950551171926E-27","7.957838129902597E-23","5.850683468933487E9","5.850683468933487E9"
"6.832383814398537E13","6.825196547002387E13","1.1180953255629627E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","1300.0","3.3444950551171926E-27","6.627953013371818E-23","5.850683468933487E9","5.850683468933487E9"
"7.358558925248878E13","7.350818152469916E13","1.2042020121671955E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","1400.0","3.3444950551171926E-27","3.42432465449992E-23","5.850683468933487E9","5.850683468933487E9"
"7.88473403609922E13","7.876439757937445E13","1.2903086987714281E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","1500.0","3.3444950551171926E-27","-9.937764611146368E-23","5.850683468933487E9","5.850683468933487E9"
"8.410909146949562E13","8.402061363404975E13","1.3764153853756607E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","1600.0","3.3444950551171926E-27","-7.304959969452167E-25","5.850683468933487E9","5.850683468933487E9"
"8.937084257799903E13","8.927682968872503E13","1.4625220719798783E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","1700.0","3.3444950551171926E-27","1.066051299998297E-24","5.850683468933487E9","5.850683468933487E9"
"9.463259368650245E13","9.453304574340033E13","1.5486287585840957E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","1800.0","3.3444950551171926E-27","-3.457684427336137E-24","5.850683468933487E9","5.850683468933487E9"
"9.989434479500588E13","9.978926179807562E13","1.6347354451883133E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","1900.0","3.3444950551171926E-27","1.16410891636926E-23","5.850683468933487E9","5.850683468933487E9"
"1.051560959035093E14","1.0504547785275092E14","1.7208421317925309E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","2000.0","3.3444950551171926E-27","-1.388662984189895E-24","5.850683468933487E9","5.850683468933487E9"
"1.1041784701201269E14","1.103016939074262E14","1.8069488183967484E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","2100.0","3.3444950551171926E-27","-1.5040248858027928E-24","5.850683468933487E9","5.850683468933487E9"
"1.1567959812051611E14","1.1555790996210148E14","1.893055505000966E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","2200.0","3.3444950551171926E-27","-1.4206237661478627E-23","5.850683468933487E9","5.850683468933487E9"
"1.2094134922901953E14","1.2081412601677678E14","1.9791621916051836E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","2300.0","3.3444950551171926E-27","1.971075206024934E-25","5.850683468933487E9","5.850683468933487E9"
"1.2620310033752295E14","1.2607034207145208E14","2.0652688782094008E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","2400.0","3.3444950551171926E-27","-4.0500195277768485E-24","5.850683468933487E9","5.850683468933487E9"
"1.3146485144602638E14","1.3132655812612738E14","2.1513755648136184E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","2500.0","3.3444950551171926E-27","1.4616315807937584E-23","5.850683468933487E9","5.850683468933487E9"
"1.3672660255452978E14","1.3658277418080266E14","2.237482251417836E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","2600.0","3.3444950551171926E-27","2.2815026753299738E-24","5.850683468933487E9","5.850683468933487E9"
"1.419883536630332E14","1.4183899023547797E14","2.3235889380220535E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","2700.0","3.3444950551171926E-27","4.049574010778226E-23","5.850683468933487E9","5.850683468933487E9"
"1.4725010477153662E14","1.4709520629015325E14","2.409695624626271E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","2800.0","3.3444950551171926E-27","9.247684093746606E-25","5.850683468933487E9","5.850683468933487E9"
"1.5251185588004003E14","1.5235142234482853E14","2.4958023112304887E13","5.2617511085031525E10","5.256216054674958E10","8.610668660423256E9","1","1.602176634E-19","2900.0","3.3444950551171926E-27","4.688053871864098E-26","5.850683468933487E9","5.850683468933487E9"
