"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy"
"4.512496604188103E10","4.1330604615757286E10","2.9844071392610268E10","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","0.09999999999999999","3.3434059999999994E-27","1.0251555348669908E-15","5.175580127264341E9","5.175580127264341E9"
"9.180596532313722E10","8.408640242171315E10","6.071724862289672E10","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","0.20000000000000004","3.3434059999999994E-27","2.47652387311479E-16","5.175580127264341E9","5.175580127264341E9"
"1.3848696460439343E11","1.26842200227669E11","9.159042585318318E10","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","0.3000000000000001","3.3434059999999994E-27","1.088454541092388E-16","5.175580127264341E9","5.175580127264341E9"
"1.8516796388564963E11","1.6959799803362473E11","1.2246360308346964E11","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","0.4000000000000002","3.3434059999999994E-27","6.086752310378973E-17","5.175580127264341E9","5.175580127264341E9"
"2.3184896316690582E11","2.1235379583958044E11","1.5333678031375616E11","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","0.5000000000000002","3.3434059999999994E-27","3.8813236800806965E-17","5.175580127264341E9","5.175580127264341E9"
"2.7852996244816205E11","2.5510959364553616E11","1.8420995754404276E11","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","0.6000000000000003","3.3434059999999994E-27","2.6913720586796087E-17","5.175580127264341E9","5.175580127264341E9"
"3.252109617294182E11","2.9786539145149207E11","2.1508313477432938E11","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","0.7000000000000004","3.3434059999999994E-27","1.97568047409012E-17","5.175580127264341E9","5.175580127264341E9"
"3.7189196101067444E11","3.4062118925744806E11","2.4595631200461597E11","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","0.8000000000000005","3.3434059999999994E-27","1.5117223334495428E-17","5.175580127264341E9","5.175580127264341E9"
"4.185729602919306E11","3.8337698706340405E11","2.768294892349026E11","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","0.9000000000000006","3.3434059999999994E-27","1.192234175307527E-17","5.175580127264341E9","5.175580127264341E9"
"4.652539595731868E11","4.261327848693601E11","3.0770266646518915E11","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","1.0000000000000007","3.3434059999999994E-27","9.64255036739925E-18","5.175580127264341E9","5.175580127264341E9"
"5.11934958854443E11","4.688885826753161E11","3.3857584369547577E11","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","1.1000000000000008","3.3434059999999994E-27","7.952977482205446E-18","5.175580127264341E9","5.175580127264341E9"
"5.586159581356992E11","5.116443804812721E11","3.694490209257623E11","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","1.2000000000000008","3.3434059999999994E-27","6.697171334824598E-18","5.175580127264341E9","5.175580127264341E9"
"6.052969574169554E11","5.544001782872279E11","4.0032219815604895E11","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","1.300000000000001","3.3434059999999994E-27","5.695611657452726E-18","5.175580127264341E9","5.175580127264341E9"
"6.519779566982117E11","5.971559760931832E11","4.311953753863356E11","4.668099928125623E11","4.2755797805955817E11","3.0873177230286475E11","1","1.602176634E-19","1.400000000000001","3.3434059999999994E-27","4.9162795311336534E-18","5.175580127264341E9","5.175580127264341E9"
