X,Y,Z,Vx,Vy,Vz,Polarity,Charge,Time,Mass,Electric Potential Energy,Kinetic Energy,Total Energy,0.000179538
20,20,20,0,0,0,1,1.60E-19,0,3.34E-27,-17802.2388,0,-17802.2388,
19.99987091,19.99988103,19.99987287,-2581729.987,-2379425.811,-2542532.36,1,1.60E-19,1.00E-10,3.34E-27,-17802.43487,0.196069224,-17802.2388,
19.99948365,19.99952411,19.99949149,-5163532.877,-4758909.585,-5085140.1,1,1.60E-19,2.00E-10,3.34E-27,-17803.0231,0.784298507,-17802.2388,
19.9988382,19.99892924,19.99885584,-7745481.583,-7138509.29,-7627898.613,1,1.60E-19,3.00E-10,3.34E-27,-17804.00355,1.764752687,-17802.2388,
19.99793455,19.99809641,19.9979659,-1.03E+07,-9518282.913,-1.02E+07,1,1.60E-19,4.00E-10,3.34E-27,-17805.37634,3.137539849,-17802.2388,
19.99677266,19.99702558,19.99682165,-1.29E+07,-1.19E+07,-1.27E+07,1,1.60E-19,5.00E-10,3.34E-27,-17807.14161,4.902811364,-17802.2388,
19.99535251,19.99571674,19.99542306,-1.55E+07,-1.43E+07,-1.53E+07,1,1.60E-19,6.00E-10,3.34E-27,-17809.29956,7.060761931,-17802.2388,
19.99367406,19.99416985,19.99377007,-1.81E+07,-1.67E+07,-1.78E+07,1,1.60E-19,7.00E-10,3.34E-27,-17811.85043,9.611629645,-17802.2388,
19.99173726,19.99238488,19.99186265,-2.07E+07,-1.90E+07,-2.03E+07,1,1.60E-19,8.00E-10,3.34E-27,-17814.7945,12.55569607,-17802.2388,
19.98954205,19.99036178,19.98970073,-2.32E+07,-2.14E+07,-2.29E+07,1,1.60E-19,9.00E-10,3.34E-27,-17818.13209,15.89328633,-17802.2388,
19.98708837,19.9881005,19.98728426,-2.58E+07,-2.38E+07,-2.54E+07,1,1.60E-19,1.00E-09,3.34E-27,-17821.86357,19.62476921,-17802.2388,
19.98437616,19.98560099,19.98461315,-2.84E+07,-2.62E+07,-2.80E+07,1,1.60E-19,1.10E-09,3.34E-27,-17825.98936,23.75055729,-17802.2388,
19.98140533,19.98286319,19.98168734,-3.10E+07,-2.86E+07,-3.05E+07,1,1.60E-19,1.20E-09,3.34E-27,-17830.50991,28.27110705,-17802.2388,
19.9781758,19.97988703,19.97850673,-3.36E+07,-3.10E+07,-3.31E+07,1,1.60E-19,1.30E-09,3.34E-27,-17835.42572,33.18691905,-17802.2388,
19.97468748,19.97667244,19.97507123,-3.62E+07,-3.33E+07,-3.56E+07,1,1.60E-19,1.40E-09,3.34E-27,-17840.73734,38.49853805,-17802.2388,
19.97094028,19.97321933,19.97138073,-3.88E+07,-3.57E+07,-3.82E+07,1,1.60E-19,1.50E-09,3.34E-27,-17846.44536,44.20655323,-17802.2388,
19.96693407,19.96952763,19.96743513,-4.14E+07,-3.81E+07,-4.07E+07,1,1.60E-19,1.60E-09,3.34E-27,-17852.5504,50.31159835,-17802.2388,
19.96266876,19.96559724,19.96323431,-4.39E+07,-4.05E+07,-4.33E+07,1,1.60E-19,1.70E-09,3.34E-27,-17859.05315,56.81435198,-17802.2388,
19.95814422,19.96142807,19.95877815,-4.65E+07,-4.29E+07,-4.58E+07,1,1.60E-19,1.80E-09,3.34E-27,-17865.95434,63.71553767,-17802.2388,
19.95336032,19.95702001,19.9540665,-4.91E+07,-4.53E+07,-4.84E+07,1,1.60E-19,1.90E-09,3.34E-27,-17873.25473,71.01592427,-17802.2388,
19.94831693,19.95237297,19.94909923,-5.17E+07,-4.77E+07,-5.10E+07,1,1.60E-19,2.00E-09,3.34E-27,-17880.95513,78.71632609,-17802.2388,
19.94301389,19.94748681,19.9438762,-5.43E+07,-5.01E+07,-5.35E+07,1,1.60E-19,2.10E-09,3.34E-27,-17889.05641,86.81760322,-17802.2388,
19.93745107,19.94236143,19.93839724,-5.69E+07,-5.25E+07,-5.61E+07,1,1.60E-19,2.20E-09,3.34E-27,-17897.55946,95.3206618,-17802.2388,
19.93162829,19.9369967,19.93266219,-5.95E+07,-5.48E+07,-5.86E+07,1,1.60E-19,2.30E-09,3.34E-27,-17906.46526,104.2264543,-17802.2388,
19.9255454,19.93139248,19.92667088,-6.21E+07,-5.72E+07,-6.12E+07,1,1.60E-19,2.40E-09,3.34E-27,-17915.77478,113.5359799,-17802.2388,
19.91920222,19.92554864,19.92042312,-6.47E+07,-5.96E+07,-6.38E+07,1,1.60E-19,2.50E-09,3.34E-27,-17925.48909,123.2502847,-17802.2388,
19.91259857,19.91946503,19.91391874,-6.73E+07,-6.20E+07,-6.63E+07,1,1.60E-19,2.60E-09,3.34E-27,-17935.60926,133.3704621,-17802.2388,
19.90573425,19.91314151,19.90715753,-6.99E+07,-6.44E+07,-6.89E+07,1,1.60E-19,2.70E-09,3.34E-27,-17946.13646,143.8976534,-17802.2388,
19.89860908,19.90657791,19.90013929,-7.26E+07,-6.68E+07,-7.15E+07,1,1.60E-19,2.80E-09,3.34E-27,-17957.07185,154.8330477,-17802.2388,
19.89122284,19.89977408,19.89286381,-7.52E+07,-6.92E+07,-7.40E+07,1,1.60E-19,2.90E-09,3.34E-27,-17968.41668,166.1778827,-17802.2388,
19.88357533,19.89272985,19.88533086,-7.78E+07,-7.16E+07,-7.66E+07,1,1.60E-19,3.00E-09,3.34E-27,-17980.17225,177.9334451,-17802.2388,
19.87566631,19.88544504,19.87754023,-8.04E+07,-7.41E+07,-7.92E+07,1,1.60E-19,3.10E-09,3.34E-27,-17992.33987,190.1010706,-17802.2388,
19.86749557,19.87791947,19.86949167,-8.30E+07,-7.65E+07,-8.18E+07,1,1.60E-19,3.20E-09,3.34E-27,-18004.92095,202.6821451,-17802.2388,
19.85906287,19.87015295,19.86118494,-8.56E+07,-7.89E+07,-8.44E+07,1,1.60E-19,3.30E-09,3.34E-27,-18017.91691,215.6781042,-17802.2388,
