"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy"
"20.0","20.0","20.0","0.0","0.0","0.0","1","1.602176634E-19","0.0","3.3434059999999994E-27","-17802.238801983236","0.0","-17802.238801983236"
"-2.5817178374462332E16","-2.3794161513570664E16","-2.5425197972190412E16","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","2.0","3.3434059999999994E-27","-17802.238801983236","1.960674234083849E19","1.9606742340838474E19"
"-7.7451535123387024E16","-7.1382484540712032E16","-7.6275593916571264E16","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","3.0","3.3434059999999994E-27","-6.670625610287187E-27","7.842696936335396E19","7.842696936335396E19"
"-1.29085891872311728E17","-1.18970807567853408E17","-1.27125989860952128E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","4.0","3.3434059999999994E-27","2.0248135845282357E-27","7.842696936335396E19","7.842696936335396E19"
"-1.80720248621236448E17","-1.66559130594994784E17","-1.77976385805332992E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","5.0","3.3434059999999994E-27","-5.761450295864299E-29","7.842696936335396E19","7.842696936335396E19"
"-2.3235460537016112E17","-2.1414745362213616E17","-2.28826781749713888E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","6.0","3.3434059999999994E-27","1.5418801192250108E-28","7.842696936335396E19","7.842696936335396E19"
"-2.83988962119085824E17","-2.61735776649277536E17","-2.79677177694094752E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","7.0","3.3434059999999994E-27","-1.2669917012186706E-28","7.842696936335396E19","7.842696936335396E19"
"-3.356233188680105E17","-3.0932409967641888E17","-3.3052757363847565E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","8.0","3.3434059999999994E-27","1.3474146916186072E-28","7.842696936335396E19","7.842696936335396E19"
"-3.8725767561693517E17","-3.5691242270356026E17","-3.8137796958285651E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","9.0","3.3434059999999994E-27","9.776007767467683E-29","7.842696936335396E19","7.842696936335396E19"
"-4.388920323658599E17","-4.0450074573070163E17","-4.3222836552723738E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","10.0","3.3434059999999994E-27","-4.7396827948814993E-29","7.842696936335396E19","7.842696936335396E19"
"-4.9052638911478458E17","-4.5208906875784301E17","-4.8307876147161824E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","11.0","3.3434059999999994E-27","5.649385473175863E-29","7.842696936335396E19","7.842696936335396E19"
"-5.4216074586370925E17","-4.9967739178498438E17","-5.339291574159991E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","12.0","3.3434059999999994E-27","-8.615807250222699E-29","7.842696936335396E19","7.842696936335396E19"
"-5.9379510261263398E17","-5.4726571481212576E17","-5.8477955336038003E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","13.0","3.3434059999999994E-27","3.8959006005215107E-29","7.842696936335396E19","7.842696936335396E19"
"-6.4542945936155878E17","-5.9485403783926707E17","-6.3562994930476083E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","14.0","3.3434059999999994E-27","6.592048393437412E-32","7.842696936335396E19","7.842696936335396E19"
"-6.9706381611048346E17","-6.4244236086640845E17","-6.8648034524914176E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","15.0","3.3434059999999994E-27","-4.3705280848490044E-29","7.842696936335396E19","7.842696936335396E19"
"-7.4869817285940826E17","-6.9003068389354982E17","-7.3733074119352269E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","16.0","3.3434059999999994E-27","-7.613815894420211E-30","7.842696936335396E19","7.842696936335396E19"
"-8.0033252960833306E17","-7.376190069206912E17","-7.8818113713790349E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","17.0","3.3434059999999994E-27","2.142415727867159E-29","7.842696936335396E19","7.842696936335396E19"
"-8.5196688635725773E17","-7.8520732994783258E17","-8.3903153308228442E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","18.0","3.3434059999999994E-27","1.1170226002679696E-28","7.842696936335396E19","7.842696936335396E19"
"-9.0360124310618253E17","-8.3279565297497395E17","-8.8988192902666522E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","19.0","3.3434059999999994E-27","5.573576916651332E-29","7.842696936335396E19","7.842696936335396E19"
"-9.552355998551072E17","-8.8038397600211533E17","-9.4073232497104614E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","20.0","3.3434059999999994E-27","6.259149949568823E-29","7.842696936335396E19","7.842696936335396E19"
"-1.006869956604032E18","-9.279722990292567E17","-9.9158272091542694E17","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","21.0","3.3434059999999994E-27","4.2815354315375995E-29","7.842696936335396E19","7.842696936335396E19"
"-1.0585043133529568E18","-9.7556062205639808E17","-1.04243311685980787E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","22.0","3.3434059999999994E-27","1.8688457195395065E-29","7.842696936335396E19","7.842696936335396E19"
"-1.11013867010188147E18","-1.02314894508353946E18","-1.0932835128041888E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","23.0","3.3434059999999994E-27","8.569662911468637E-30","7.842696936335396E19","7.842696936335396E19"
"-1.16177302685080627E18","-1.07073726811068083E18","-1.14413390874856947E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","24.0","3.3434059999999994E-27","5.484584263339927E-29","7.842696936335396E19","7.842696936335396E19"
"-1.21340738359973094E18","-1.11832559113782221E18","-1.19498430469295027E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","25.0","3.3434059999999994E-27","-2.804916591407619E-29","7.842696936335396E19","7.842696936335396E19"
"-1.26504174034865587E18","-1.16591391416496358E18","-1.24583470063733094E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","26.0","3.3434059999999994E-27","-7.51493516851865E-30","7.842696936335396E19","7.842696936335396E19"
"-1.31667609709758054E18","-1.2135022371921047E18","-1.29668509658171187E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","27.0","3.3434059999999994E-27","2.1490077762605965E-29","7.842696936335396E19","7.842696936335396E19"
"-1.36831045384650522E18","-1.26109056021924608E18","-1.34753549252609254E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","28.0","3.3434059999999994E-27","2.2709606715391885E-29","7.842696936335396E19","7.842696936335396E19"
"-1.41994481059542989E18","-1.3086788832463872E18","-1.39838588847047322E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","29.0","3.3434059999999994E-27","-1.0487948993958924E-28","7.842696936335396E19","7.842696936335396E19"
"-1.47157916734435482E18","-1.35626720627352858E18","-1.44923628441485389E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","30.0","3.3434059999999994E-27","8.070315245665752E-29","7.842696936335396E19","7.842696936335396E19"
"-1.52321352409327949E18","-1.4038555293006697E18","-1.50008668035923482E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","31.0","3.3434059999999994E-27","-3.103206781210662E-29","7.842696936335396E19","7.842696936335396E19"
"-1.57484788084220416E18","-1.45144385232781107E18","-1.55093707630361549E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","32.0","3.3434059999999994E-27","-9.546934085795732E-29","7.842696936335396E19","7.842696936335396E19"
"-1.62648223759112909E18","-1.49903217535495219E18","-1.60178747224799616E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","33.0","3.3434059999999994E-27","-4.4694088107505656E-29","7.842696936335396E19","7.842696936335396E19"
"-1.67811659434005376E18","-1.54662049838209357E18","-1.65263786819237709E18","-5.1634356748924704E16","-4.7588323027141368E16","-5.0850395944380856E16","1","1.602176634E-19","34.0","3.3434059999999994E-27","6.007004098519842E-29","7.842696936335396E19","7.842696936335396E19"
