energy (eV),scatter (barn),capture (barn),total (barn)
9.999999999999999e-06,1160.532,16.72987,1177.26187
1.03125e-05,1142.817,16.47443,1159.29143
1.0625e-05,1125.89,16.23035,1142.12035
1.09375e-05,1109.694,15.99681,1125.69081
1.125e-05,1094.178,15.77307,1109.95107
1.15625e-05,1079.295,15.55846,1094.85346
1.1874999999999999e-05,1065.003,15.35238,1080.35538
1.21875e-05,1051.265,15.15427,1066.41927
1.25e-05,1038.045,14.96365,1053.00865
1.28125e-05,1025.312,14.78004,1040.09204
1.3125e-05,1013.037,14.60302,1027.64002
1.34375e-05,1001.192,14.43222,1015.62422
1.3749999999999999e-05,989.7534,14.26728,1004.02068
1.4375e-05,968.0058,13.95367,981.95947
1.5e-05,947.6322,13.65988,961.29208
1.5625e-05,928.4937,13.38389,941.87759
1.625e-05,910.4705,13.12398,923.59448
1.6875e-05,893.4581,12.87865,906.33675
1.7500000000000002e-05,877.3656,12.64659,890.01219
1.8125e-05,862.113,12.42663,874.53963
1.875e-05,847.6296,12.21776,859.84736
1.9375e-05,833.8529,12.01909,845.87199
1.9999999999999998e-05,820.7273,11.8298,832.5571
2.0937499999999997e-05,802.1522,11.56192,813.71412
2.1875e-05,784.7847,11.31145,796.09615
2.28125e-05,768.4993,11.07659,779.57589
2.3749999999999998e-05,753.1881,10.85577,764.04387
2.46875e-05,738.7577,10.64765,749.40535
2.5625e-05,725.1268,10.45106,735.57786
2.65625e-05,712.2243,10.26497,722.48927
2.7499999999999998e-05,699.9875,10.08849,710.07599
2.84375e-05,688.361,9.920798,698.281798
2.9375000000000003e-05,677.2958,9.761203,687.057003
3.0312499999999998e-05,666.7481,9.609071,676.357171
3.125e-05,656.6788,9.463838,666.142638
3.2187499999999996e-05,647.0528,9.324996,656.377796
3.3125e-05,637.8385,9.192092,647.030592
3.40625e-05,629.0074,9.064712,638.072112
3.5000000000000004e-05,620.5337,8.942486,629.476186
3.59375e-05,612.3938,8.825074,621.218874
3.6875e-05,604.5665,8.712169,613.278669
3.78125e-05,597.0321,8.603489,605.635589
3.875e-05,589.773,8.498777,598.271777
3.9687499999999996e-05,582.7728,8.397798,591.170598
4.0625000000000005e-05,576.0163,8.300334,584.316634
4.25e-05,563.1806,8.115173,571.295773
4.4375e-05,551.168,7.941878,559.109878
4.625e-05,539.8934,7.779228,547.672628
4.8125000000000004e-05,529.2845,7.626179,536.910679
5e-05,519.2784,7.481822,526.760222
5.15625e-05,511.3605,7.367589,518.728089
5.3125e-05,503.7947,7.258433,511.053133
5.46875e-05,496.5557,7.15399,503.70969
5.625e-05,489.6206,7.053929,496.674529
5.78125e-05,482.9687,6.957952,489.926652
5.9375e-05,476.5812,6.86579,483.44699
6.0937500000000004e-05,470.4412,6.777195,477.218395
6.25e-05,464.533,6.691944,471.224944
6.40625e-05,458.8424,6.609831,465.452231
6.562500000000001e-05,453.3564,6.530669,459.887069
6.71875e-05,448.063,6.454284,454.517284
6.874999999999999e-05,442.9512,6.380518,449.331718
7.1875e-05,433.2326,6.24027,439.47287
7.5e-05,424.1282,6.108881,430.237081
7.8125e-05,415.5762,5.985457,421.561657
8.125000000000001e-05,407.5227,5.869223,413.391923
8.4375e-05,399.9212,5.759508,405.680708
