energy (eV),count,cdf,cos
9.999999999999999e-06,3,[0.  0.5 1. ],[-1.  0.  1.]
0.0001,3,[0.  0.5 1. ],[-1.  0.  1.]
0.001,3,[0.  0.5 1. ],[-1.  0.  1.]
0.01,3,[0.  0.5 1. ],[-1.  0.  1.]
0.025300000000000003,3,[0.  0.5 1. ],[-1.  0.  1.]
2000.0,3,[0.        0.4997227 1.       ],[-1.  0.  1.]
5000.0,3,[0.        0.4993085 1.       ],[-1.  0.  1.]
10000.0,3,[0.        0.4986225 1.       ],[-1.  0.  1.]
20000.0,3,[0.        0.4972675 1.       ],[-1.  0.  1.]
50000.0,3,[0.        0.4933331 1.       ],[-1.  0.  1.]
100000.0,3,[0.        0.4871938 1.       ],[-1.  0.  1.]
150000.0,3,[0.        0.4815454 1.       ],[-1.  0.  1.]
200000.0,3,[0.        0.4763549 1.       ],[-1.  0.  1.]
250000.0,3,[0.        0.4715924 1.       ],[-1.  0.  1.]
300000.0,3,[0.        0.4672307 1.       ],[-1.  0.  1.]
350000.0,4,[0.        0.4015733 0.8585117 1.       ],[-1.    -0.125  0.75   1.   ]
400000.0,4,[0.        0.3376643 0.7190437 1.       ],[-1.   -0.25  0.5   1.  ]
450000.0,4,[0.        0.305286  0.6491568 1.       ],[-1.    -0.312  0.375  1.   ]
500000.0,5,[0.        0.2733778 0.5805384 0.9259791 1.       ],[-1.    -0.375  0.25   0.875  1.   ]
550000.0,5,[0.        0.242854  0.5134952 0.8167407 1.       ],[-1.    -0.437  0.125  0.688  1.   ]
600000.0,5,[0.        0.2127279 0.4481941 0.7095106 1.       ],[-1.  -0.5  0.   0.5  1. ]
650000.0,5,[0.        0.2113611 0.4460504 0.7076545 1.       ],[-1.  -0.5  0.   0.5  1. ]
700000.0,6,[0.        0.1829212 0.3832198 0.6045111 0.8860664 1.       ],[-1.    -0.562 -0.125  0.313  0.813  1.   ]
750000.0,6,[0.        0.1820901 0.3817294 0.6028818 0.8478112 1.       ],[-1.    -0.562 -0.125  0.313  0.75   1.   ]
800000.0,6,[0.        0.1814334 0.3509488 0.535844  0.7738754 1.       ],[-1.    -0.562 -0.187  0.188  0.625  1.   ]
850000.0,7,[0.        0.1538368 0.3204962 0.5023174 0.7018676 0.9609114 1.       ],[-1.    -0.625 -0.25   0.125  0.5    0.938  1.   ]
900000.0,7,[0.        0.1535936 0.3198438 0.4698555 0.6665237 0.8834272 1.       ],[-1.     -0.625  -0.25    0.0625  0.438   0.813   1.    ]
950000.0,7,[0.         0.15348532 0.29091513 0.43813184 0.59790646 0.80793478  1.        ],[-1.    -0.625 -0.312  0.     0.313  0.688  1.   ]
1000000.0,7,[0.        0.1273191 0.2622442 0.4071655 0.5638646 0.7703912 1.       ],[-1.     -0.687  -0.375  -0.0625  0.25    0.625   1.    ]
1100000.0,8,[0.        0.1278082 0.2624928 0.3770165 0.5308637 0.6980021 0.9202931  1.       ],[-1.    -0.687 -0.375 -0.125  0.188  0.5    0.875  1.   ]
1200000.0,8,[0.         0.12881471 0.23605772 0.34858814 0.46764605 0.59550736  0.76866518 1.        ],[-1.     -0.687  -0.437  -0.187   0.0625  0.313   0.625   1.    ]
1300000.0,9,[0.         0.13035321 0.23783292 0.32114913 0.40807574 0.53093875  0.66278207 0.88115969 1.        ],[-1.     -0.687  -0.437  -0.25   -0.0625  0.188   0.438   0.813   1.    ]
1400000.0,10,[0.        0.1055984 0.1859511 0.2674942 0.35198   0.4394537 0.5318076  0.6630463 0.9197987 1.       ],[-1.    -0.75  -0.562 -0.375 -0.187  0.     0.188  0.438  0.875  1.   ]
1500000.0,9,[0.        0.108018  0.1891805 0.2708523 0.3549915 0.4418594 0.5335402  0.6640491 1.       ],[-1.    -0.75  -0.562 -0.375 -0.187  0.     0.188  0.438  1.   ]
