energy (eV), scatter (barn), absorb (barn), total (barn)
9.999999999999999e-06,18.89527,107.096711,125.991981
1.03125e-05,18.60971,105.461568,124.071278
1.0625e-05,18.33689,103.899094,122.235984
1.09375e-05,18.07589,102.404083,120.479973
1.125e-05,17.82587,100.971832,118.797702
1.15625e-05,17.5861,99.5979854,117.184085
1.1874999999999999e-05,17.3559,98.2787509,115.634651
1.21875e-05,17.13464,97.0105946,114.145235
1.25e-05,16.92176,95.7902936,112.712054
1.28125e-05,16.71676,94.614915,111.331675
1.3125e-05,16.51915,93.4817663,110.000916
1.34375e-05,16.3285,92.3883752,108.716875
1.3749999999999999e-05,16.14443,91.3324895,107.476919
1.4375e-05,15.79453,89.3249466,105.119477
1.5e-05,15.46683,87.4442235,102.911053
1.5625e-05,15.1591,85.6775081,100.836608
1.625e-05,14.86939,84.01372,98.88311
1.6875e-05,14.59601,82.4432399,97.0392499
1.7500000000000002e-05,14.3375,80.9576601,95.2951601
1.8125e-05,14.09255,79.5496036,93.6421536
1.875e-05,13.86002,78.212554,92.072574
1.9375e-05,13.63891,76.9407261,90.5796361
1.9999999999999998e-05,13.42831,75.728995,89.157305
2.0937499999999997e-05,13.1304,74.0141703,87.1445703
2.1875e-05,12.85197,72.4107908,85.2627608
2.28125e-05,12.59102,70.9073057,83.4983257
2.3749999999999998e-05,12.34579,69.4937455,81.8395355
2.46875e-05,12.11477,68.161482,80.276252
2.5625e-05,11.89665,66.9030182,78.7996682
2.65625e-05,11.69029,65.7117879,77.4020779
2.7499999999999998e-05,11.49466,64.5820056,76.0766656
2.84375e-05,11.30887,63.5085564,74.8174264
2.9375000000000003e-05,11.13213,62.4869162,73.6190462
3.0312499999999998e-05,10.96374,61.513041,72.476781
3.125e-05,10.80306,60.5833375,71.3863975
3.2187499999999996e-05,10.64952,59.6945426,70.3440626
3.3125e-05,10.50262,58.8437636,69.3463836
3.40625e-05,10.36189,58.0283379,68.3902279
3.5000000000000004e-05,10.22691,57.2459133,67.4728233
3.59375e-05,10.09732,56.4943079,66.5916279
3.6875e-05,9.972756,55.7715396,65.7442956
3.78125e-05,9.85291,55.0758269,64.9287369
3.875e-05,9.737495,54.4055181,64.1430131
3.9687499999999996e-05,9.626247,53.7591018,63.3853488
4.0625000000000005e-05,9.518922,53.1351968,62.6541188
4.25e-05,9.315169,51.9498956,61.2650646
4.4375e-05,9.12465,50.8405361,59.9651861
4.625e-05,8.946004,49.7993408,58.7453448
4.8125000000000004e-05,8.77806,48.8196034,57.5976634
5e-05,8.619802,47.8955085,56.5153105
5.15625e-05,8.494678,47.1642543,55.6589323
5.3125e-05,8.375207,46.4655007,54.8407077
5.46875e-05,8.260982,45.7969156,54.0578976
5.625e-05,8.151636,45.1563768,53.3080128
