energy (eV),count,cdf,cos
9.999999999999999e-06,3,[0.5 0.5 0.5][0.  0.5 1. ],[-1.  0.  1.]
1000.0,3,[0.5000989 0.4998207 0.5002597][0.        0.4999598 1.       ],[-1.  0.  1.]
5000.0,3,[0.5000062 0.4992312 0.5015313][0.        0.4996187 1.       ],[-1.  0.  1.]
10000.0,3,[0.4994632 0.4985989 0.503339 ][0.        0.4990311 1.       ],[-1.  0.  1.]
30000.0,4,[0.4961492 0.4952959 0.5019661 0.5121606][0.        0.3410571 0.7150304 1.       ],[-1.    -0.312  0.438  1.   ]
50000.0,5,[0.4916789 0.4914088 0.4979466 0.5113155 0.5216635][0.        0.2767392 0.5547481 0.8388554 1.       ],[-1.    -0.437  0.125  0.688  1.   ]
70000.0,7,[0.4917164 0.4863429 0.4878344 0.4979514 0.5138691 0.5317477 0.5362274][0.        0.1530663 0.3357245 0.582171  0.8032538 0.9668928 1.       ],[-1.    -0.687 -0.312  0.188  0.625  0.938  1.   ]
90000.0,8,[0.4899726 0.4828024 0.4823467 0.4894322 0.5024218 0.5186261 0.5372377  0.5492363][0.        0.1215969 0.2726427 0.4546083 0.6408289 0.8001124 0.9320954  1.       ],[-1.     -0.75   -0.437  -0.0625  0.313   0.625   0.875   1.    ]
100000.0,9,[0.4893865 0.4821622 0.4793938 0.4831874 0.4945382 0.5091564 0.5256523  0.548856  0.556011 ][0.         0.09132558 0.2115201  0.3616828  0.5450064  0.7020846  0.8314357  0.9657492  1.        ],[-1.    -0.812 -0.562 -0.25   0.125  0.438  0.688  0.938  1.   ]
200000.0,13,[0.496952  0.4780023 0.4658938 0.4582607 0.4569656 0.4613237 0.4742735  0.4941634 0.5147368 0.5422173 0.5660264 0.5955884 0.6323444][0.         0.06093465 0.11992811 0.19247422 0.26386193 0.34972193  0.46667165 0.58772626 0.68256287 0.78138808 0.85065329 0.92325419  1.        ],[-1.    -0.875 -0.75  -0.593 -0.437 -0.25   0.     0.25   0.438  0.625   0.75   0.875  1.   ]
300000.0,20,[0.4474247 0.426427  0.4113789 0.4001452 0.3944818 0.3937942 0.3978074  0.4065654 0.4204053 0.440053  0.4592807 0.482852  0.5111175 0.5519014  0.5999647 0.6526861 0.7129042 0.7825015 0.8642551 0.8939646][0.         0.04806184 0.09372226 0.1444425  0.1941067  0.243374  0.2928491  0.3431224  0.3947254  0.448504   0.4908626  0.5351428  0.5813624  0.6398284  0.7008773  0.7616309  0.8258136  0.89535  0.9727476  1.        ],[-1.     -0.89   -0.781  -0.656  -0.531  -0.406  -0.281  -0.156  -0.0312   0.0938  0.188   0.282   0.375   0.485   0.591   0.688   0.782   0.875   0.969   1.    ]
318000.0,23,[0.399978  0.3747412 0.3544923 0.3356533 0.3212488 0.3119355 0.306437  0.3045056 0.3056754 0.309512  0.3179744 0.3297448 0.3513382 0.3986896  0.5535292 0.5954535 0.6337033 0.6807976 0.7182863 0.7628876 0.8290255  0.9017302 0.9858403][0.         0.01549438 0.02971443 0.04558778 0.06135343 0.07591667  0.09044842 0.1048056  0.1191449  0.1336018  0.1530539  0.1734571  0.2051275  0.2700049  0.5299606  0.601772   0.6595424  0.7213239  0.7646955  0.8113525  0.8734371  0.9348789  1.        ],[-1.    -0.96  -0.921 -0.875 -0.827 -0.781 -0.734 -0.687 -0.64  -0.593  -0.531 -0.468 -0.375 -0.202  0.344  0.469  0.563  0.657  0.719  0.782   0.86   0.931  1.   ]
325000.0,25,[0.4936653 0.4549855 0.4228848 0.3921689 0.3695752 0.3524258 0.3371236  0.3262426 0.32012   0.3176711 0.3185582 0.3240237 0.3336346 0.353577  0.3776277 0.5561382 0.5972806 0.6347668 0.6646619 0.6989871 0.7399933  0.7876079 0.8447348 0.9110092 0.9483658][0.         0.01897302 0.0360915  0.05443021 0.07004596 0.08412499  0.09998463 0.11590542 0.13077173 0.14575983 0.16071123 0.18063124  0.20134744 0.23364635 0.26764735 0.55944921 0.63153793 0.68944414  0.73037615 0.77264926 0.81797716 0.86533277 0.91675158 0.97117969  1.        ],[-1.    -0.96  -0.921 -0.876 -0.835 -0.796 -0.75  -0.702 -0.656 -0.609  -0.562 -0.5   -0.437 -0.343 -0.25   0.375  0.5    0.594  0.657  0.719   0.782  0.844  0.907  0.969  1.   ]
350000.0,22,[0.4584145 0.4322071 0.4122019 0.3974743 0.387348  0.3810083 0.3779112  0.380385  0.3883398 0.4021643 0.4169405 0.4362952 0.4604371 0.4908703  0.5284277 0.5658732 0.6098492 0.6676616 0.7342806 0.8053714 0.8882534  0.9807425][0.         0.04185922 0.08154645 0.11960121 0.15609542 0.19220812  0.23964062 0.28703413 0.33507943 0.38440694 0.42278204 0.46309745  0.50479555 0.54950696 0.59741396 0.64009166 0.68594487 0.74151657  0.80109908 0.86114549 0.92804369 1.        ],[-1.     -0.906  -0.812  -0.718  -0.625  -0.531  -0.406  -0.281  -0.156  -0.0312  0.0625  0.157   0.25    0.344   0.438   0.516   0.594   0.681   0.766   0.844   0.923   1.    ]
