energy (eV), scatter (barn), capture (barn), total (barn)
9.999999999999999e-06,92.75807,131.0066,223.76467
1.03125e-05,91.36244,129.0064,220.36884
1.0625e-05,90.02914,127.0951,217.12424
1.09375e-05,88.75369,125.2663,214.01999
1.125e-05,87.53204,123.5142,211.04624
1.15625e-05,86.36052,121.8337,208.19422
1.1874999999999999e-05,85.23581,120.2199,205.45571
1.21875e-05,84.1549,118.6686,202.8235
1.25e-05,83.115,117.1759,200.2909
1.28125e-05,82.11361,115.7381,197.85171
1.3125e-05,81.14842,114.3519,195.50032
1.34375e-05,80.21731,113.0144,193.23171
1.3749999999999999e-05,79.31832,111.7228,191.04112
1.4375e-05,77.6097,109.2671,186.8768
1.5e-05,76.00972,106.9664,182.97612
1.5625e-05,74.50742,104.8053,179.31272
1.625e-05,73.09328,102.77,175.86328
1.6875e-05,71.75906,100.8489,172.60796
1.7500000000000002e-05,70.49753,99.03168,169.52921
1.8125e-05,69.30237,97.30926,166.61163
1.875e-05,68.168,95.67369,163.84169
1.9375e-05,67.08945,94.11792,161.20737
1.9999999999999998e-05,66.06233,92.63566,158.69799
2.0937499999999997e-05,64.60958,90.53798,155.14756
2.1875e-05,63.25216,88.57663,151.82879
2.28125e-05,61.98018,86.73748,148.71766
2.3749999999999998e-05,60.78507,85.00831,145.79338
2.46875e-05,59.65946,83.37861,143.03807
2.5625e-05,58.59692,81.83918,140.4361
2.65625e-05,57.59182,80.38199,137.97381
2.7499999999999998e-05,56.63921,78.99996,135.63917
2.84375e-05,55.73471,77.68685,133.42156
2.9375000000000003e-05,54.87445,76.43711,131.31156
3.0312499999999998e-05,54.05496,75.24581,129.30077
3.125e-05,53.27315,74.10853,127.38168
3.2187499999999996e-05,52.52626,73.0213,125.54756
3.3125e-05,51.81178,71.98057,123.79235
3.40625e-05,51.12747,70.9831,122.11057
3.5000000000000004e-05,50.47128,70.02598,120.49726
3.59375e-05,49.84136,69.10656,118.94792
3.6875e-05,49.23603,68.22243,117.45846
3.78125e-05,48.65374,67.37139,116.02513
3.875e-05,48.09308,66.55142,114.6445
3.9687499999999996e-05,47.55278,65.76068,113.31346
4.0625000000000005e-05,47.03163,64.99748,112.02911
4.25e-05,46.04256,63.54754,109.5901
4.4375e-05,45.11808,62.1905,107.30858
4.625e-05,44.25156,60.91684,105.1684
4.8125000000000004e-05,43.43727,59.71836,103.15563
5e-05,42.67026,58.58794,101.2582
5.15625e-05,42.06404,57.69341,99.75745
5.3125e-05,41.48541,56.83865,98.32406
5.46875e-05,40.93237,56.02079,96.95316
5.625e-05,40.40312,55.23724,95.64036
5.78125e-05,39.89604,54.48568,94.38172
5.9375e-05,39.40964,53.76398,93.17362
6.0937500000000004e-05,38.94259,53.07022,92.01281
6.25e-05,38.49365,52.40265,90.8963
6.40625e-05,38.06172,51.75964,89.82136
6.562500000000001e-05,37.64577,51.13975,88.78552
6.71875e-05,37.24486,50.5416,87.78646
6.874999999999999e-05,36.85811,49.96396,86.82207
7.1875e-05,36.12401,48.86572,84.98973
7.5e-05,35.43778,47.83685,83.27463
7.8125e-05,34.79455,46.87035,81.6649
8.125000000000001e-05,34.19012,45.96016,80.15028
8.4375e-05,33.62083,45.10102,78.72185
8.75e-05,33.08348,44.28832,77.3718
9.0625e-05,32.57528,43.51803,76.09331
9.375e-05,32.09374,42.78658,74.88032
9.6875e-05,31.63669,42.09082,73.72751
0.0001,31.20217,41.42793,72.6301
0.000103125,30.78845,40.79541,71.58386
0.00010625,30.39396,40.191,70.58496
0.000109375,30.01731,39.61268,69.62999
0.0001125,29.65724,39.05863,68.71587
0.000115625,29.3126,38.5272,67.8398
0.00011875,28.98236,38.01688,66.99924
0.00012187500000000001,28.66559,37.52632,66.19191
0.000125,28.36141,37.05427,65.41568
0.000128125,28.06905,36.5996,64.66865
0.00013125000000000002,27.7878,36.16127,63.94907
0.000134375,27.51698,35.73831,63.25529
0.00013749999999999998,27.256,35.32986,62.58586
0.00014375,26.76136,34.55329,61.31465
0.00015,26.29991,33.82577,60.12568
0.00015625,25.86824,33.14235,59.01059
0.00016250000000000002,25.46341,32.49875,57.96216
0.00016875,25.08286,31.89124,56.9741
0.000175,24.72437,31.31658,56.04095
0.00018125,24.38599,30.7719,55.15789
0.0001875,24.06598,30.25469,54.32067
0.00019375,23.76282,29.76271,53.52553
0.0002,23.47517,29.29398,52.76915
0.00020937499999999998,23.07013,28.63063,51.70076
0.00021875,22.6937,28.0104,50.7041
0.000228125,22.34284,27.42881,49.77165
0.0002375,22.01493,26.882,48.89693
0.00024687499999999997,21.70771,26.36664,48.07435
0.00025625,21.41922,25.87983,47.29905
0.000265625,21.14775,25.41903,46.56678
0.00027499999999999996,20.89178,24.98199,45.87377
0.000284375,20.64999,24.56675,45.21674
0.00029375,20.42119,24.17155,44.59274
0.00030312499999999995,20.20434,23.79483,43.99917
0.0003125,19.99851,23.43519,43.4337
0.000321875,19.80285,23.09138,42.89423
0.00033125,19.61661,22.76227,42.37888
0.000340625,19.43911,22.44684,41.88595
0.00035,19.26975,22.14418,41.41393
0.000359375,19.10796,21.85343,40.96139
0.00036875,18.95323,21.57384,40.52707
0.00037812500000000004,18.80512,21.30472,40.10984
0.0003875,18.66319,21.04543,39.70862
0.000396875,18.52706,20.79537,39.32243
0.00040625000000000004,18.39637,20.55403,38.9504
0.000425,18.15008,20.09552,38.2456
0.00044374999999999997,17.92201,19.66638,37.58839
0.0004625,17.71018,19.26361,36.97379
0.00048124999999999996,17.51292,18.88462,36.39754
0.0005,17.32877,18.52715,35.85592
0.0005156249999999999,17.18439,18.24428,35.42867
0.00053125,17.04759,17.97398,35.02157
0.000546875,16.91777,17.71535,34.63312
