Energy (eV),Fluence
0,0
1.000e-03,4.008489769292053E-8
2.000e-03,7.721406023379069E-8
3.000e-03,1.0116956765302179E-7
4.000e-03,1.2313611425832137E-7
5.000e-03,1.3613735109486552E-7
6.000e-03,1.4705439011265978E-7
7.000e-03,1.578567407645025E-7
8.000e-03,1.7246925014726098E-7
9.000e-03,1.7845796850875884E-7
1.000e-02,1.860769358702587E-7
1.100e-02,1.936196108055229E-7
1.200e-02,2.0192119959117548E-7
1.300e-02,2.0574915127016356E-7
1.400e-02,2.1211781760655462E-7
1.500e-02,2.1914770008386025E-7
1.600e-02,2.256490967237782E-7
1.700e-02,2.2665270199873383E-7
1.800e-02,2.3140891896961217E-7
1.900e-02,2.366583331486556E-7
2.000e-02,2.419088659382245E-7
2.100e-02,2.3997484358883834E-7
2.200e-02,2.4446840990070436E-7
2.300e-02,2.484639482825591E-7
2.400e-02,2.5206479771402297E-7
2.500e-02,2.5289779060095434E-7
2.600e-02,3.6780488845065566E-4
2.700e-02,2.437061097193812E-7
2.800e-02,2.345147205841185E-7
2.900e-02,2.2979562059135015E-7
3.000e-02,2.1452091916859975E-7
3.100e-02,2.1035152000797496E-7
3.200e-02,1.9964342020918482E-7
3.300e-02,1.9232789611509697E-7
3.400e-02,1.8753374805092675E-7
3.500e-02,1.7995335687791044E-7
3.600e-02,1.7364226309524474E-7
3.700e-02,1.647718783739355E-7
3.800e-02,1.6120932603618833E-7
3.900e-02,1.5198008850717958E-7
4.000e-02,1.4623691067558345E-7
4.100e-02,1.415563086073272E-7
4.200e-02,1.366477319786682E-7
4.300e-02,1.309048985966728E-7
4.400e-02,1.256356833108296E-7
4.500e-02,1.205760552720664E-7
4.600e-02,1.1716448923824949E-7
4.700e-02,1.1265392059734378E-7
4.800e-02,1.069680255572748E-7
4.900e-02,1.0476989138390739E-7
5.000e-02,9.813610259639498E-8
5.100e-02,9.432655121663764E-8
5.200e-02,9.375911859393489E-8
5.300e-02,8.922870732163673E-8
5.400e-02,8.526836788433791E-8
5.500e-02,8.183776979523086E-8
5.600e-02,8.142083366639023E-8
5.700e-02,7.579164826256012E-8
5.800e-02,7.482517054339155E-8
5.900e-02,6.951822616612468E-8
6.000e-02,6.758509841955767E-8
6.100e-02,6.551913297126933E-8
6.200e-02,6.474233517743286E-8
6.300e-02,6.047809912640856E-8
6.400e-02,5.744595453822309E-8
6.500e-02,5.5853617108015116E-8
6.600e-02,5.234720929641015E-8
6.700e-02,5.1266691202957514E-8
6.800e-02,5.09830877577023E-8
6.900e-02,4.55620422379229E-8
7.000e-02,4.571378080716448E-8
7.100e-02,4.3837399719958976E-8
7.200e-02,4.290878732998204E-8
7.300e-02,4.0483257244898016E-8
7.400e-02,3.849320747474442E-8
7.500e-02,3.9232242982701455E-8
7.600e-02,3.610499296683536E-8
7.700e-02,3.5707172234005873E-8
7.800e-02,3.4134141510948705E-8
7.900e-02,3.2162799215588236E-8
8.000e-02,3.1651027359165947E-8
8.100e-02,2.8960034602504597E-8
8.200e-02,2.8447987040427768E-8
8.300e-02,2.6742310101041424E-8
8.400e-02,2.6988717675192187E-8
8.500e-02,2.6363389867586977E-8
8.600e-02,2.501753738751188E-8
8.700e-02,2.281916305800131E-8
8.800e-02,2.2970835102132782E-8
8.900e-02,2.0810141501345875E-8
9.000e-02,2.1132660079913584E-8
9.100e-02,1.887686832635895E-8
9.200e-02,1.8232517155699287E-8
9.300e-02,1.844102309708489E-8
9.400e-02,1.6564953670899617E-8
9.500e-02,1.6906119851065943E-8
9.600e-02,1.590145540291825E-8
9.700e-02,1.5730826490993012E-8
9.800e-02,1.4745439844964342E-8
9.900e-02,1.4006166590316595E-8
1.000e-01,1.4138784776063498E-8
1.010e-01,1.4138859198207394E-8
1.020e-01,1.2868911475744483E-8
1.030e-01,1.2508702937100089E-8
1.040e-01,1.1447440455838163E-8
1.050e-01,1.1693822096133165E-8
1.060e-01,1.0594567573420149E-8
1.070e-01,9.571053669086053E-9
1.080e-01,9.969073048456301E-9
1.090e-01,9.343703048993599E-9
1.100e-01,8.96473756195279E-9
1.110e-01,9.173229519370098E-9
1.120e-01,8.547860284745269E-9
1.130e-01,8.03610703569542E-9
1.140e-01,7.808654760483772E-9
1.150e-01,7.410588359871664E-9
1.160e-01,6.841833021995443E-9
1.170e-01,7.315819837455879E-9
1.180e-01,6.633571225118811E-9
1.190e-01,6.027179429894368E-9
1.200e-01,6.273357485727471E-9
1.210e-01,6.27339577160617E-9
1.220e-01,6.0080322777992204E-9
1.230e-01,5.8185172594588E-9
1.240e-01,5.0793348968654135E-9
1.250e-01,5.041488584423691E-9
1.260e-01,5.742667634294539E-9
1.270e-01,5.079391197699728E-9
1.280e-01,4.946690710719658E-9
1.290e-01,4.624470027289398E-9
1.300e-01,4.188537915242745E-9
1.310e-01,4.851968903230417E-9
1.320e-01,4.302243955004083E-9
1.330e-01,3.468405626037538E-9
1.340e-01,3.885294772080975E-9
1.350e-01,3.714752678171911E-9
1.360e-01,3.3546684375700825E-9
1.370e-01,3.1841013976090177E-9
1.380e-01,3.032480007552727E-9
1.390e-01,2.6913710962614872E-9
1.400e-01,3.259884792528878E-9
1.410e-01,2.274384784677137E-9
1.420e-01,2.444897665708558E-9
1.430e-01,2.2552892514635536E-9
1.440e-01,2.3122538850147896E-9
1.450e-01,2.6155497803330696E-9
1.460e-01,2.5018266550921917E-9
1.470e-01,2.1227827994925955E-9
1.480e-01,2.236436800714369E-9
1.490e-01,2.1417308788097644E-9
1.500e-01,1.8953500010796697E-9

