#LIBRARY    ENDF/B-VIII.0
#REACTION   C-12(N,EL)C-12-L0,SIG
#NUCLEUS    C-12
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       78.207       Lin-Lin
 1.10304E-05 74.4768      Lin-Lin
 1.21669E-05 70.9256      Lin-Lin
 1.34206E-05 67.545       Lin-Lin
 1.48034E-05 64.3268      Lin-Lin
 1.63286E-05 61.2633      Lin-Lin
 1.80111E-05 58.3472      Lin-Lin
 1.98669E-05 55.5713      Lin-Lin
 2.19139E-05 52.9291      Lin-Lin
 2.41719E-05 50.4141      Lin-Lin
 2.66625E-05 48.0204      Lin-Lin
 2.94097E-05 45.7422      Lin-Lin
 3.244E-05   43.5739      Lin-Lin
 3.57825E-05 41.5105      Lin-Lin
 3.94694E-05 39.5468      Lin-Lin
 4.35362E-05 37.6783      Lin-Lin
 4.80221E-05 35.9003      Lin-Lin
 5.29701E-05 34.2087      Lin-Lin
 5.8428E-05  32.5993      Lin-Lin
 6.44482E-05 31.0683      Lin-Lin
 7.10888E-05 29.6119      Lin-Lin
 7.84136E-05 28.2268      Lin-Lin
 8.64931E-05 26.9095      Lin-Lin
 9.54051E-05 25.6569      Lin-Lin
 0.000105235 24.466       Lin-Lin
 0.000116078 23.3339      Lin-Lin
 0.000128039 22.2578      Lin-Lin
 0.000141232 21.2353      Lin-Lin
 0.000155784 20.2637      Lin-Lin
 0.000173048 19.2764      Lin-Lin
 0.000192215 18.3428      Lin-Lin
 0.000213516 17.4592      Lin-Lin
 0.000237165 16.6241      Lin-Lin
 0.000263448 15.8344      Lin-Lin
 0.000292627 15.0886      Lin-Lin
 0.000325056 14.3839      Lin-Lin
 0.00036106  13.7191      Lin-Lin
 0.000401072 13.0915      Lin-Lin
 0.000445496 12.5001      Lin-Lin
 0.000494865 11.9425      Lin-Lin
 0.000549678 11.4178      Lin-Lin
 0.000610592 10.9239      Lin-Lin
 0.000678223 10.4599      Lin-Lin
 0.000753383 10.0239      Lin-Lin
 0.00083683  9.615        Lin-Lin
 0.000936077 9.20709      Lin-Lin
 0.00104709  8.82701      Lin-Lin
 0.00117128  8.47338      Lin-Lin
 0.00131019  8.14491      Lin-Lin
 0.00146558  7.84033      Lin-Lin
 0.00165096  7.54148      Lin-Lin
 0.0018597   7.26697      Lin-Lin
 0.00209493  7.0152       Lin-Lin
 0.00237644  6.77212      Lin-Lin
 0.00269579  6.55167      Lin-Lin
 0.00307947  6.34189      Lin-Lin
 0.00351794  6.15385      Lin-Lin
 0.00404698  5.97766      Lin-Lin
 0.00468819  5.8146       Lin-Lin
 0.00546931  5.66548      Lin-Lin
 0.00642558  5.5308       Lin-Lin
 0.00765518  5.40605      Lin-Lin
 0.0092492   5.2931       Lin-Lin
 0.0113322   5.19309      Lin-Lin
