#LIBRARY    ENDF/B-VIII.0
#REACTION   C-12(N,TOT),SIG
#NUCLEUS    C-12
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       78.4012      Lin-Lin
 1.10304E-05 74.6617      Lin-Lin
 1.21669E-05 71.1016      Lin-Lin
 1.34206E-05 67.7126      Lin-Lin
 1.48034E-05 64.4864      Lin-Lin
 1.63286E-05 61.4153      Lin-Lin
 1.80111E-05 58.4919      Lin-Lin
 1.98669E-05 55.7091      Lin-Lin
 2.19139E-05 53.0603      Lin-Lin
 2.41719E-05 50.539       Lin-Lin
 2.66625E-05 48.1393      Lin-Lin
 2.94097E-05 45.8554      Lin-Lin
 3.244E-05   43.6817      Lin-Lin
 3.57825E-05 41.6131      Lin-Lin
 3.94694E-05 39.6446      Lin-Lin
 4.35362E-05 37.7713      Lin-Lin
 4.80221E-05 35.9889      Lin-Lin
 5.29701E-05 34.293       Lin-Lin
 5.8428E-05  32.6796      Lin-Lin
 6.44482E-05 31.1447      Lin-Lin
 7.10888E-05 29.6848      Lin-Lin
 7.84136E-05 28.2962      Lin-Lin
 8.64931E-05 26.9756      Lin-Lin
 9.54051E-05 25.7198      Lin-Lin
 0.000105235 24.5259      Lin-Lin
 0.000116078 23.3909      Lin-Lin
 0.000128039 22.3121      Lin-Lin
 0.000141232 21.2869      Lin-Lin
 0.000155784 20.3129      Lin-Lin
 0.000171835 19.3926      Lin-Lin
 0.000173048 19.3231      Lin-Lin
 0.00018954  18.5176      Lin-Lin
 0.000192215 18.3871      Lin-Lin
 0.00020907  17.6861      Lin-Lin
 0.000213516 17.5012      Lin-Lin
 0.000230612 16.896       Lin-Lin
 0.000237165 16.664       Lin-Lin
 0.000254374 16.1456      Lin-Lin
 0.000263448 15.8723      Lin-Lin
 0.000280584 15.4331      Lin-Lin
 0.000292627 15.1245      Lin-Lin
 0.000309494 14.757       Lin-Lin
 0.000325056 14.418       Lin-Lin
 0.000341383 14.1157      Lin-Lin
 0.00036106  13.7514      Lin-Lin
 0.000376558 13.5076      Lin-Lin
 0.000401072 13.1222      Lin-Lin
 0.000415358 12.9315      Lin-Lin
 0.000445496 12.5292      Lin-Lin
 0.000458155 12.3858      Lin-Lin
 0.000494865 11.9702      Lin-Lin
 0.000505362 11.8694      Lin-Lin
 0.000549678 11.444       Lin-Lin
 0.000557433 11.381       Lin-Lin
 0.000610592 10.9488      Lin-Lin
 0.000614869 10.9194      Lin-Lin
 0.000678223 10.4835      Lin-Lin
 0.000748105 10.0769      Lin-Lin
 0.000753383 10.0462      Lin-Lin
 0.000825188 9.69342      Lin-Lin
 0.00083683  9.63624      Lin-Lin
 0.000910213 9.33375      Lin-Lin
 0.000936077 9.22718      Lin-Lin
 0.001004    8.99393      Lin-Lin
 0.00104709  8.846        Lin-Lin
 0.00110745  8.6736       Lin-Lin
 0.00117128  8.49134      Lin-Lin
 0.00122155  8.37206      Lin-Lin
 0.00131019  8.16188      Lin-Lin
 0.00134742  8.08866      Lin-Lin
 0.00146558  7.85637      Lin-Lin
 0.00148625  7.82292      Lin-Lin
 0.00163939  7.57529      Lin-Lin
 0.00165096  7.5566       Lin-Lin
 0.00180831  7.34898      Lin-Lin
 0.0018597   7.28122      Lin-Lin
 0.00199463  7.13629      Lin-Lin
 0.00209493  7.02863      Lin-Lin
 0.00220016  6.93743      Lin-Lin
 0.00237644  6.78473      Lin-Lin
 0.00242685  6.74979      Lin-Lin
 0.00267691  6.57657      Lin-Lin
 0.00269579  6.5635       Lin-Lin
 0.00295273  6.42248      Lin-Lin
 0.00307947  6.35296      Lin-Lin
 0.00325697  6.27653      Lin-Lin
 0.00351794  6.16421      Lin-Lin
 0.00359256  6.13924      Lin-Lin
 0.00396272  6.01548      Lin-Lin
 0.00404698  5.98732      Lin-Lin
 0.00437103  5.90454      Lin-Lin
 0.00468819  5.82358      Lin-Lin
 0.00482141  5.79801      Lin-Lin
 0.00531819  5.70275      Lin-Lin
 0.00546931  5.67379      Lin-Lin
 0.00586616  5.61761      Lin-Lin
 0.00642558  5.53846      Lin-Lin
 0.00647059  5.53386      Lin-Lin
 0.0071373   5.46586      Lin-Lin
 0.00765518  5.41308      Lin-Lin
 0.00787271  5.39756      Lin-Lin
 0.00868389  5.33975      Lin-Lin
 0.0092492   5.29949      Lin-Lin
 0.00957865  5.28356      Lin-Lin
 0.0105656   5.23587      Lin-Lin
 0.0113322   5.19886      Lin-Lin
 0.0116543   5.18868      Lin-Lin
 0.0128551   5.15074      Lin-Lin
 0.0141796   5.10894      Lin-Lin
 0.0156406   5.08022      Lin-Lin
 0.0172522   5.04858      Lin-Lin
 0.0182466   5.02908      Lin-Lin
 0.0190298   5.02008      Lin-Lin
 0.0209906   4.99758      Lin-Lin
 0.0231534   4.9728       Lin-Lin
 0.0243176   4.95947      Lin-Lin
 0.0252419   4.95181      Lin-Lin
 0.0253      4.95134      Lin-Lin
 0.0279068   4.93649      Lin-Lin
 0.0307823   4.92013      Lin-Lin
 0.033954    4.90211      Lin-Lin
 0.0354114   4.89384      Lin-Lin
 0.0374525   4.88828      Lin-Lin
 0.0413115   4.87779      Lin-Lin
 0.0455681   4.86624      Lin-Lin
 0.0502633   4.85352      Lin-Lin
 0.0531604   4.84569      Lin-Lin
 0.0554423   4.84317      Lin-Lin
 0.0611549   4.83689      Lin-Lin
 0.0674561   4.82998      Lin-Lin
 0.0744066   4.82238      Lin-Lin
 0.0820732   4.81401      Lin-Lin
 0.0880284   4.80752      Lin-Lin
 0.0905297   4.80667      Lin-Lin
 0.0998577   4.8035       Lin-Lin
 0.110147    4.80002      Lin-Lin
 0.121496    4.79619      Lin-Lin
 0.134014    4.79198      Lin-Lin
 0.147823    4.78735      Lin-Lin
 0.163054    4.78226      Lin-Lin
 0.173916    4.77864      Lin-Lin
 0.179855    4.77826      Lin-Lin
 0.198386    4.77709      Lin-Lin
 0.218827    4.77582      Lin-Lin
 0.241375    4.77442      Lin-Lin
 0.266245    4.77289      Lin-Lin
 0.293678    4.77121      Lin-Lin
 0.323938    4.76937      Lin-Lin
 0.357316    4.76735      Lin-Lin
 0.394132    4.76512      Lin-Lin
 0.434743    4.76267      Lin-Lin
 0.479537    4.75998      Lin-Lin
 0.490431    4.75933      Lin-Lin
 0.528947    4.75921      Lin-Lin
 0.583448    4.75905      Lin-Lin
 0.643565    4.75888      Lin-Lin
 0.709876    4.7587       Lin-Lin
 0.78302     4.75851      Lin-Lin
 0.8637      4.7583       Lin-Lin
 0.952693    4.75808      Lin-Lin
 1.05086     4.75784      Lin-Lin
 1.15913     4.75758      Lin-Lin
 1.27857     4.75729      Lin-Lin
 1.42025     4.75696      Lin-Lin
 1.56659     4.75662      Lin-Lin
 1.72801     4.75625      Lin-Lin
 1.90606     4.75584      Lin-Lin
 2.10245     4.7554       Lin-Lin
 2.31908     4.75491      Lin-Lin
 2.55803     4.75438      Lin-Lin
 2.84137     4.75375      Lin-Lin
 3.13414     4.7531       Lin-Lin
 3.45707     4.75239      Lin-Lin
 3.81327     4.7516       Lin-Lin
 4.20618     4.75074      Lin-Lin
 4.63957     4.74979      Lin-Lin
 4.77821     4.74949      Lin-Lin
 5.11762     4.74948      Lin-Lin
 5.64492     4.74946      Lin-Lin
 6.18325     4.74945      Lin-Lin
 6.77258     4.74944      Lin-Lin
 7.5231      4.74942      Lin-Lin
 8.29826     4.74941      Lin-Lin
 9.28242     4.74939      Lin-Lin
 10.2389     4.74938      Lin-Lin
 11.2938     4.74937      Lin-Lin
 12.4575     4.74936      Lin-Lin
 13.6448     4.74935      Lin-Lin
 15.0508     4.74933      Lin-Lin
 16.6016     4.74932      Lin-Lin
 18.5705     4.74931      Lin-Lin
 20.4839     4.74929      Lin-Lin
 22.4374     4.74928      Lin-Lin
 24.5759     4.74927      Lin-Lin
 26.9195     4.74926      Lin-Lin
 30.1122     4.74924      Lin-Lin
 33.2148     4.74922      Lin-Lin
 37.1541     4.74921      Lin-Lin
 40.9823     4.74919      Lin-Lin
 44.8884     4.74917      Lin-Lin
 48.8247     4.74916      Lin-Lin
 53.4808     4.74914      Lin-Lin
 59.8236     4.74911      Lin-Lin
 65.9876     4.74909      Lin-Lin
 73.8137     4.74906      Lin-Lin
 81.9895     4.74903      Lin-Lin
 90.4375     4.749        Lin-Lin
 100.46      4.74897      Lin-Lin
 111.587     4.74893      Lin-Lin
 122.228     4.74889      Lin-Lin
 134.822     4.74885      Lin-Lin
 149.756     4.7488       Lin-Lin
 165.186     4.74875      Lin-Lin
 186.08      4.74868      Lin-Lin
 203.816     4.74862      Lin-Lin
 223.252     4.74856      Lin-Lin
 242.83      4.74849      Lin-Lin
 265.974     4.74842      Lin-Lin
 299.617     4.74831      Lin-Lin
 330.488     4.74821      Lin-Lin
 372.274     4.74808      Lin-Lin
 407.775     4.74796      Lin-Lin
 446.64      4.74784      Lin-Lin
 485.807     4.74771      Lin-Lin
 532.136     4.74757      Lin-Lin
 599.416     4.74735      Lin-Lin
 656.579     4.74717      Lin-Lin
 734.448     4.74692      Lin-Lin
 821.553     4.74664      Lin-Lin
 918.988     4.74634      Lin-Lin
 1006.58     4.74606      Lin-Lin
 1118.12     4.7457       Lin-Lin
 1233.33     4.74534      Lin-Lin
 1428.74     4.74472      Lin-Lin
 1587.07     4.74422      Lin-Lin
 1738.34     4.74374      Lin-Lin
 1864.47     4.74334      Lin-Lin
 2013.86     4.74286      Lin-Lin
 2284.49     4.74201      Lin-Lin
 2683.78     4.74074      Lin-Lin
 3087.38     4.73946      Lin-Lin
 3576.73     4.73791      Lin-Lin
 4114.62     4.73621      Lin-Lin
 4602.6      4.73467      Lin-Lin
 5006.21     4.73339      Lin-Lin
 6201.27     4.7296       Lin-Lin
 7184.16     4.72649      Lin-Lin
 8499.39     4.72233      Lin-Lin
 10000       4.71758      Lin-Lin
 10070.5     4.71736      Lin-Lin
 20000       4.68593      Lin-Lin
 25155       4.66961      Lin-Lin
 29460.2     4.65598      Lin-Lin
 34328       4.64057      Lin-Lin
 41426.8     4.6181       Lin-Lin
 50352.7     4.58985      Lin-Lin
 61581.3     4.55431      Lin-Lin
 72626       4.51935      Lin-Lin
 88234.5     4.46994      Lin-Lin
 115038      4.3851       Lin-Lin
 152116      4.28025      Lin-Lin
 202822      4.13688      Lin-Lin
 217538      4.09526      Lin-Lin
 253527      4.00353      Lin-Lin
 310640      3.85795      Lin-Lin
 319530      3.83529      Lin-Lin
 362397      3.73633      Lin-Lin
 405643      3.63648      Lin-Lin
 420113      3.60308      Lin-Lin
 469316      3.49988      Lin-Lin
 514208      3.40573      Lin-Lin
 521462      3.39051      Lin-Lin
 612637      3.21662      Lin-Lin
 625632      3.19183      Lin-Lin
 724794      3.01892      Lin-Lin
 828536      2.85342      Lin-Lin
 864100      2.80144      Lin-Lin
 932103      2.70207      Lin-Lin
 1.02842E+06 2.57289      Lin-Lin
 1.03567E+06 2.56316      Lin-Lin
 1.13924E+06 2.43549      Lin-Lin
 1.22551E+06 2.33765      Lin-Lin
 1.2428E+06  2.31804      Lin-Lin
 1.34637E+06 2.20994      Lin-Lin
 1.43978E+06 2.12024      Lin-Lin
 1.44994E+06 2.11049      Lin-Lin
 1.56439E+06 2.00989      Lin-Lin
 1.65707E+06 1.93616      Lin-Lin
 1.7E+06     1.902        Lin-Lin
 1.83827E+06 1.80621      Lin-Lin
 1.89051E+06 1.77384      Lin-Lin
 1.92681E+06 1.75135      Lin-Lin
 2.01E+06    1.70499      Lin-Lin
 2.03E+06    1.70184      Lin-Lin
 2.04E+06    1.70838      Lin-Lin
 2.05E+06    1.73497      Lin-Lin
 2.055E+06   1.76995      Lin-Lin
 2.05683E+06 1.79779      Lin-Lin
 2.06E+06    1.846        Lin-Lin
 2.064E+06   1.98255      Lin-Lin
 2.066E+06   2.10956      Lin-Lin
 2.068E+06   2.31757      Lin-Lin
 2.0695E+06  2.58216      Lin-Lin
 2.07E+06    2.67485      Lin-Lin
 2.07075E+06 2.87647      Lin-Lin
 2.071E+06   2.94841      Lin-Lin
 2.07175E+06 3.2216       Lin-Lin
 2.072E+06   3.31842      Lin-Lin
 2.07275E+06 3.68257      Lin-Lin
 2.073E+06   3.81049      Lin-Lin
 2.07375E+06 4.27504      Lin-Lin
 2.074E+06   4.43483      Lin-Lin
 2.075E+06   5.14235      Lin-Lin
 2.076E+06   5.77573      Lin-Lin
 2.0763E+06  5.91543      Lin-Lin
 2.0766E+06  6.01427      Lin-Lin
 2.0769E+06  6.07066      Lin-Lin
 2.07712E+06 6.08354      Lin-Lin
 2.0774E+06  6.06489      Lin-Lin
 2.0777E+06  6.00323      Lin-Lin
 2.078E+06   5.89902      Lin-Lin
 2.079E+06   5.36884      Lin-Lin
 2.08E+06    4.73324      Lin-Lin
 2.08188E+06 3.72443      Lin-Lin
 2.082E+06   3.66427      Lin-Lin
 2.08225E+06 3.57381      Lin-Lin
 2.08375E+06 3.07715      Lin-Lin
 2.084E+06   2.99942      Lin-Lin
 2.085E+06   2.79813      Lin-Lin
 2.086E+06   2.60472      Lin-Lin
 2.088E+06   2.36127      Lin-Lin
 2.09E+06    2.20337      Lin-Lin
 2.095E+06   1.98774      Lin-Lin
 2.1E+06     1.88383      Lin-Lin
 2.11E+06    1.78817      Lin-Lin
 2.12E+06    1.74439      Lin-Lin
 2.13E+06    1.7192       Lin-Lin
 2.14E+06    1.70245      Lin-Lin
 2.16E+06    1.68049      Lin-Lin
 2.18E+06    1.6657       Lin-Lin
 2.22E+06    1.64512      Lin-Lin
 2.28E+06    1.62477      Lin-Lin
 2.36E+06    1.60988      Lin-Lin
 2.4E+06     1.60736      Lin-Lin
 2.46E+06    1.61052      Lin-Lin
 2.52E+06    1.62362      Lin-Lin
 2.56E+06    1.63922      Lin-Lin
 2.58918E+06 1.65561      Lin-Lin
 2.6E+06     1.66169      Lin-Lin
 2.64E+06    1.69276      Lin-Lin
 2.68E+06    1.73496      Lin-Lin
 2.71E+06    1.77682      Lin-Lin
 2.73E+06    1.81041      Lin-Lin
 2.75E+06    1.85009      Lin-Lin
 2.76E+06    1.87164      Lin-Lin
 2.78E+06    1.92384      Lin-Lin
 2.8E+06     1.99441      Lin-Lin
 2.805E+06   2.02454      Lin-Lin
 2.807E+06   2.04356      Lin-Lin
 2.808E+06   2.05513      Lin-Lin
 2.81E+06    2.09455      Lin-Lin
 2.812E+06   2.18444      Lin-Lin
 2.81288E+06 2.2722       Lin-Lin
 2.813E+06   2.28953      Lin-Lin
 2.81325E+06 2.34072      Lin-Lin
 2.81388E+06 2.48362      Lin-Lin
 2.814E+06   2.52037      Lin-Lin
 2.81419E+06 2.59644      Lin-Lin
 2.81438E+06 2.68402      Lin-Lin
 2.8145E+06  2.75387      Lin-Lin
 2.81462E+06 2.84162      Lin-Lin
 2.81481E+06 2.99121      Lin-Lin
 2.81494E+06 3.10262      Lin-Lin
 2.81503E+06 3.20426      Lin-Lin
