#LIBRARY    ENDF/B-VIII.0
#REACTION   N-14(N,TOT),SIG
#NUCLEUS    N-14
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       246.816      Lin-Lin
 1.10304E-05 235.033      Lin-Lin
 1.21669E-05 223.814      Lin-Lin
 1.34206E-05 213.135      Lin-Lin
 1.48034E-05 202.967      Lin-Lin
 1.63286E-05 193.288      Lin-Lin
 1.80111E-05 184.074      Lin-Lin
 1.98669E-05 175.302      Lin-Lin
 2.19139E-05 166.952      Lin-Lin
 2.41719E-05 159.003      Lin-Lin
 2.66625E-05 151.436      Lin-Lin
 2.94097E-05 144.234      Lin-Lin
 3.244E-05   137.379      Lin-Lin
 3.57825E-05 130.854      Lin-Lin
 3.94694E-05 124.643      Lin-Lin
 4.35362E-05 118.733      Lin-Lin
 4.80221E-05 113.108      Lin-Lin
 5.29701E-05 107.754      Lin-Lin
 5.8428E-05  102.66       Lin-Lin
 6.44482E-05 97.8129      Lin-Lin
 7.10888E-05 93.2008      Lin-Lin
 7.84136E-05 88.8128      Lin-Lin
 8.64931E-05 84.6383      Lin-Lin
 9.54051E-05 80.6672      Lin-Lin
 0.000105235 76.8988      Lin-Lin
 0.000105764 76.7071      Lin-Lin
 0.000116078 73.3056      Lin-Lin
 0.000116661 73.1237      Lin-Lin
 0.000128039 69.889       Lin-Lin
 0.000128682 69.716       Lin-Lin
 0.000141232 66.6504      Lin-Lin
 0.000142943 66.2551      Lin-Lin
 0.000155784 63.5687      Lin-Lin
 0.000158775 62.9772      Lin-Lin
 0.000171835 60.6377      Lin-Lin
 0.00017637  59.8701      Lin-Lin
 0.00018954  57.8503      Lin-Lin
 0.000195905 56.9285      Lin-Lin
 0.00020907  55.2         Lin-Lin
 0.000217538 54.1505      Lin-Lin
 0.000230612 52.6812      Lin-Lin
 0.000241646 51.5113      Lin-Lin
 0.000254374 50.2873      Lin-Lin
 0.000268411 49.0144      Lin-Lin
 0.000280584 48.013       Lin-Lin
 0.000298156 46.6506      Lin-Lin
 0.000309494 45.8528      Lin-Lin
 0.00033118  44.4156      Lin-Lin
 0.000341383 43.8018      Lin-Lin
 0.000367882 42.3011      Lin-Lin
 0.000376558 41.8549      Lin-Lin
 0.000408629 40.3034      Lin-Lin
 0.000415358 40.0077      Lin-Lin
 0.000453913 38.4148      Lin-Lin
 0.000458155 38.2555      Lin-Lin
 0.000504189 36.632       Lin-Lin
 0.000505362 36.5944      Lin-Lin
 0.000557433 35.0273      Lin-Lin
 0.000560063 34.9526      Lin-Lin
 0.000614869 33.5458      Lin-Lin
 0.000622097 33.3709      Lin-Lin
 0.000678223 32.1427      Lin-Lin
 0.000691037 31.8784      Lin-Lin
 0.000748105 30.8178      Lin-Lin
 0.000772993 30.3824      Lin-Lin
 0.000825188 29.5616      Lin-Lin
 0.000864669 28.9778      Lin-Lin
 0.000910213 28.3721      Lin-Lin
 0.000967217 27.6602      Lin-Lin
 0.001004    27.2465      Lin-Lin
 0.00108013  26.4433      Lin-Lin
 0.00110745  26.1834      Lin-Lin
 0.00120823  25.2858      Lin-Lin
 0.00122155  25.1791      Lin-Lin
 0.00134742  24.2372      Lin-Lin
 0.00136099  24.1417      Lin-Lin
 0.00148625  23.3571      Lin-Lin
 0.00153314  23.0816      Lin-Lin
 0.00163939  22.5249      Lin-Lin
 0.00172698  22.0953      Lin-Lin
 0.00180831  21.74        Lin-Lin
 0.00195905  21.1252      Lin-Lin
 0.00199463  20.9961      Lin-Lin
 0.00220016  20.3016      Lin-Lin
 0.00222164  20.2337      Lin-Lin
 0.00242685  19.661       Lin-Lin
 0.00253783  19.372       Lin-Lin
 0.00267691  19.0525      Lin-Lin
 0.00289918  18.5776      Lin-Lin
 0.00295273  18.4766      Lin-Lin
 0.00325697  17.9448      Lin-Lin
 0.00333517  17.8175      Lin-Lin
 0.00359256  17.4514      Lin-Lin
 0.0038636   17.0938      Lin-Lin
 0.00396272  16.9795      Lin-Lin
 0.00437103  16.5449      Lin-Lin
 0.00450733  16.4104      Lin-Lin
 0.00482141  16.1415      Lin-Lin
 0.0052954   15.7672      Lin-Lin
 0.00531819  15.7515      Lin-Lin
 0.00586616  15.4058      Lin-Lin
 0.00626485  15.1741      Lin-Lin
 0.00647059  15.0706      Lin-Lin
 0.0071373   14.7637      Lin-Lin
 0.00751634  14.6033      Lin-Lin
 0.00787271  14.4736      Lin-Lin
 0.00868389  14.2043      Lin-Lin
 0.00914506  14.0639      Lin-Lin
 0.00957865  13.9509      Lin-Lin
 0.0105656   13.7173      Lin-Lin
 0.0113438   13.549       Lin-Lin
 0.0116543   13.4918      Lin-Lin
 0.0128551   13.2919      Lin-Lin
 0.0141796   13.0916      Lin-Lin
 0.0144959   13.0479      Lin-Lin
 0.0156406   12.9153      Lin-Lin
 0.0172522   12.7469      Lin-Lin
 0.0190298   12.5786      Lin-Lin
 0.0190492   12.577       Lin-Lin
 0.0209906   12.4367      Lin-Lin
 0.0231534   12.2962      Lin-Lin
 0.0252419   12.173       Lin-Lin
 0.0252547   12.1723      Lin-Lin
